100244875,flavanone 7-O-glucoside 2''-O-beta-L-rhamnosyltransferase,KO:K13080,EC:2.4.1.236,
100261319,F3'5'H,flavonoid 3'5' hydroxylase,KO:K13083,EC:1.14.14.81,
100248071,flavonoid 3',5'-hydroxylase 2,KO:K13083,EC:1.14.14.81,
100266025,flavonoid 3',5'-hydroxylase 2,KO:K13083,EC:1.14.14.81,
100251607,flavonoid 3',5'-hydroxylase 2,KO:K13083,EC:1.14.14.81,
100246462,flavonoid 3',5'-hydroxylase 2,KO:K13083,EC:1.14.14.81,
100852531,flavonoid 3',5'-hydroxylase 2-like,KO:K13083,EC:1.14.14.81,
100243414,flavonoid 3',5'-hydroxylase 2-like,KO:K13083,EC:1.14.14.81,
100256733,flavonoid 3',5'-hydroxylase 2,KO:K13083,EC:1.14.14.81,
104877273,VvF3'5'h,flavonoid 3',5'-hydroxylase 2-like,KO:K13083,EC:1.14.14.81,
100267840,flavonoid 3',5'-hydroxylase 2-like,KO:K13083,EC:1.14.14.81,
100242945,flavonoid 3',5'-hydroxylase 2-like,KO:K13083,EC:1.14.14.81,
100232896,F3'5'H,flavonoid-3,5'-hydroxylase,KO:K13083,EC:1.14.14.81,
100247021,flavonoid 3',5'-hydroxylase 2,KO:K13083,EC:1.14.14.81,
100232999,F3'H,flavonoid 3' hydroxylase,KO:K05280,EC:1.14.14.82,
100263810,F3'H,flavonoid 3'-monooxygenase-like,KO:K05280,EC:1.14.14.82,
100233134,FAOMT,anthocyanin O-methyltransferase,KO:K13272,EC:2.1.1.267,
100245452,flavonoid 3',5'-methyltransferase-like,KO:K13272,EC:2.1.1.267,
100250567,flavonoid 3',5'-methyltransferase-like,KO:K13272,EC:2.1.1.267,
100250579,flavonoid 3',5'-methyltransferase-like,KO:K13272,EC:2.1.1.267,

