Aegilops tauschii
Amborella trichopoda
Arabidopsis lyrata
Arabidopsis thaliana
Arachis duranensis
Asparagus officinalis
Beta vulgaris
Brassica napus
Brassica oleracea
Brassica rapa
Camelina sativa
Capsella rubella
Carica papaya
Chenopodium quinoa
Cicer arietinum
Citrus clementina
Citrus sinensis
Durio zibethinus
Elaeis guineensis
Eucalyptus grandis
Eutrema salsugineum
Glycine max
Gossypium arboreum
Gossypium hirsutum
Gossypium raimondii
Hevea brasiliensis
Jatropha curcas
Juglans regia
Lotus japonicus
Lupinus angustifolius
Malus domestica
Manihot esculenta
Musa acuminata
Nelumbo nucifera
Nicotiana attenuata
Nicotiana sylvestris
Nicotiana tabacum
Nicotiana tomentosiformis
Oryza brachyantha
Oryza sativa japonica RAPDB
Papaver somniferum
Phaseolus vulgaris
Phoenix dactylifera
Populus trichocarpa
Populus euphratica
Prunus avium
Prunus mume
Prunus persica
Pyrus x bretschneideri
Quercus suber
Ricinus communis
Setaria italica
Solanum lycopersicum
Solanum pennellii
Solanum tuberosum
Tarenaya hassleriana
Theobroma cacao
Vigna angularis
Vigna radiata
Zea mays
Ziziphus jujuba
Glycine soja
Medicago truncatula
Rosa chinensis
Vigna unguiculata

