Arachis duranensis, 107471019, flavonoid 3'-monooxygenase  [EC], ['EC:1.14.14.82'], KO:K05280
Arachis duranensis, 107471242, UDP-glycosyltransferase 73C6  [EC], ['EC:2.4.1.-'], KO:K22771
Arachis duranensis, 107478076, UDP-glycosyltransferase 79B30-like  [EC], ['EC:2.4.1.239', 'EC:2.4.1.-'], KO:K22794
Arachis duranensis, 107462279, UDP-glycosyltransferase 79B30-like  [EC], ['EC:2.4.1.239', 'EC:2.4.1.-'], KO:K22794
Arachis duranensis, 107462280, UDP-glycosyltransferase 79B30  [EC], ['EC:2.4.1.239', 'EC:2.4.1.-'], KO:K22794
Arachis duranensis, 107462283, UDP-glycosyltransferase 79B30-like  [EC], ['EC:2.4.1.239', 'EC:2.4.1.-'], KO:K22794
Arachis duranensis, 107462408, UDP-glycosyltransferase 79B30-like  [EC], ['EC:2.4.1.239', 'EC:2.4.1.-'], KO:K22794
Arachis duranensis, 107462479, UDP-glycosyltransferase 79B30  [EC], ['EC:2.4.1.239', 'EC:2.4.1.-'], KO:K22794
Arachis duranensis, 107468214, LOW QUALITY PROTEIN: anthocyanidin 3-O-glucoside 2''-O-glucosyltransferase-like  [EC], ['EC:2.4.1.239', 'EC:2.4.1.-'], KO:K22794
Arachis duranensis, 107462456, anthocyanidin 3-O-glucoside 2''-O-glucosyltransferase-like  [EC], ['EC:2.4.1.239', 'EC:2.4.1.-'], KO:K22794
Arachis duranensis, 107478068, UDP-glycosyltransferase 79B30-like  [EC], ['EC:2.4.1.239', 'EC:2.4.1.-'], KO:K22794
Arachis duranensis, 107466489, LOW QUALITY PROTEIN: UDP-glycosyltransferase 79A6-like  [EC], ['EC:2.4.1.159'], KO:K22772
