Amborella trichopoda, 18439368, LOW QUALITY PROTEIN: phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Amborella trichopoda, 18443160, phenylalanine ammonia-lyase class 1  [EC], ['EC:4.3.1.24'], KO:K10775
Amborella trichopoda, 18439369, phenylalanine ammonia-lyase  [EC], ['EC:4.3.1.24'], KO:K10775
Amborella trichopoda, 18439372, phenylalanine ammonia-lyase  [EC], ['EC:4.3.1.24'], KO:K10775
Amborella trichopoda, 18995827, phenylalanine ammonia-lyase  [EC], ['EC:4.3.1.24'], KO:K10775
Amborella trichopoda, 18440762, cytochrome P450 CYP73A100  [EC], ['EC:1.14.14.91'], KO:K00487
Amborella trichopoda, 18432337, trans-cinnamate 4-monooxygenase  [EC], ['EC:1.14.14.91'], KO:K00487
Amborella trichopoda, 18435511, 4-coumarate--CoA ligase 2  [EC], ['EC:6.2.1.12'], KO:K01904
Amborella trichopoda, 18432876, 4-coumarate--CoA ligase-like 7 isoform X1  [EC], ['EC:6.2.1.12'], KO:K01904
Amborella trichopoda, 18443822, probable 4-coumarate--CoA ligase 2  [EC], ['EC:6.2.1.12'], KO:K01904
Amborella trichopoda, 18443861, 4-coumarate--CoA ligase-like 6  [EC], ['EC:6.2.1.12'], KO:K01904
Amborella trichopoda, 18440800, 4-coumarate--CoA ligase-like 1  [EC], ['EC:6.2.1.12'], KO:K01904
Amborella trichopoda, 18441887, 4-coumarate--CoA ligase-like 9 isoform X1  [EC], ['EC:6.2.1.12'], KO:K01904
Amborella trichopoda, 18429888, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Amborella trichopoda, 18429918, BAHD acyltransferase At5g47980  [EC], ['EC:2.3.1.133'], KO:K13065
Amborella trichopoda, 18442729, vinorine synthase  [EC], ['EC:2.3.1.133'], KO:K13065
Amborella trichopoda, 18442780, agmatine coumaroyltransferase-1  [EC], ['EC:2.3.1.133'], KO:K13065
