Cucumis melo, 103491706, chalcone synthase 2  [EC], ['EC:2.3.1.74'], KO:K00660
Cucumis melo, 103501663, chalcone--flavonone isomerase  [EC], ['EC:5.5.1.6'], KO:K01859
Cucumis melo, 103496746, probable chalcone--flavonone isomerase 3  [EC], ['EC:5.5.1.6'], KO:K01859
Cucumis melo, 103491109, naringenin,2-oxoglutarate 3-dioxygenase  [EC], ['EC:1.14.11.9'], KO:K00475
Cucumis melo, 103498778, naringenin,2-oxoglutarate 3-dioxygenase-like  [EC], ['EC:1.14.11.9'], KO:K00475
Cucumis melo, 103488630, flavonol synthase/flavanone 3-hydroxylase  [EC], ['EC:1.14.20.6'], KO:K05278
Cucumis melo, 103496249, c4H; trans-cinnamate 4-monooxygenase  [EC], ['EC:1.14.14.91'], KO:K00487
Cucumis melo, 103492244, cytochrome P450 CYP73A100-like  [EC], ['EC:1.14.14.91'], KO:K00487
Cucumis melo, 103492214, cytochrome P450 CYP73A100-like  [EC], ['EC:1.14.14.91'], KO:K00487
Cucumis melo, 103492222, cytochrome P450 CYP73A100-like  [EC], ['EC:1.14.14.91'], KO:K00487
Cucumis melo, 103492250, cytochrome P450 CYP73A100-like  [EC], ['EC:1.14.14.91'], KO:K00487
Cucumis melo, 103497013, trans-cinnamate 4-monooxygenase-like  [EC], ['EC:1.14.14.91'], KO:K00487
Cucumis melo, 103494036, flavonoid 3'-monooxygenase  [EC], ['EC:1.14.14.82'], KO:K05280
Cucumis melo, 103494518, salutaridinol 7-O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Cucumis melo, 103494519, salutaridinol 7-O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Cucumis melo, 103485990, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Cucumis melo, 103487746, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Cucumis melo, 103488922, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Cucumis melo, 103488921, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Cucumis melo, 103488534, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Cucumis melo, 103504176, shikimate O-hydroxycinnamoyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Cucumis melo, 103486874, cytochrome P450 98A2  [EC], ['EC:1.14.14.96'], KO:K09754
Cucumis melo, 103488897, putative caffeoyl-CoA O-methyltransferase At1g67980  [EC], ['EC:2.1.1.104'], KO:K00588
Cucumis melo, 103495237, caffeoyl-CoA O-methyltransferase 5  [EC], ['EC:2.1.1.104'], KO:K00588
