Musa acuminata, 103978140, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Musa acuminata, 103983874, phenylalanine ammonia-lyase  [EC], ['EC:4.3.1.24'], KO:K10775
Musa acuminata, 103972164, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Musa acuminata, 103985827, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Musa acuminata, 103994974, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Musa acuminata, 103998043, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Musa acuminata, 103971627, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Musa acuminata, 104000863, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Musa acuminata, 103997903, cytochrome P450 CYP73A100-like  [EC], ['EC:1.14.14.91'], KO:K00487
Musa acuminata, 103977324, trans-cinnamate 4-monooxygenase-like  [EC], ['EC:1.14.14.91'], KO:K00487
Musa acuminata, 103987315, trans-cinnamate 4-monooxygenase-like  [EC], ['EC:1.14.14.91'], KO:K00487
Musa acuminata, 104000967, trans-cinnamate 4-monooxygenase-like isoform X1  [EC], ['EC:1.14.14.91'], KO:K00487
Musa acuminata, 103996969, trans-cinnamate 4-monooxygenase  [EC], ['EC:1.14.14.91'], KO:K00487
Musa acuminata, 103992160, trans-cinnamate 4-monooxygenase-like  [EC], ['EC:1.14.14.91'], KO:K00487
Musa acuminata, 103971474, LOW QUALITY PROTEIN: 4-coumarate--CoA ligase-like 3  [EC], ['EC:6.2.1.12'], KO:K01904
Musa acuminata, 103990241, 4-coumarate--CoA ligase-like 1  [EC], ['EC:6.2.1.12'], KO:K01904
Musa acuminata, 103972208, probable 4-coumarate--CoA ligase 2  [EC], ['EC:6.2.1.12'], KO:K01904
Musa acuminata, 103985739, 4-coumarate--CoA ligase-like 1  [EC], ['EC:6.2.1.12'], KO:K01904
Musa acuminata, 103970530, 4-coumarate--CoA ligase-like 6  [EC], ['EC:6.2.1.12'], KO:K01904
Musa acuminata, 103994510, 4-coumarate--CoA ligase-like 1  [EC], ['EC:6.2.1.12'], KO:K01904
Musa acuminata, 103998718, probable 4-coumarate--CoA ligase 3  [EC], ['EC:6.2.1.12'], KO:K01904
Musa acuminata, 103990586, probable 4-coumarate--CoA ligase 3  [EC], ['EC:6.2.1.12'], KO:K01904
Musa acuminata, 103981280, probable 4-coumarate--CoA ligase 3  [EC], ['EC:6.2.1.12'], KO:K01904
Musa acuminata, 103980720, probable 4-coumarate--CoA ligase 3  [EC], ['EC:6.2.1.12'], KO:K01904
Musa acuminata, 103975240, probable 4-coumarate--CoA ligase 2  [EC], ['EC:6.2.1.12'], KO:K01904
Musa acuminata, 103995769, 4-coumarate--CoA ligase 1-like  [EC], ['EC:6.2.1.12'], KO:K01904
Musa acuminata, 103973145, 4-coumarate--CoA ligase 2-like  [EC], ['EC:6.2.1.12'], KO:K01904
Musa acuminata, 103986414, 4-coumarate--CoA ligase-like 5  [EC], ['EC:6.2.1.12'], KO:K01904
Musa acuminata, 103987367, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Musa acuminata, 103994369, agmatine coumaroyltransferase-2-like  [EC], ['EC:2.3.1.133'], KO:K13065
Musa acuminata, 103994367, agmatine coumaroyltransferase-2-like  [EC], ['EC:2.3.1.133'], KO:K13065
Musa acuminata, 103994366, agmatine coumaroyltransferase-2-like  [EC], ['EC:2.3.1.133'], KO:K13065
Musa acuminata, 103994364, agmatine coumaroyltransferase-2-like  [EC], ['EC:2.3.1.133'], KO:K13065
Musa acuminata, 103994363, agmatine coumaroyltransferase-2-like  [EC], ['EC:2.3.1.133'], KO:K13065
Musa acuminata, 103991972, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Musa acuminata, 103991973, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Musa acuminata, 103980297, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Musa acuminata, 103980450, agmatine coumaroyltransferase-2-like  [EC], ['EC:2.3.1.133'], KO:K13065
Musa acuminata, 103976339, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Musa acuminata, 108953330, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Musa acuminata, 103983932, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Musa acuminata, 108953190, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Musa acuminata, 103969086, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Musa acuminata, 103995155, cytochrome P450 98A2  [EC], ['EC:1.14.14.96'], KO:K09754
Musa acuminata, 103990291, caffeoylshikimate esterase  [EC], ['EC:3.1.1.-'], KO:K18368
Musa acuminata, 103986016, caffeoylshikimate esterase-like  [EC], ['EC:3.1.1.-'], KO:K18368
Musa acuminata, 103995887, caffeoylshikimate esterase isoform X1  [EC], ['EC:3.1.1.-'], KO:K18368
Musa acuminata, 103994009, caffeoylshikimate esterase  [EC], ['EC:3.1.1.-'], KO:K18368
