Prunus avium, 110748671, phenylalanine ammonia-lyase 1  [EC], ['EC:4.3.1.24'], KO:K10775
Prunus avium, 110767468, phenylalanine ammonia-lyase 1  [EC], ['EC:4.3.1.24'], KO:K10775
Prunus avium, 110750787, trans-cinnamate 4-monooxygenase  [EC], ['EC:1.14.14.91'], KO:K00487
Prunus avium, 110766184, cytochrome P450 CYP73A100-like  [EC], ['EC:1.14.14.91'], KO:K00487
Prunus avium, 110758567, 4-coumarate--CoA ligase 2-like  [EC], ['EC:6.2.1.12'], KO:K01904
Prunus avium, 110766263, 4-coumarate--CoA ligase-like 7  [EC], ['EC:6.2.1.12'], KO:K01904
Prunus avium, 110746098, 4-coumarate--CoA ligase 1-like  [EC], ['EC:6.2.1.12'], KO:K01904
Prunus avium, 110769757, 4-coumarate--CoA ligase-like 1  [EC], ['EC:6.2.1.12'], KO:K01904
Prunus avium, 110755459, 4-coumarate--CoA ligase-like 7  [EC], ['EC:6.2.1.12'], KO:K01904
Prunus avium, 110749086, 4-coumarate--CoA ligase-like 6  [EC], ['EC:6.2.1.12'], KO:K01904
Prunus avium, 110753456, 4-coumarate--CoA ligase 2-like  [EC], ['EC:6.2.1.12'], KO:K01904
Prunus avium, 110745206, 4-coumarate--CoA ligase-like 9 isoform X1  [EC], ['EC:6.2.1.12'], KO:K01904
Prunus avium, 110772656, vinorine synthase-like isoform X1  [EC], ['EC:2.3.1.133'], KO:K13065
Prunus avium, 110772658, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Prunus avium, 110771447, BAHD acyltransferase At5g47980-like  [EC], ['EC:2.3.1.133'], KO:K13065
Prunus avium, 110772674, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Prunus avium, 110772676, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Prunus avium, 110772679, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Prunus avium, 110772690, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Prunus avium, 110763399, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Prunus avium, 110751652, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Prunus avium, 110771654, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Prunus avium, 110771662, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Prunus avium, 110771672, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Prunus avium, 110771689, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Prunus avium, 110758320, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Prunus avium, 110758330, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Prunus avium, 110759378, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Prunus avium, 110759379, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Prunus avium, 110758413, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Prunus avium, 110773710, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Prunus avium, 110773711, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Prunus avium, 110774307, shikimate O-hydroxycinnamoyltransferase-like isoform X1  [EC], ['EC:2.3.1.133'], KO:K13065
Prunus avium, 110774309, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Prunus avium, 110774314, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Prunus avium, 110744254, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Prunus avium, 110745422, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Prunus avium, 110763921, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Prunus avium, 110746749, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Prunus avium, 110771536, cytochrome P450 98A2-like  [EC], ['EC:1.14.14.96'], KO:K09754
Prunus avium, 110765625, cytochrome P450 98A2-like isoform X1  [EC], ['EC:1.14.14.96'], KO:K09754
Prunus avium, 110765626, cytochrome P450 98A2-like isoform X1  [EC], ['EC:1.14.14.96'], KO:K09754
Prunus avium, 110765627, cytochrome P450 98A2  [EC], ['EC:1.14.14.96'], KO:K09754
Prunus avium, 110765628, cytochrome P450 98A2-like  [EC], ['EC:1.14.14.96'], KO:K09754
Prunus avium, 110749384, caffeoylshikimate esterase-like isoform X1  [EC], ['EC:3.1.1.-'], KO:K18368
Prunus avium, 110756537, caffeoylshikimate esterase-like  [EC], ['EC:3.1.1.-'], KO:K18368
Prunus avium, 110762217, caffeoylshikimate esterase  [EC], ['EC:3.1.1.-'], KO:K18368
Prunus avium, 110764129, caffeoylshikimate esterase-like  [EC], ['EC:3.1.1.-'], KO:K18368
Prunus avium, 110768334, caffeoylshikimate esterase isoform X1  [EC], ['EC:3.1.1.-'], KO:K18368
Prunus avium, 110770610, caffeoyl-CoA O-methyltransferase 5  [EC], ['EC:2.1.1.104'], KO:K00588
Prunus avium, 110769740, flavonoid 3',5'-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
Prunus avium, 110756049, flavonoid 3',5'-methyltransferase-like isoform X1  [EC], ['EC:2.1.1.104'], KO:K00588
Prunus avium, 110756050, flavonoid 3',5'-methyltransferase-like isoform X1  [EC], ['EC:2.1.1.104'], KO:K00588
Prunus avium, 110756051, flavonoid 3',5'-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
Prunus avium, 110750978, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Prunus avium, 110751137, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Prunus avium, 110763383, cinnamoyl-CoA reductase 1-like  [EC], ['EC:1.2.1.44'], KO:K09753
Prunus avium, 110763385, cinnamoyl-CoA reductase 1-like  [EC], ['EC:1.2.1.44'], KO:K09753
Prunus avium, 110768298, aldehyde dehydrogenase family 2 member C4  [EC], ['EC:1.2.1.68'], KO:K12355
Prunus avium, 110750322, cytochrome P450 84A1-like  [EC], ['EC:1.14.-.-'], KO:K09755
Prunus avium, 110746968, cytochrome P450 84A1-like  [EC], ['EC:1.14.-.-'], KO:K09755
Prunus avium, 110772009, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Prunus avium, 110749562, caffeic acid 3-O-methyltransferase  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Prunus avium, 110758861, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Prunus avium, 110754534, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Prunus avium, 110754543, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Prunus avium, 110750598, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Prunus avium, 110764013, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Prunus avium, 110764014, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Prunus avium, 110764015, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Prunus avium, 110764024, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Prunus avium, 110764012, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Prunus avium, 110764059, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Prunus avium, 110758497, probable cinnamyl alcohol dehydrogenase 1  [EC], ['EC:1.1.1.195'], KO:K00083
Prunus avium, 110757777, probable cinnamyl alcohol dehydrogenase 1  [EC], ['EC:1.1.1.195'], KO:K00083
Prunus avium, 110744673, probable cinnamyl alcohol dehydrogenase 9  [EC], ['EC:1.1.1.195'], KO:K00083
Prunus avium, 110755615, probable cinnamyl alcohol dehydrogenase 1  [EC], ['EC:1.1.1.195'], KO:K00083
Prunus avium, 110758496, cinnamyl alcohol dehydrogenase 1-like isoform X1  [EC], ['EC:1.1.1.195'], KO:K00083
Prunus avium, 110768052, probable cinnamyl alcohol dehydrogenase 6  [EC], ['EC:1.1.1.195'], KO:K00083
Prunus avium, 110769980, cinnamyl alcohol dehydrogenase 1-like  [EC], ['EC:1.1.1.195'], KO:K00083
Prunus avium, 110760244, berberine bridge enzyme-like 15  [EC], ['EC:1.1.1.195'], KO:K22395
Prunus avium, 110760242, berberine bridge enzyme-like 15  [EC], ['EC:1.1.1.195'], KO:K22395
Prunus avium, 110751599, 1-Cys peroxiredoxin  [EC], ['EC:1.11.1.7', 'EC:1.11.1.27', 'EC:3.1.1.-'], KO:K11188
Prunus avium, 110773562, peroxidase 72-like  [EC], ['EC:1.11.1.7'], KO:K00430
Prunus avium, 110773592, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Prunus avium, 110773595, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Prunus avium, 110764357, peroxidase 55  [EC], ['EC:1.11.1.7'], KO:K00430
Prunus avium, 110767564, peroxidase 66  [EC], ['EC:1.11.1.7'], KO:K00430
Prunus avium, 110746264, peroxidase 19-like  [EC], ['EC:1.11.1.7'], KO:K00430
Prunus avium, 110748678, peroxidase 27-like  [EC], ['EC:1.11.1.7'], KO:K00430
Prunus avium, 110753899, peroxidase 4-like  [EC], ['EC:1.11.1.7'], KO:K00430
Prunus avium, 110753900, peroxidase 4-like  [EC], ['EC:1.11.1.7'], KO:K00430
Prunus avium, 110756211, probable peroxidase 26  [EC], ['EC:1.11.1.7'], KO:K00430
Prunus avium, 110758325, peroxidase 16-like  [EC], ['EC:1.11.1.7'], KO:K00430
Prunus avium, 110763644, peroxidase 7  [EC], ['EC:1.11.1.7'], KO:K00430
Prunus avium, 110766834, peroxidase 41-like  [EC], ['EC:1.11.1.7'], KO:K00430
Prunus avium, 110769226, peroxidase 60  [EC], ['EC:1.11.1.7'], KO:K00430
Prunus avium, 110749225, peroxidase 47-like  [EC], ['EC:1.11.1.7'], KO:K00430
Prunus avium, 110754467, peroxidase 3-like  [EC], ['EC:1.11.1.7'], KO:K00430
Prunus avium, 110754476, peroxidase 27-like  [EC], ['EC:1.11.1.7'], KO:K00430
Prunus avium, 110759949, peroxidase 25  [EC], ['EC:1.11.1.7'], KO:K00430
Prunus avium, 110763107, peroxidase 27-like  [EC], ['EC:1.11.1.7'], KO:K00430
Prunus avium, 110763122, peroxidase 42  [EC], ['EC:1.11.1.7'], KO:K00430
Prunus avium, 110769794, putative Peroxidase 48  [EC], ['EC:1.11.1.7'], KO:K00430
Prunus avium, 110751053, putative Peroxidase 48  [EC], ['EC:1.11.1.7'], KO:K00430
Prunus avium, 110770605, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Prunus avium, 110771526, peroxidase 9  [EC], ['EC:1.11.1.7'], KO:K00430
Prunus avium, 110772776, peroxidase 73-like  [EC], ['EC:1.11.1.7'], KO:K00430
Prunus avium, 110773358, peroxidase 47-like  [EC], ['EC:1.11.1.7'], KO:K00430
Prunus avium, 110758377, peroxidase 64  [EC], ['EC:1.11.1.7'], KO:K00430
Prunus avium, 110761799, peroxidase 3-like  [EC], ['EC:1.11.1.7'], KO:K00430
Prunus avium, 110746079, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Prunus avium, 110747222, peroxidase 19-like  [EC], ['EC:1.11.1.7'], KO:K00430
Prunus avium, 110765860, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Prunus avium, 110765876, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Prunus avium, 110766936, peroxidase 41-like  [EC], ['EC:1.11.1.7'], KO:K00430
Prunus avium, 110773167, peroxidase 44-like  [EC], ['EC:1.11.1.7'], KO:K00430
Prunus avium, 110766113, peroxidase 10-like  [EC], ['EC:1.11.1.7'], KO:K00430
Prunus avium, 110748782, peroxidase 12-like  [EC], ['EC:1.11.1.7'], KO:K00430
Prunus avium, 110769565, peroxidase A2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Prunus avium, 110765890, peroxidase 4-like  [EC], ['EC:1.11.1.7'], KO:K00430
Prunus avium, 110751195, peroxidase N1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Prunus avium, 110760850, peroxidase 6-like  [EC], ['EC:1.11.1.7'], KO:K00430
Prunus avium, 110754958, peroxidase 20  [EC], ['EC:1.11.1.7'], KO:K00430
Prunus avium, 110760308, peroxidase 7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Prunus avium, 110762941, peroxidase 10  [EC], ['EC:1.11.1.7'], KO:K00430
Prunus avium, 110762967, peroxidase A2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Prunus avium, 110762987, peroxidase N-like  [EC], ['EC:1.11.1.7'], KO:K00430
Prunus avium, 110762988, peroxidase 15-like  [EC], ['EC:1.11.1.7'], KO:K00430
Prunus avium, 110762989, peroxidase A2-like  [EC], ['EC:1.11.1.7'], KO:K00430
Prunus avium, 110747660, peroxidase 4-like  [EC], ['EC:1.11.1.7'], KO:K00430
Prunus avium, 110747690, peroxidase 17-like  [EC], ['EC:1.11.1.7'], KO:K00430
Prunus avium, 110764328, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Prunus avium, 110752031, peroxidase 40  [EC], ['EC:1.11.1.7'], KO:K00430
Prunus avium, 110758468, peroxidase 31  [EC], ['EC:1.11.1.7'], KO:K00430
Prunus avium, 110771152, peroxidase 29  [EC], ['EC:1.11.1.7'], KO:K00430
Prunus avium, 110749661, peroxidase 5-like  [EC], ['EC:1.11.1.7'], KO:K00430
Prunus avium, 110750716, peroxidase 21  [EC], ['EC:1.11.1.7'], KO:K00430
Prunus avium, 110753845, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Prunus avium, 110753846, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Prunus avium, 110753859, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Prunus avium, 110753896, peroxidase 4-like  [EC], ['EC:1.11.1.7'], KO:K00430
Prunus avium, 110753897, peroxidase P7-like  [EC], ['EC:1.11.1.7'], KO:K00430
Prunus avium, 110762771, lignin-forming anionic peroxidase-like  [EC], ['EC:1.11.1.7'], KO:K00430
Prunus avium, 110767082, peroxidase 43 isoform X1  [EC], ['EC:1.11.1.7'], KO:K00430
Prunus avium, 110748020, peroxidase 12-like  [EC], ['EC:1.11.1.7'], KO:K00430
Prunus avium, 110757754, peroxidase 11  [EC], ['EC:1.11.1.7'], KO:K00430
Prunus avium, 110758761, peroxidase 17-like  [EC], ['EC:1.11.1.7'], KO:K00430
Prunus avium, 110774541, peroxidase 16-like  [EC], ['EC:1.11.1.7'], KO:K00430
Prunus avium, 110758776, peroxidase 17-like  [EC], ['EC:1.11.1.7'], KO:K00430
Prunus avium, 110763001, peroxidase N  [EC], ['EC:1.11.1.7'], KO:K00430
Prunus avium, 110763007, peroxidase 15-like  [EC], ['EC:1.11.1.7'], KO:K00430
Prunus avium, 110768373, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Prunus avium, 110768374, cationic peroxidase 1-like isoform X1  [EC], ['EC:1.11.1.7'], KO:K00430
Prunus avium, 110768408, cationic peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
