Populus euphratica, 105112214, chalcone synthase  [EC], ['EC:2.3.1.74'], KO:K00660
Populus euphratica, 105129633, chalcone synthase-like  [EC], ['EC:2.3.1.74'], KO:K00660
Populus euphratica, 105108716, chalcone synthase-like  [EC], ['EC:2.3.1.74'], KO:K00660
Populus euphratica, 105122966, chalcone synthase 1-like isoform X1  [EC], ['EC:2.3.1.74'], KO:K00660
Populus euphratica, 105122969, chalcone synthase 1  [EC], ['EC:2.3.1.74'], KO:K00660
Populus euphratica, 105132582, chalcone synthase 1-like  [EC], ['EC:2.3.1.74'], KO:K00660
Populus euphratica, 105132584, chalcone synthase 1-like  [EC], ['EC:2.3.1.74'], KO:K00660
Populus euphratica, 105132585, chalcone synthase 1-like  [EC], ['EC:2.3.1.74'], KO:K00660
Populus euphratica, 105108112, chalcone synthase-like  [EC], ['EC:2.3.1.74'], KO:K00660
Populus euphratica, 105127462, chalcone--flavonone isomerase-like  [EC], ['EC:5.5.1.6'], KO:K01859
Populus euphratica, 105108689, probable chalcone--flavonone isomerase 3  [EC], ['EC:5.5.1.6'], KO:K01859
Populus euphratica, 105138720, naringenin,2-oxoglutarate 3-dioxygenase-like  [EC], ['EC:1.14.11.9'], KO:K00475
Populus euphratica, 105138722, naringenin,2-oxoglutarate 3-dioxygenase isoform X1  [EC], ['EC:1.14.11.9'], KO:K00475
Populus euphratica, 105116982, flavonol synthase/flavanone 3-hydroxylase-like  [EC], ['EC:1.14.20.6'], KO:K05278
Populus euphratica, 105127840, flavonol synthase/flavanone 3-hydroxylase-like  [EC], ['EC:1.14.20.6'], KO:K05278
Populus euphratica, 105108614, flavonol synthase/flavanone 3-hydroxylase-like  [EC], ['EC:1.14.20.6'], KO:K05278
Populus euphratica, 105114941, flavonol synthase/flavanone 3-hydroxylase-like  [EC], ['EC:1.14.20.6'], KO:K05278
Populus euphratica, 105123239, trans-cinnamate 4-monooxygenase  [EC], ['EC:1.14.14.91'], KO:K00487
Populus euphratica, 105120907, cytochrome P450 CYP73A100-like  [EC], ['EC:1.14.14.91'], KO:K00487
Populus euphratica, 105137660, trans-cinnamate 4-monooxygenase-like  [EC], ['EC:1.14.14.91'], KO:K00487
