Populus trichocarpa, 7463441, phenylalanine ammonia-lyase G2B  [EC], ['EC:4.3.1.24'], KO:K10775
Populus trichocarpa, 7479878, phenylalanine ammonia-lyase G4  [EC], ['EC:4.3.1.24'], KO:K10775
Populus trichocarpa, 7463442, phenylalanine ammonia-lyase G2B  [EC], ['EC:4.3.1.24'], KO:K10775
Populus trichocarpa, 18100180, phenylalanine ammonia-lyase  [EC], ['EC:4.3.1.24'], KO:K10775
Populus trichocarpa, 7486485, phenylalanine ammonia-lyase  [EC], ['EC:4.3.1.24'], KO:K10775
Populus trichocarpa, 7464737, trans-cinnamate 4-monooxygenase  [EC], ['EC:1.14.14.91'], KO:K00487
Populus trichocarpa, 7498118, trans-cinnamate 4-monooxygenase  [EC], ['EC:1.14.14.91'], KO:K00487
Populus trichocarpa, 112325022, cytochrome P450 CYP73A100-like  [EC], ['EC:1.14.14.91'], KO:K00487
Populus trichocarpa, 7469843, 4-coumarate--CoA ligase 2  [EC], ['EC:6.2.1.12'], KO:K01904
Populus trichocarpa, 7494541, 4-coumarate--CoA ligase-like 7  [EC], ['EC:6.2.1.12'], KO:K01904
Populus trichocarpa, 7488981, 4-coumarate--CoA ligase 2  [EC], ['EC:6.2.1.12'], KO:K01904
Populus trichocarpa, 18100510, 4-coumarate--CoA ligase 2  [EC], ['EC:6.2.1.12'], KO:K01904
Populus trichocarpa, 7462820, 4-coumarate--CoA ligase 1  [EC], ['EC:6.2.1.12'], KO:K01904
Populus trichocarpa, 7455782, 4-coumarate--CoA ligase 1  [EC], ['EC:6.2.1.12'], KO:K01904
Populus trichocarpa, 7460544, 4-coumarate--CoA ligase-like 1  [EC], ['EC:6.2.1.12'], KO:K01904
Populus trichocarpa, 18107395, 4-coumarate--CoA ligase-like 7  [EC], ['EC:6.2.1.12'], KO:K01904
Populus trichocarpa, 7491889, 4-coumarate--CoA ligase-like 6  [EC], ['EC:6.2.1.12'], KO:K01904
Populus trichocarpa, 18100511, 4-coumarate--CoA ligase 2  [EC], ['EC:6.2.1.12'], KO:K01904
Populus trichocarpa, 7454535, 4-coumarate--CoA ligase-like 9  [EC], ['EC:6.2.1.12'], KO:K01904
Populus trichocarpa, 7458540, acetyl-CoA-benzylalcohol acetyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Populus trichocarpa, 7463669, vinorine synthase  [EC], ['EC:2.3.1.133'], KO:K13065
Populus trichocarpa, 7462355, vinorine synthase  [EC], ['EC:2.3.1.133'], KO:K13065
Populus trichocarpa, 112324975, shikimate O-hydroxycinnamoyltransferase-like isoform X1  [EC], ['EC:2.3.1.133'], KO:K13065
Populus trichocarpa, 7481810, acetyl-CoA-benzylalcohol acetyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Populus trichocarpa, 7489456, spermidine hydroxycinnamoyl transferase  [EC], ['EC:2.3.1.133'], KO:K13065
Populus trichocarpa, 18094244, shikimate O-hydroxycinnamoyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Populus trichocarpa, 7489434, shikimate O-hydroxycinnamoyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Populus trichocarpa, 7489436, shikimate O-hydroxycinnamoyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Populus trichocarpa, 7493388, shikimate O-hydroxycinnamoyltransferase isoform X2  [EC], ['EC:2.3.1.133'], KO:K13065
Populus trichocarpa, 7472527, vinorine synthase  [EC], ['EC:2.3.1.133'], KO:K13065
Populus trichocarpa, 18107988, pelargonidin 3-O-(6-caffeoylglucoside) 5-O-(6-O-malonylglucoside) 4'''-malonyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Populus trichocarpa, 18100471, spermidine hydroxycinnamoyl transferase  [EC], ['EC:2.3.1.133'], KO:K13065
Populus trichocarpa, 18101360, vinorine synthase  [EC], ['EC:2.3.1.133'], KO:K13065
Populus trichocarpa, 18101361, vinorine synthase  [EC], ['EC:2.3.1.133'], KO:K13065
Populus trichocarpa, 18098695, shikimate O-hydroxycinnamoyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Populus trichocarpa, 18098696, shikimate O-hydroxycinnamoyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Populus trichocarpa, 18107990, acetyl-CoA-benzylalcohol acetyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Populus trichocarpa, 7460046, vinorine synthase  [EC], ['EC:2.3.1.133'], KO:K13065
Populus trichocarpa, 7478310, shikimate O-hydroxycinnamoyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Populus trichocarpa, 18100835, salutaridinol 7-O-acetyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Populus trichocarpa, 18101362, vinorine synthase  [EC], ['EC:2.3.1.133'], KO:K13065
Populus trichocarpa, 112327538, acetyl-CoA-benzylalcohol acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Populus trichocarpa, 112327551, acetyl-CoA-benzylalcohol acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Populus trichocarpa, 7477052, vinorine synthase  [EC], ['EC:2.3.1.133'], KO:K13065
Populus trichocarpa, 112328871, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Populus trichocarpa, 112328896, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Populus trichocarpa, 7460045, vinorine synthase  [EC], ['EC:2.3.1.133'], KO:K13065
Populus trichocarpa, 7495679, cytochrome P450 98A2  [EC], ['EC:1.14.14.96'], KO:K09754
Populus trichocarpa, 7458907, cytochrome P450 98A2  [EC], ['EC:1.14.14.96'], KO:K09754
Populus trichocarpa, 7486620, caffeoylshikimate esterase  [EC], ['EC:3.1.1.-'], KO:K18368
Populus trichocarpa, 7475727, caffeoylshikimate esterase  [EC], ['EC:3.1.1.-'], KO:K18368
Populus trichocarpa, 7487784, caffeoylshikimate esterase  [EC], ['EC:3.1.1.-'], KO:K18368
Populus trichocarpa, 7469795, caffeoylshikimate esterase  [EC], ['EC:3.1.1.-'], KO:K18368
Populus trichocarpa, 18102566, caffeoylshikimate esterase  [EC], ['EC:3.1.1.-'], KO:K18368
Populus trichocarpa, 7489601, caffeoylshikimate esterase  [EC], ['EC:3.1.1.-'], KO:K18368
Populus trichocarpa, 18105288, caffeoylshikimate esterase  [EC], ['EC:3.1.1.-'], KO:K18368
Populus trichocarpa, 18099494, caffeoylshikimate esterase isoform X1  [EC], ['EC:3.1.1.-'], KO:K18368
Populus trichocarpa, 7457542, caffeoyl-CoA O-methyltransferase 1  [EC], ['EC:2.1.1.104'], KO:K00588
Populus trichocarpa, 7492044, caffeoyl-CoA O-methyltransferase 2  [EC], ['EC:2.1.1.104'], KO:K00588
Populus trichocarpa, 18107656, probable caffeoyl-CoA O-methyltransferase At4g26220 isoform X2  [EC], ['EC:2.1.1.104'], KO:K00588
Populus trichocarpa, 7457813, caffeoyl-CoA O-methyltransferase isoform X1  [EC], ['EC:2.1.1.104'], KO:K00588
Populus trichocarpa, 7459098, caffeoyl-CoA O-methyltransferase  [EC], ['EC:2.1.1.104'], KO:K00588
Populus trichocarpa, 7487058, cinnamoyl-CoA reductase 2 isoform X1  [EC], ['EC:1.2.1.44'], KO:K09753
Populus trichocarpa, 18094264, cinnamoyl-CoA reductase 1  [EC], ['EC:1.2.1.44'], KO:K09753
Populus trichocarpa, 7493223, cinnamoyl-CoA reductase 1  [EC], ['EC:1.2.1.44'], KO:K09753
Populus trichocarpa, 18094536, cinnamoyl-CoA reductase 1  [EC], ['EC:1.2.1.44'], KO:K09753
Populus trichocarpa, 18094540, cinnamoyl-CoA reductase 1 isoform X1  [EC], ['EC:1.2.1.44'], KO:K09753
Populus trichocarpa, 18094265, cinnamoyl-CoA reductase 1  [EC], ['EC:1.2.1.44'], KO:K09753
Populus trichocarpa, 7487057, cinnamoyl-CoA reductase 1  [EC], ['EC:1.2.1.44'], KO:K09753
Populus trichocarpa, 7458755, aldehyde dehydrogenase family 2 member C4  [EC], ['EC:1.2.1.68'], KO:K12355
Populus trichocarpa, 7480159, cytochrome P450 84A1  [EC], ['EC:1.14.-.-'], KO:K09755
Populus trichocarpa, 7494301, cytochrome P450 84A1  [EC], ['EC:1.14.-.-'], KO:K09755
Populus trichocarpa, 18099227, cytochrome P450 84A1  [EC], ['EC:1.14.-.-'], KO:K09755
Populus trichocarpa, 7464476, caffeic acid 3-O-methyltransferase 3  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Populus trichocarpa, 7493466, caffeic acid 3-O-methyltransferase 1  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Populus trichocarpa, 7491420, caffeic acid 3-O-methyltransferase 1  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Populus trichocarpa, 7487746, caffeic acid 3-O-methyltransferase  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Populus trichocarpa, 7489078, caffeic acid 3-O-methyltransferase 1  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Populus trichocarpa, 7486809, caffeic acid 3-O-methyltransferase  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Populus trichocarpa, 18096396, caffeic acid 3-O-methyltransferase  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Populus trichocarpa, 18096397, caffeic acid 3-O-methyltransferase  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Populus trichocarpa, 112326165, caffeic acid 3-O-methyltransferase-like  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Populus trichocarpa, 7455369, caffeic acid 3-O-methyltransferase  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Populus trichocarpa, 7465014, probable cinnamyl alcohol dehydrogenase 9  [EC], ['EC:1.1.1.195'], KO:K00083
Populus trichocarpa, 7490064, probable cinnamyl alcohol dehydrogenase  [EC], ['EC:1.1.1.195'], KO:K00083
Populus trichocarpa, 18103450, probable cinnamyl alcohol dehydrogenase 1  [EC], ['EC:1.1.1.195'], KO:K00083
Populus trichocarpa, 7496910, probable cinnamyl alcohol dehydrogenase 6  [EC], ['EC:1.1.1.195'], KO:K00083
Populus trichocarpa, 18103449, probable cinnamyl alcohol dehydrogenase 1  [EC], ['EC:1.1.1.195'], KO:K00083
Populus trichocarpa, 7480403, berberine bridge enzyme-like 15  [EC], ['EC:1.1.1.195'], KO:K22395
Populus trichocarpa, 7489117, berberine bridge enzyme-like 15  [EC], ['EC:1.1.1.195'], KO:K22395
Populus trichocarpa, 7480406, berberine bridge enzyme-like 15  [EC], ['EC:1.1.1.195'], KO:K22395
Populus trichocarpa, 7480409, berberine bridge enzyme-like 15  [EC], ['EC:1.1.1.195'], KO:K22395
Populus trichocarpa, 7480410, berberine bridge enzyme-like 15  [EC], ['EC:1.1.1.195'], KO:K22395
Populus trichocarpa, 7485205, berberine bridge enzyme-like 15  [EC], ['EC:1.1.1.195'], KO:K22395
Populus trichocarpa, 18109453, berberine bridge enzyme-like 13  [EC], ['EC:1.1.1.195'], KO:K22395
Populus trichocarpa, 112323322, berberine bridge enzyme-like 15  [EC], ['EC:1.1.1.195'], KO:K22395
Populus trichocarpa, 7484482, berberine bridge enzyme-like 15  [EC], ['EC:1.1.1.195'], KO:K22395
