Setaria italica, 101756700, phenylalanine ammonia-lyase  [EC], ['EC:4.3.1.24'], KO:K10775
Setaria italica, 101780720, phenylalanine ammonia-lyase  [EC], ['EC:4.3.1.24'], KO:K10775
Setaria italica, 101781123, phenylalanine ammonia-lyase  [EC], ['EC:4.3.1.24'], KO:K10775
Setaria italica, 101781518, phenylalanine ammonia-lyase  [EC], ['EC:4.3.1.24'], KO:K10775
Setaria italica, 101781925, phenylalanine ammonia-lyase  [EC], ['EC:4.3.1.24'], KO:K10775
Setaria italica, 101756300, phenylalanine ammonia-lyase  [EC], ['EC:4.3.1.25'], KO:K13064
Setaria italica, 101780319, phenylalanine/tyrosine ammonia-lyase  [EC], ['EC:4.3.1.25'], KO:K13064
Setaria italica, 101766005, phenylalanine/tyrosine ammonia-lyase  [EC], ['EC:4.3.1.25'], KO:K13064
Setaria italica, 101773281, LOW QUALITY PROTEIN: cytochrome P450 CYP73A100-like  [EC], ['EC:1.14.14.91'], KO:K00487
Setaria italica, 101768416, trans-cinnamate 4-monooxygenase  [EC], ['EC:1.14.14.91'], KO:K00487
Setaria italica, 101762300, probable 4-coumarate--CoA ligase 4  [EC], ['EC:6.2.1.12'], KO:K01904
Setaria italica, 101764384, probable 4-coumarate--CoA ligase 5  [EC], ['EC:6.2.1.12'], KO:K01904
Setaria italica, 101769243, probable 4-coumarate--CoA ligase 3  [EC], ['EC:6.2.1.12'], KO:K01904
Setaria italica, 101766826, probable 4-coumarate--CoA ligase 2  [EC], ['EC:6.2.1.12'], KO:K01904
Setaria italica, 101776259, probable 4-coumarate--CoA ligase 1  [EC], ['EC:6.2.1.12'], KO:K01904
Setaria italica, 101770138, 4-coumarate--CoA ligase-like 1  [EC], ['EC:6.2.1.12'], KO:K01904
Setaria italica, 101775054, 4-coumarate--CoA ligase-like 9  [EC], ['EC:6.2.1.12'], KO:K01904
Setaria italica, 101781746, 4-coumarate--CoA ligase-like 1 isoform X1  [EC], ['EC:6.2.1.12'], KO:K01904
Setaria italica, 101757683, 4-coumarate--CoA ligase-like 3  [EC], ['EC:6.2.1.12'], KO:K01904
Setaria italica, 101769729, 4-coumarate--CoA ligase-like 1  [EC], ['EC:6.2.1.12'], KO:K01904
Setaria italica, 101781346, 4-coumarate--CoA ligase-like 1  [EC], ['EC:6.2.1.12'], KO:K01904
Setaria italica, 101780161, 4-coumarate--CoA ligase-like 5  [EC], ['EC:6.2.1.12'], KO:K01904
Setaria italica, 101780746, hydroxycinnamoyltransferase 1  [EC], ['EC:2.3.1.133'], KO:K13065
Setaria italica, 101780573, hydroxycinnamoyltransferase 2  [EC], ['EC:2.3.1.133'], KO:K13065
Setaria italica, 101772973, putrescine hydroxycinnamoyltransferase 1  [EC], ['EC:2.3.1.133'], KO:K13065
Setaria italica, 101777158, hydroxycinnamoyltransferase 4  [EC], ['EC:2.3.1.133'], KO:K13065
Setaria italica, 101777570, hydroxycinnamoyltransferase 4  [EC], ['EC:2.3.1.133'], KO:K13065
Setaria italica, 101778785, putrescine hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Setaria italica, 101781832, agmatine coumaroyltransferase-2  [EC], ['EC:2.3.1.133'], KO:K13065
Setaria italica, 101773807, agmatine coumaroyltransferase-2  [EC], ['EC:2.3.1.133'], KO:K13065
Setaria italica, 101762348, agmatine coumaroyltransferase-2  [EC], ['EC:2.3.1.133'], KO:K13065
Setaria italica, 101760763, hydroxycinnamoyltransferase 4  [EC], ['EC:2.3.1.133'], KO:K13065
Setaria italica, 101761166, putrescine hydroxycinnamoyltransferase 1  [EC], ['EC:2.3.1.133'], KO:K13065
Setaria italica, 101753438, putrescine hydroxycinnamoyltransferase 1  [EC], ['EC:2.3.1.133'], KO:K13065
Setaria italica, 101755357, hydroxycinnamoyltransferase 4  [EC], ['EC:2.3.1.133'], KO:K13065
Setaria italica, 101766579, putrescine hydroxycinnamoyltransferase 1  [EC], ['EC:2.3.1.133'], KO:K13065
Setaria italica, 101758480, agmatine coumaroyltransferase-2  [EC], ['EC:2.3.1.133'], KO:K13065
Setaria italica, 101772566, putrescine hydroxycinnamoyltransferase 1  [EC], ['EC:2.3.1.133'], KO:K13065
Setaria italica, 101778570, LOW QUALITY PROTEIN: putrescine hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Setaria italica, 101771055, cytochrome P450 98A1  [EC], ['EC:1.14.14.96'], KO:K09754
Setaria italica, 101771318, caffeoylshikimate esterase isoform X1  [EC], ['EC:3.1.1.-'], KO:K18368
Setaria italica, 101784571, caffeoylshikimate esterase  [EC], ['EC:3.1.1.-'], KO:K18368
Setaria italica, 101779250, caffeoylshikimate esterase isoform X1  [EC], ['EC:3.1.1.-'], KO:K18368
Setaria italica, 101779820, caffeoylshikimate esterase  [EC], ['EC:3.1.1.-'], KO:K18368
Setaria italica, 101782364, caffeoylshikimate esterase isoform X1  [EC], ['EC:3.1.1.-'], KO:K18368
Setaria italica, 101756363, caffeoylshikimate esterase  [EC], ['EC:3.1.1.-'], KO:K18368
Setaria italica, 101766943, caffeoylshikimate esterase  [EC], ['EC:3.1.1.-'], KO:K18368
Setaria italica, 101753568, tricin synthase 1  [EC], ['EC:2.1.1.104'], KO:K00588
Setaria italica, 101780609, caffeoyl-CoA O-methyltransferase  [EC], ['EC:2.1.1.104'], KO:K00588
Setaria italica, 101755442, cinnamoyl-CoA reductase 2  [EC], ['EC:1.2.1.44'], KO:K09753
Setaria italica, 101785020, cinnamoyl-CoA reductase 1  [EC], ['EC:1.2.1.44'], KO:K09753
Setaria italica, 101756000, cinnamoyl-CoA reductase 1  [EC], ['EC:1.2.1.44'], KO:K09753
Setaria italica, 101756805, cinnamoyl-CoA reductase 1  [EC], ['EC:1.2.1.44'], KO:K09753
Setaria italica, 101757221, cinnamoyl-CoA reductase 1  [EC], ['EC:1.2.1.44'], KO:K09753
Setaria italica, 101761894, cinnamoyl-CoA reductase 1  [EC], ['EC:1.2.1.44'], KO:K09753
Setaria italica, 101784783, cinnamoyl-CoA reductase 2  [EC], ['EC:1.2.1.44'], KO:K09753
Setaria italica, 101763396, cinnamoyl-CoA reductase 1  [EC], ['EC:1.2.1.44'], KO:K09753
Setaria italica, 101779528, cinnamoyl-CoA reductase 1  [EC], ['EC:1.2.1.44'], KO:K09753
Setaria italica, 101782962, aldehyde dehydrogenase family 2 member C4  [EC], ['EC:1.2.1.68'], KO:K12355
Setaria italica, 101753824, aldehyde dehydrogenase family 2 member C4  [EC], ['EC:1.2.1.68'], KO:K12355
Setaria italica, 101786865, aldehyde dehydrogenase family 2 member C4 isoform X1  [EC], ['EC:1.2.1.68'], KO:K12355
Setaria italica, 101770139, cytochrome P450 84A1  [EC], ['EC:1.14.-.-'], KO:K09755
Setaria italica, 101765311, caffeic acid 3-O-methyltransferase  [EC], ['EC:2.1.1.68', 'EC:2.1.1.4'], KO:K13066
Setaria italica, 101781334, LOW QUALITY PROTEIN: probable cinnamyl alcohol dehydrogenase 1  [EC], ['EC:1.1.1.195'], KO:K00083
Setaria italica, 101769241, probable cinnamyl alcohol dehydrogenase  [EC], ['EC:1.1.1.195'], KO:K00083
Setaria italica, 101774322, cinnamyl alcohol dehydrogenase 2  [EC], ['EC:1.1.1.195'], KO:K00083
Setaria italica, 101776008, probable cinnamyl alcohol dehydrogenase 6  [EC], ['EC:1.1.1.195'], KO:K00083
Setaria italica, 101786111, probable cinnamyl alcohol dehydrogenase 6  [EC], ['EC:1.1.1.195'], KO:K00083
Setaria italica, 101782190, probable cinnamyl alcohol dehydrogenase 5  [EC], ['EC:1.1.1.195'], KO:K00083
Setaria italica, 101757638, 1-Cys peroxiredoxin PER1  [EC], ['EC:1.11.1.7', 'EC:1.11.1.27', 'EC:3.1.1.-'], KO:K11188
Setaria italica, 101758277, peroxidase 52  [EC], ['EC:1.11.1.7'], KO:K00430
Setaria italica, 101779763, peroxidase 2  [EC], ['EC:1.11.1.7'], KO:K00430
Setaria italica, 101760193, peroxidase 31  [EC], ['EC:1.11.1.7'], KO:K00430
Setaria italica, 101768840, cationic peroxidase 1  [EC], ['EC:1.11.1.7'], KO:K00430
Setaria italica, 101766856, peroxidase 5  [EC], ['EC:1.11.1.7'], KO:K00430
Setaria italica, 101765346, peroxidase 5  [EC], ['EC:1.11.1.7'], KO:K00430
Setaria italica, 101766030, peroxidase 5  [EC], ['EC:1.11.1.7'], KO:K00430
Setaria italica, 101769255, rac-like GTP-binding protein 5  [EC], ['EC:1.11.1.7'], KO:K00430
Setaria italica, 101786185, peroxidase P7  [EC], ['EC:1.11.1.7'], KO:K00430
Setaria italica, 101760583, peroxidase 39  [EC], ['EC:1.11.1.7'], KO:K00430
Setaria italica, 101779806, peroxidase 4  [EC], ['EC:1.11.1.7'], KO:K00430
Setaria italica, 101757067, peroxidase 70  [EC], ['EC:1.11.1.7'], KO:K00430
Setaria italica, 101783109, peroxidase P7  [EC], ['EC:1.11.1.7'], KO:K00430
Setaria italica, 101757720, peroxidase 5  [EC], ['EC:1.11.1.7'], KO:K00430
Setaria italica, 101758359, peroxidase 51  [EC], ['EC:1.11.1.7'], KO:K00430
Setaria italica, 101763748, peroxidase 5  [EC], ['EC:1.11.1.7'], KO:K00430
Setaria italica, 101764555, peroxidase 5  [EC], ['EC:1.11.1.7'], KO:K00430
Setaria italica, 101756531, peroxidase 5  [EC], ['EC:1.11.1.7'], KO:K00430
Setaria italica, 101758680, peroxidase P7  [EC], ['EC:1.11.1.7'], KO:K00430
Setaria italica, 101760480, peroxidase 2  [EC], ['EC:1.11.1.7'], KO:K00430
Setaria italica, 101778334, peroxidase 2-like isoform X1  [EC], ['EC:1.11.1.7'], KO:K00430
Setaria italica, 101758209, peroxidase 2  [EC], ['EC:1.11.1.7'], KO:K00430
Setaria italica, 101779898, peroxidase 1-like  [EC], ['EC:1.11.1.7'], KO:K00430
Setaria italica, 101780714, peroxidase 5  [EC], ['EC:1.11.1.7'], KO:K00430
Setaria italica, 101759739, peroxidase P7  [EC], ['EC:1.11.1.7'], KO:K00430
Setaria italica, 101786325, peroxidase P7  [EC], ['EC:1.11.1.7'], KO:K00430
Setaria italica, 101786716, peroxidase P7  [EC], ['EC:1.11.1.7'], KO:K00430
Setaria italica, 101783171, peroxidase 17  [EC], ['EC:1.11.1.7'], KO:K00430
Setaria italica, 101782224, peroxidase 7  [EC], ['EC:1.11.1.7'], KO:K00430
Setaria italica, 101775750, peroxidase 70  [EC], ['EC:1.11.1.7'], KO:K00430
Setaria italica, 101758864, peroxidase 2  [EC], ['EC:1.11.1.7'], KO:K00430
Setaria italica, 101759264, peroxidase 2  [EC], ['EC:1.11.1.7'], KO:K00430
Setaria italica, 101759673, peroxidase 2  [EC], ['EC:1.11.1.7'], KO:K00430
Setaria italica, 101760077, peroxidase 2  [EC], ['EC:1.11.1.7'], KO:K00430
Setaria italica, 101765212, peroxidase 2  [EC], ['EC:1.11.1.7'], KO:K00430
Setaria italica, 101765618, peroxidase 2  [EC], ['EC:1.11.1.7'], KO:K00430
Setaria italica, 101759025, peroxidase 16  [EC], ['EC:1.11.1.7'], KO:K00430
Setaria italica, 101763346, peroxidase 2  [EC], ['EC:1.11.1.7'], KO:K00430
Setaria italica, 101764149, peroxidase 2  [EC], ['EC:1.11.1.7'], KO:K00430
Setaria italica, 101776457, peroxidase 24-like  [EC], ['EC:1.11.1.7'], KO:K00430
Setaria italica, 101779481, peroxidase 31  [EC], ['EC:1.11.1.7'], KO:K00430
