Aegilops tauschii
Amborella trichopoda
Arabidopsis lyrata
Arabidopsis thaliana,C00000947,"Catechin"
Arabidopsis thaliana,C00000956,"Epicatechin"
Arabidopsis thaliana,C00000982,"Naringenin"
Arabidopsis thaliana,C00002526,"Genistein"
Arabidopsis thaliana,C00004565,"Kaempferol"
Arabidopsis thaliana,C00004631,"Quercetin"
Arabidopsis thaliana,C00005178,"{Kaempferol IN NAME} Kaempferol 3-galactoside-7-rhamnoside"
Arabidopsis thaliana,C00005234,"{Kaempferol IN NAME} Kaempferol 3-gentiobioside-7-rhamnoside"
Arabidopsis thaliana,C00005428,"{Quercetin IN NAME} Quercetin 3-O-beta-D-glucopyranosyl-7-O-alpha-L-rhamnopyranoside"
Arabidopsis thaliana,C00005432,"{Quercetin IN NAME} Quercetin 3,7-di-O-alpha-L-rhamnopyranoside"
Arabidopsis thaliana,C00006614,"Cyanidin"
Arabidopsis thaliana,C00006673,"{Cyanidin IN NAME} Cyanidin 3-sambubioside-5-glucoside"
Arabidopsis thaliana,C00006925,"Isoliquiritigenin"
Arabidopsis thaliana,C00007233,"{Naringenin IN NAME} Naringenin chalcone"
Arabidopsis thaliana,C00007234,"{Kaempferol IN NAME} dihydrokaempferol"
Arabidopsis thaliana,C00007235,"{Cyanidin IN NAME} Leucocyanidin"
Arabidopsis thaliana,C00007402,"{Quercetin IN NAME} Quercetin 3-O-[6''-O-rhamnosyl)glucoside] 7-O-rhamnoside"
Arabidopsis thaliana,C00007570,"{Cyanidin IN NAME} Cyanidin 3-O-[2-O-(2-O-(sinapoyl)-bata-D-xylopyranosyl) 6-O-(4-O-(beta-D-glucopyranosyl)-p-coumaroyl-bata-D-glucopyranoside] 5-O-[6-O-(malonyl) bata-D-glucopyranoside]"
Arabidopsis thaliana,C00007655,"{Cyanidin IN NAME} Cyanidin 3-O-[2''-O-(xylosyl) glucoside] 5-O-(6'''-O-malonyl) glucoside"
Arabidopsis thaliana,C00007656,"{Cyanidin IN NAME} Cyanidin 3-O-[2''-O-(2'''-O-(sinapoyl) xylosyl) glucoside] 5-O-glucoside"
Arabidopsis thaliana,C00007657,"{Cyanidin IN NAME} Cyanidin 3-O-[2''-O-(xylosyl)-6''-O-(p-coumaroyl) glucoside] 5-O-malonylglucoside"
Arabidopsis thaliana,C00007658,"{Cyanidin IN NAME} Cyanidin 3-O-[2''-O-(xylosyl)-6''-O-(p-O-(glucosyl)-p-coumaroyl) glucoside] 5-O-glucoside"
Arabidopsis thaliana,C00007659,"{Cyanidin IN NAME} Cyanidin 3-O-[2''-O-(xylosyl) 6''-O-(p-O-(glucosyl) p-coumaroyl) glucoside] 5-O-[6'''-O-(malonyl) glucoside]"
Arabidopsis thaliana,C00007660,"{Cyanidin IN NAME} Cyanidin 3-O-[2''-O-(2'''-O-(sinapoyl) xylosyl) 6''-O-(p-coumaroyl) glucoside] 5-O-glucoside"
Arabidopsis thaliana,C00007661,"{Cyanidin IN NAME} Cyanidin 3-O-[2''-O-(2'''-O-(sinapoyl) xylosyl) 6''-O-(p-O-(glucosyl) p-coumaroyl) glucoside] 5-O-glucoside"
Arachis duranensis
Arachis ipaensis
Asparagus officinalis,C00000674,"Luteolin"
Asparagus officinalis,C00000938,"{Myricetin IN NAME} Dihydromyricetin"
Asparagus officinalis,C00000947,"Catechin"
Asparagus officinalis,C00000982,"Naringenin"
Asparagus officinalis,C00001071,"Myricetin"
Asparagus officinalis,C00003817,"Apigenin"
Asparagus officinalis,C00004565,"Kaempferol"
Asparagus officinalis,C00004631,"Quercetin"
Asparagus officinalis,C00005413,"{Quercetin REL} Rutin"
Asparagus officinalis,C00007233,"{Naringenin IN NAME} Naringenin chalcone"
Asparagus officinalis,C00007234,"{Kaempferol IN NAME} dihydrokaempferol"
Auxenochlorella protothecoides
Bathycoccus prasinos
Beta vulgaris,C00014091,"{Apigenin REL} Vitexin 6''-O-malonyl 2''-O-xyloside"
Brachypodium distachyon
Brassica napus,C00005229,"{Kaempferol IN NAME} Kaempferol 3-O-sophoroside 7-O-beta-D-glucopyranoside:Kaempferol 3-sophoroside-7-glucoside"
Brassica napus,C00005464,"{Quercetin IN NAME} Quercetin 3-sophoroside-7-glucoside"
Brassica napus,C00005530,"{Quercetin REL} Isorhamnetin 7-O-beta-D-glucopyranoside"
Brassica napus,C00005557,"{Quercetin REL} Isorhamnetin 3-O-beta-glucopyranoside-7-O-alpha-rhamnopyranoside"
Brassica napus,C00005579,"{Quercetin REL} Isorhamnetin 3-sophoroside-7-glucoside"
Brassica napus,C00005922,"{Kaempferol IN NAME} Kaempferol 3-(2''-sinapylglucoside)-7-sophoroside"
Brassica napus,C00007233,"{Naringenin IN NAME} Naringenin chalcone"
Brassica napus,C00007235,"{Cyanidin IN NAME} Leucocyanidin"
Brassica oleracea,C00000674,"Luteolin"
Brassica oleracea,C00000982,"Naringenin"
Brassica oleracea,C00002526,"Genistein"
Brassica oleracea,C00003817,"Apigenin"
Brassica oleracea,C00004565,"Kaempferol"
Brassica oleracea,C00004631,"Quercetin"
Brassica oleracea,C00004635,"{Quercetin REL} Isorhamnetin"
Brassica oleracea,C00005229,"{Kaempferol IN NAME} Kaempferol 3-O-sophoroside 7-O-beta-D-glucopyranoside:Kaempferol 3-sophoroside-7-glucoside"
Brassica oleracea,C00005409,"{Quercetin IN NAME} Quercetin 3-O-sophoroside"
Brassica oleracea,C00005409,"{Quercetin IN NAME} Quercetin 3-O-sophoroside"
Brassica oleracea,C00005409,"{Quercetin IN NAME} Quercetin 3-O-sophoroside"
Brassica oleracea,C00005464,"{Quercetin IN NAME} Quercetin 3-sophoroside-7-glucoside"
Brassica oleracea,C00005912,"{Kaempferol IN NAME} Kaempferol 3-(2'''-(E)-p-coumarylsophoroside)-7-glucoside"
Brassica oleracea,C00005913,"{Kaempferol IN NAME} Kaempferol 3-(2'''-(E)-caffeylsophoroside)-7-glucoside"
Brassica oleracea,C00005914,"{Kaempferol IN NAME} Kaempferol 3-[2'''-(E)-ferulylsophoroside]-7-glucoside"
Brassica oleracea,C00005996,"{Quercetin IN NAME} Quercetin 3-(2'''-(E)-caffeylsophoroside]-7-glucoside"
Brassica oleracea,C00005997,"{Quercetin IN NAME} Quercetin 3-[2'''-(E)-feruloylsophoroside]-7-glucoside"
Brassica oleracea,C00006614,"Cyanidin"
Brassica oleracea,C00006846,"{Cyanidin IN NAME} Cyanidin 3-[6''-(4-glucosyl-p-coumaryl)sophoroside]-5-glucoside"
Brassica oleracea,C00006848,"{Cyanidin IN NAME} Cyanidin 3-[6''-(4-glucosylferulyl)-sophoroside]-5-glucoside"
Brassica oleracea,C00006854,"{Cyanidin IN NAME} Cyanidin 3-(6'',6'''-disinapylsophoroside)-5-glucoside"
Brassica oleracea,C00013766,"{Kaempferol IN NAME} Kaempferol 3-sophoroside-7-cellobioside"
Brassica oleracea,C00013805,"{Kaempferol IN NAME} Kaempferol 3-(2'''-(E)-caffeoylglucosyl)-(1->2)-glucoside-7-cellobioside"
Brassica oleracea,C00036981,"{Cyanidin IN NAME} Cyanidin 3-O-sophoroside-5-O-glucoside"
Brassica rapa,C00005229,"{Kaempferol IN NAME} Kaempferol 3-O-sophoroside 7-O-beta-D-glucopyranoside:Kaempferol 3-sophoroside-7-glucoside"
Brassica rapa,C00005556,"{Quercetin REL} Isorhamnetin 3,7-di-O-beta-glucopyranoside"
Cajanus cajan,C00002526,"Genistein"
Cajanus cajan,C00009453,"{Genistein IN NAME} 2'-Hydroxygenistein"
Cajanus cajan,C00010111,"{Genistein IN NAME} Isogenistein 7-O-glucoside"
Camelina sativa
Capsella rubella
Capsicum annuum,C00000674,"Luteolin"
Capsicum annuum,C00000938,"{Myricetin IN NAME} Dihydromyricetin"
Capsicum annuum,C00000982,"Naringenin"
Capsicum annuum,C00004281,"{Luteolin IN NAME} Luteolin 7-apiosyl-(1->2)-glucoside"
Capsicum annuum,C00004565,"Kaempferol"
Capsicum annuum,C00004631,"Quercetin"
Capsicum annuum,C00005374,"{Quercetin IN NAME} Quercetin3-O-alpha-rhamnopyranoside"
Capsicum annuum,C00005431,"{Quercetin IN NAME} Quercetin 3-rhamnoside-7-glucoside"
Capsicum annuum,C00006381,"{Apigenin REL} Isoschaftoside"
Capsicum annuum,C00006381,"{Apigenin REL} Isoschaftoside"
Capsicum annuum,C00006614,"Cyanidin"
Capsicum annuum,C00007233,"{Naringenin IN NAME} Naringenin chalcone"
Capsicum annuum,C00007235,"{Cyanidin IN NAME} Leucocyanidin"
Capsicum annuum,C00011174,"{Luteolin IN NAME} Luteolin 7-O-(2-apiofuranosyl-4-glucopyranosyl-6-malonyl)glucopyranoside"
Carica papaya,C00000982,"Naringenin"
Carica papaya,C00004565,"Kaempferol"
Carica papaya,C00004631,"Quercetin"
Carica papaya,C00005413,"{Quercetin REL} Rutin"
Chenopodium quinoa,C00005155,"{Kaempferol IN NAME} Kaempferol 3-apiosyl-(1->2)-galactoside"
Chenopodium quinoa,C00005204,"{Kaempferol IN NAME} Kaempferol 3-(2Gal-apiosylrobinobioside)"
Chlamydomonas reinhardtii
Chlorella variabilis
Chondrus crispus
Cicer arietinum,C00002526,"Genistein"
Cicer arietinum,C00004540,"{Kaempferol IN NAME} Resokaempferol"
Cicer arietinum,C00004635,"{Quercetin REL} Isorhamnetin"
Cicer arietinum,C00005161,"{Kaempferol IN NAME} Kaempferol 3-apiosyl-(1->2)-glucoside"
Cicer arietinum,C00006925,"Isoliquiritigenin"
Cicer arietinum,C00007185,"{Isoliquiritigenin IN NAME} Neoisoliquiritigenin"
Citrus clementina
Citrus sinensis,C00000984,"{Quercetin REL} Narirutin"
Citrus sinensis,C00000984,"{Quercetin REL} Narirutin"
Citrus sinensis,C00002374,"{Cyanidin IN NAME} Cyanidin 3-O-glucoside"
Citrus sinensis,C00006792,"{Cyanidin IN NAME} Cyanidin 3-(4''-acetylglucoside)"
Citrus sinensis,C00006796,"{Cyanidin IN NAME} Cyanidin 3-(6''-malonylglucoside)"
Coccomyxa subellipsoidea
Cucumis melo
Cucumis sativus,C00001059,"{Apigenin REL} Isovitexin"
Cucumis sativus,C00001059,"{Apigenin REL} Isovitexin"
Cucumis sativus,C00001110,"{Apigenin REL} Vitexin"
Cucumis sativus,C00004172,"{Apigenin IN NAME} Apigenin 7-(6''-p-coumarylglucoside)"
Cucumis sativus,C00014080,"{Apigenin REL} Isovitexin 2''-O-(6'''-(E)-p-coumaroyl)glucoside"
Cucumis sativus,C00014080,"{Apigenin REL} Isovitexin 2''-O-(6'''-(E)-p-coumaroyl)glucoside"
Cucumis sativus,C00014081,"{Apigenin REL} Isovitexin 2''-O-(6'''-(E)-p-coumaroyl)glucoside 4'-O-glucoside"
Cucumis sativus,C00014081,"{Apigenin REL} Isovitexin 2''-O-(6'''-(E)-p-coumaroyl)glucoside 4'-O-glucoside"
Cucumis sativus,C00014082,"{Apigenin REL} Isovitexin 2''-O-(6'''-feruloyl)glucoside"
Cucumis sativus,C00014082,"{Apigenin REL} Isovitexin 2''-O-(6'''-feruloyl)glucoside"
Cucumis sativus,C00014083,"{Apigenin REL} Isovitexin 2''-O-(6'''-(E)-feruloyl)glucoside 4'-O-glucoside"
Cucumis sativus,C00014083,"{Apigenin REL} Isovitexin 2''-O-(6'''-(E)-feruloyl)glucoside 4'-O-glucoside"
Cucurbita maxima
Cucurbita moschata
Cucurbita pepo subsp. pepo
Cyanidioschyzon merolae
Cynara cardunculus var. scolymus
Daucus carota,C00000674,"Luteolin"
Daucus carota,C00000982,"Naringenin"
Daucus carota,C00001067,"{Luteolin IN NAME} Luteolin 7-O-(6''-malonylglucoside)"
Daucus carota,C00002374,"{Cyanidin IN NAME} Cyanidin 3-O-glucoside"
Daucus carota,C00003817,"Apigenin"
Daucus carota,C00004156,"{Quercetin REL} Apigenin 7-O-rutinoside"
Daucus carota,C00004268,"{Luteolin IN NAME} Luteolin 7-O-beta-D-glucuronide"
Daucus carota,C00004282,"{Quercetin REL} Luteolin 7-O-rutinoside"
Daucus carota,C00004330,"{Luteolin IN NAME} Luteolin 4'-sulfate"
Daucus carota,C00006614,"Cyanidin"
Daucus carota,C00006655,"{Cyanidin IN NAME} Cyanidin 3-lathyroside"
Daucus carota,C00006670,"{Cyanidin IN NAME} Cyanidin 3-glucosyl-(1->6)-[xylosyl-(1->2)-galactoside]"
Daucus carota,C00006831,"{Cyanidin IN NAME} Cyanidin 3-[6-(6-p-hydroxybenzoylglucosyl)-2-xylosylgalactoside]"
Daucus carota,C00006832,"{Cyanidin IN NAME} Cyanidin 3-[6-(6-p-coumarylglucosyl)-2-xylosylgalactoside]"
Daucus carota,C00006833,"{Cyanidin IN NAME} Cyanidin 3-[6-(6-ferulylglucosyl)-2-xylosylgalactoside]"
Daucus carota,C00006834,"{Cyanidin IN NAME} Cyanidin 3-[6-(6-sinapylglucosyl)-2-xylosylgalactoside]"
Daucus carota,C00007233,"{Naringenin IN NAME} Naringenin chalcone"
Daucus carota,C00007234,"{Kaempferol IN NAME} dihydrokaempferol"
Daucus carota,C00033739,"{Cyanidin IN NAME} Cyanidin 3-O-(2-O-beta-xylopyranosyl)-beta-galactopyranoside"
Dendrobium catenatum
Durio zibethinus
Elaeis guineensis
Eucalyptus grandis
Eutrema salsugineum
Fragaria vesca,C00009075,"{Cyanidin IN NAME} Procyanidin B1"
Galdieria sulphuraria
Glycine max,C00000982,"Naringenin"
Glycine max,C00001110,"{Apigenin REL} Vitexin"
Glycine max,C00002374,"{Cyanidin IN NAME} Cyanidin 3-O-glucoside"
Glycine max,C00002526,"Genistein"
Glycine max,C00004565,"Kaempferol"
Glycine max,C00005165,"{Kaempferol IN NAME} Kaempferol 3-O-sophoroside"
Glycine max,C00005166,"{Kaempferol IN NAME} Kaempferol 3-O-gentiobioside"
Glycine max,C00005167,"{Kaempferol IN NAME} Kaempferol 3-neohesperidoside"
Glycine max,C00005215,"{Kaempferol IN NAME} Kaempferol 3-glucosyl-(1->2)-gentiobioside"
Glycine max,C00005217,"{Quercetin REL} Kaempferol 3-(2G-glucosylrutinoside)"
Glycine max,C00005218,"{Kaempferol IN NAME} Kaempferol 3-(2G-rhamnosylgentiobioside)"
Glycine max,C00005409,"{Quercetin IN NAME} Quercetin 3-O-sophoroside"
Glycine max,C00005411,"{Quercetin IN NAME} Quercetin 3-gentiobioside"
Glycine max,C00005412,"{Quercetin IN NAME} Quercetin 3-O-neohesperidoside"
Glycine max,C00005453,"{Quercetin IN NAME} Quercetin 3-(2G-glucosylgentiobioside)"
Glycine max,C00005454,"{Quercetin REL} Quercetin 3-(2G-glucosylrutinoside)"
Glycine max,C00005455,"{Quercetin IN NAME} Quercetin 3-(2G-rhamnosylgentiobioside)"
Glycine max,C00006400,"{Apigenin REL} 6-C-Glucopyranosyl-8-C-galactopyranosylgenkwanin"
Glycine max,C00006925,"Isoliquiritigenin"
Glycine max,C00007185,"{Isoliquiritigenin IN NAME} Neoisoliquiritigenin"
Glycine max,C00007233,"{Naringenin IN NAME} Naringenin chalcone"
Glycine max,C00010110,"{Genistein IN NAME} Genistein 7-O-beta-D-glucoside 6''-O-malonate"
Gossypium arboreum,C00005386,"{Quercetin IN NAME} Quercetin 3'-glucoside"
Gossypium hirsutum,C00004636,"{Quercetin REL} Tamarixetin"
Gossypium hirsutum,C00004651,"{Quercetin IN NAME} Quercetin 3,5,7,4'-tetramethyl ether"
Gossypium hirsutum,C00004652,"{Quercetin IN NAME} Quercetin 3,5,3',4'-tetramethyl ether"
Gossypium hirsutum,C00005386,"{Quercetin IN NAME} Quercetin 3'-glucoside"
Gossypium raimondii
Helianthus annuus,C00002374,"{Cyanidin IN NAME} Cyanidin 3-O-glucoside"
Helianthus annuus,C00006651,"{Cyanidin IN NAME} Cyanidin 3-xyloside"
Hevea brasiliensis
Ipomoea nil,C00006828,"{Cyanidin IN NAME} Cyanidin 3-[6-(3-glucosylcaffeyl)glucoside]-5-glucoside"
Ipomoea nil,C00006847,"{Cyanidin IN NAME} Cyanidin 3-[6''-(4-glucosylcaffeyl)sophoroside]-5-glucoside"
Jatropha curcas
Juglans regia
Lactuca sativa,C00006796,"{Cyanidin IN NAME} Cyanidin 3-(6''-malonylglucoside)"
Lactuca sativa,C00013883,"{Quercetin IN NAME} Quercetin 3-(6''-malonylglucoside)-7-glucoside"
Lotus japonicus,C00000958,"{Epigallocatechin REL} epi-Gallocatechin 3-O-gallate"
Lotus japonicus,C00000958,"{Epigallocatechin REL} epi-Gallocatechin 3-O-gallate"
Lotus japonicus,C00005372,"{Quercetin IN NAME} Quercetin 3-galactoside"
Lotus japonicus,C00005374,"{Quercetin IN NAME} Quercetin3-O-alpha-rhamnopyranoside"
Lotus japonicus,C00005413,"{Quercetin REL} Rutin"
Lotus japonicus,C00009210,"{Epicatechin IN NAME} Catechin-(4alpha->8)-epicatechin-3-O-gallate"
Lotus japonicus,C00009210,"{Epicatechin IN NAME} Catechin-(4alpha->8)-epicatechin-3-O-gallate"
Lotus japonicus,C00009237,"{Gallocatechin IN NAME} Gallocatechin-(4alpha->8)-epigallocatechin-3-O-gallate"
Lotus japonicus,C00009237,"{Gallocatechin IN NAME} Gallocatechin-(4alpha->8)-epigallocatechin-3-O-gallate"
Lotus japonicus,C00009237,"{Gallocatechin IN NAME} Gallocatechin-(4alpha->8)-epigallocatechin-3-O-gallate"
Lotus japonicus,C00009238,"{Gallocatechin IN NAME} Epigallocatechin-(4beta->8)-epigallocatechin-3-O-gallate"
Lotus japonicus,C00009238,"{Gallocatechin IN NAME} Epigallocatechin-(4beta->8)-epigallocatechin-3-O-gallate"
Lotus japonicus,C00009238,"{Gallocatechin IN NAME} Epigallocatechin-(4beta->8)-epigallocatechin-3-O-gallate"
Lupinus angustifolius,C00008961,"{Epicatechin IN NAME} 9,10-Dihydro-8-hydroxy-10-methyl-8H-pyrano[2,3-h]epicatechin"
Lupinus angustifolius,C00008961,"{Epicatechin IN NAME} 9,10-Dihydro-8-hydroxy-10-methyl-8H-pyrano[2,3-h]epicatechin"
Lupinus angustifolius,C00009277,"{Cyanidin IN NAME} Proanthocyanidin A1"
Lupinus angustifolius,C00009453,"{Genistein IN NAME} 2'-Hydroxygenistein"
Malus domestica
Manihot esculenta
Micromonas commoda
Micromonas pusilla
Momordica charantia,C00000947,"Catechin"
Momordica charantia,C00000956,"Epicatechin"
Momordica charantia,C00000982,"Naringenin"
Momordica charantia,C00004565,"Kaempferol"
Momordica charantia,C00004631,"Quercetin"
Momordica charantia,C00005413,"{Quercetin REL} Rutin"
Momordica charantia,C00007233,"{Naringenin IN NAME} Naringenin chalcone"
Momordica charantia,C00007234,"{Kaempferol IN NAME} dihydrokaempferol"
Momordica charantia,C00007235,"{Cyanidin IN NAME} Leucocyanidin"
Monoraphidium neglectum
Musa acuminata,C00000947,"Catechin"
Musa acuminata,C00000956,"Epicatechin"
Musa acuminata,C00000982,"Naringenin"
Musa acuminata,C00004565,"Kaempferol"
Musa acuminata,C00004631,"Quercetin"
Musa acuminata,C00005372,"{Quercetin IN NAME} Quercetin 3-galactoside"
Musa acuminata,C00005413,"{Quercetin REL} Rutin"
Musa acuminata,C00006686,"{Quercetin REL} Peonidin 3-rutinoside"
Musa acuminata,C00006727,"{Quercetin REL} Petunidin 3-rutinoside"
Musa acuminata,C00006740,"{Quercetin REL} Malvidin 3-rutinoside"
Nelumbo nucifera,C00002644,"{Catechin IN NAME} Pyrocatechin"
Nelumbo nucifera,C00005372,"{Quercetin IN NAME} Quercetin 3-galactoside"
Nelumbo nucifera,C00007235,"{Cyanidin IN NAME} Leucocyanidin"
Nicotiana attenuata
Nicotiana sylvestris
