Arabidopsis thaliana	Catechin	"Catechin"
Arabidopsis thaliana	Epicatechin	"Epicatechin"
Arabidopsis thaliana	Naringenin	"Naringenin"
Arabidopsis thaliana	Genistein	"Genistein"
Arabidopsis thaliana	Kaempferol	"Kaempferol"
Arabidopsis thaliana	Quercetin	"Quercetin"
Arabidopsis thaliana	Cyanidin	"Cyanidin"
Arabidopsis thaliana	Isoliquiritigenin	"Isoliquiritigenin"
Asparagus officinalis	Luteolin	"Luteolin"
Asparagus officinalis	Catechin	"Catechin"
Asparagus officinalis	Naringenin	"Naringenin"
Asparagus officinalis	Myricetin	"Myricetin"
Asparagus officinalis	Apigenin	"Apigenin"
Asparagus officinalis	Kaempferol	"Kaempferol"
Asparagus officinalis	Quercetin	"Quercetin"
Brassica oleracea	Luteolin	"Luteolin"
Brassica oleracea	Naringenin	"Naringenin"
Brassica oleracea	Genistein	"Genistein"
Brassica oleracea	Apigenin	"Apigenin"
Brassica oleracea	Kaempferol	"Kaempferol"
Brassica oleracea	Quercetin	"Quercetin"
Brassica oleracea	Cyanidin	"Cyanidin"
Cajanus cajan	Genistein	"Genistein"
Capsicum annuum	Luteolin	"Luteolin"
Capsicum annuum	Naringenin	"Naringenin"
Capsicum annuum	Kaempferol	"Kaempferol"
Capsicum annuum	Quercetin	"Quercetin"
Capsicum annuum	Cyanidin	"Cyanidin"
Carica papaya	Naringenin	"Naringenin"
Carica papaya	Kaempferol	"Kaempferol"
Carica papaya	Quercetin	"Quercetin"
Cicer arietinum	Genistein	"Genistein"
Cicer arietinum	Isoliquiritigenin	"Isoliquiritigenin"
Daucus carota	Luteolin	"Luteolin"
Daucus carota	Naringenin	"Naringenin"
Daucus carota	Apigenin	"Apigenin"
Daucus carota	Cyanidin	"Cyanidin"
Glycine max	Naringenin	"Naringenin"
Glycine max	Genistein	"Genistein"
Glycine max	Kaempferol	"Kaempferol"
Glycine max	Isoliquiritigenin	"Isoliquiritigenin"
Momordica charantia	Catechin	"Catechin"
Momordica charantia	Epicatechin	"Epicatechin"
Momordica charantia	Naringenin	"Naringenin"
Momordica charantia	Kaempferol	"Kaempferol"
Momordica charantia	Quercetin	"Quercetin"
Musa acuminata	Catechin	"Catechin"
Musa acuminata	Epicatechin	"Epicatechin"
Musa acuminata	Naringenin	"Naringenin"
Musa acuminata	Kaempferol	"Kaempferol"
Musa acuminata	Quercetin	"Quercetin"
Phaseolus vulgaris	Genistein	"Genistein"
Prunus avium	Catechin	"Catechin"
Prunus avium	Epicatechin	"Epicatechin"
Prunus avium	Eriodictyol	"Eriodictyol"
Prunus avium	Naringenin	"Naringenin"
Prunus avium	Apigenin	"Apigenin"
Prunus avium	Quercetin	"Quercetin"
Prunus avium	Cyanidin	"Cyanidin"
Prunus avium	Naringenin	"(+)-Naringenin"
Prunus mume	Naringenin	"Naringenin"
Prunus persica	Catechin	"Catechin"
Prunus persica	Naringenin	"Naringenin"
Prunus persica	Kaempferol	"Kaempferol"
Solanum lycopersicum	Kaempferol	"Kaempferol"
Solanum tuberosum	Epicatechin	"Epicatechin"
Solanum tuberosum	Cyanidin	"Cyanidin"
Theobroma cacao	Luteolin	"Luteolin"
Theobroma cacao	Catechin	"Catechin"
Theobroma cacao	Epicatechin	"Epicatechin"
Theobroma cacao	Naringenin	"Naringenin"
Theobroma cacao	Apigenin	"Apigenin"
Vigna angularis	Catechin	"Catechin"
Vigna angularis	Genistein	"Genistein"
Vigna angularis	Cyanidin	"Cyanidin"
Vigna angularis	Gallocatechin	"Gallocatechin"
Vigna radiata	Genistein	"Genistein"
Vigna radiata	Gallocatechin	"Gallocatechin"
Vitis vinifera	Catechin	"Catechin"
Vitis vinifera	Epicatechin	"Epicatechin"
Vitis vinifera	Cyanidin	"Cyanidin"
Vitis vinifera	Gallocatechin	"Gallocatechin"
Zea mays	Luteolin	"Luteolin"
Zea mays	Naringenin	"Naringenin"
Zea mays	Genistein	"Genistein"
Zea mays	Apigenin	"Apigenin"
Zea mays	Kaempferol	"Kaempferol"
Zea mays	Quercetin	"Quercetin"
Zea mays	Cyanidin	"Cyanidin"
Ziziphus jujuba	Catechin	"Catechin"
Medicago truncatula	Luteolin	"Luteolin"
Medicago truncatula	Catechin	"Catechin"
Medicago truncatula	Epicatechin	"Epicatechin"
Medicago truncatula	Naringenin	"Naringenin"
Medicago truncatula	Myricetin	"Myricetin"
Medicago truncatula	Genistein	"Genistein"
Medicago truncatula	Apigenin	"Apigenin"
Medicago truncatula	Kaempferol	"Kaempferol"
Medicago truncatula	Quercetin	"Quercetin"
Medicago truncatula	Cyanidin	"Cyanidin"
Medicago truncatula	Isoliquiritigenin	"Isoliquiritigenin"
Medicago truncatula	Gallocatechin	"Gallocatechin"
Medicago truncatula	Epigallocatechin	"(-)-Epigallocatechin"
