PDB	PC	IUPAC	InChI	InChIKey	CannonSMILES	IsoSMILES	Formula	Weight	Charge	Fingerprint2D	#RotatableBonds	#HeavyAtoms	#IsotopeAtoms	#StereoAtoms	#DefStereoAtoms	#UndefStereoAtoms	#StereoBonds	#DefStereoBonds	#UndefStereoBonds	#CovalentUnits	#HBondDonors	#HBondAcceptors	CAS ID(S)	MMDBID(S)	ProtGI(S)	NTGI(S)	TaxID(S)	MIMID(S)	GeneID(S)	ProbeID(S)	Synonyms ({} Separated)	ZINC ID	ChemTik ID	CHEMBL ID	CHEBI ID	BindingDB ID	SureChEMBL ID	EPA DSSTox
142	34359	(2S)-3-(3,4-dihydroxyphenyl)-2-hydrazinyl-2-methylpropanoic acid	InChI=1S/C10H14N2O4/c1-10(12-11,9(15)16)5-6-2-3-7(13)8(14)4-6/h2-4,12-14H,5,11H2,1H3,(H,15,16)/t10-/m0/s1	TZFNLOMSOLWIDK-JTQLQIEISA-N	CC(CC1=CC(=C(C=C1)O)O)(C(=O)O)NN	C[C@](CC1=CC(=C(C=C1)O)O)(C(=O)O)NN	C10H14N2O4	226.23	0	AAADccBzOAAAAAAAAAAAAAAAAAAAAAAAAAAwAAAAAAAAAAABAAAAHgAYCAAADIyBmAAyDoBiAgCIAiDSCAACAAAgIAIYqAGGiIgLJjKCkROAcAEk0BEJmAeY2PGOIAABAAAAQABAAAIAAACAAAAAAAAAAA==	4	16	0	1	1	0	0	0	0	1	5	6	38821-49-7,1426847-87-1,28860-95-9	17673	None	None	None	None	None	None	 	ZINC19168887	NONE	CHEMBL1201236	CHEBI:39585	BDBM50418773	SCHEMBL35084	DTXSID4022735	
431	688829	2-(4-methylphenyl)chromen-4-one	InChI=1S/C16H12O2/c1-11-6-8-12(9-7-11)16-10-14(17)13-4-2-3-5-15(13)18-16/h2-10H,1H3	OPHKKQQCOYMLPW-UHFFFAOYSA-N	CC1=CC=C(C=C1)C2=CC(=O)C3=CC=CC=C3O2	CC1=CC=C(C=C1)C2=CC(=O)C3=CC=CC=C3O2	C16H12O2	236.26	0	AAADccB4MAAAAAAAAAAAAAAAAAAAAAAAAAAwYIAAAAAAAACBQAAAGgAAAAAADASAmAAyBoAABACIAqBSAAACCAAkIAAIiAEGCMgMJjaENRqCOWCk4BEIqYeIyLCOQAAAAAAIAACAAAAAABAAAAAAAAAAAA==	1	18	0	0	0	0	0	0	0	1	0	2	41255-30-5	104669	None	None	None	None	None	None	 	ZINC57876	NONE	CHEMBL16861	NONE	BDBM50310190	SCHEMBL7593917	NONE	
975	82755	4-(2-hydroxyethyl)benzene-1,2-diol	InChI=1S/C8H10O3/c9-4-3-6-1-2-7(10)8(11)5-6/h1-2,5,9-11H,3-4H2	JUUBCHWRXWPFFH-UHFFFAOYSA-N	C1=CC(=C(C=C1CCO)O)O	C1=CC(=C(C=C1CCO)O)O	C8H10O3	154.16	0	AAADccBwMAAAAAAAAAAAAAAAAAAAAAAAAAAwAAAAAAAAAAABAAAAGgAACAAADASgmAIwBoAAAgCAAiBCAAACAAAgIAAIiAAGiIgJNiKCERKAcAEkwBEJmAeA4LQOIAABAAAAQABAAAIAAACAAAAAAAAAAA==	2	11	0	0	0	0	0	0	0	1	3	3	10597-60-1	169028,168397	None	None	10090,10116,9606,9823	None	6401,24835,3725,25617,497811,29467,24224,1958,6648,10922,4779,54315,24498,24887,24248,24505,11450,25402,3383,12606,161476,19013,24516,100153927,19016,836,83785,6352,26193,26194,24787,26195,445013,596,5970,7124,5594,5595,4318,12895,993,25317,5862,6119,7019,1647,3567,3569,5743,7412,6773,289014,2936,11770	None	 	ZINC2379217	CTK8A3779	CHEMBL1950045	CHEBI:68889	NONE	SCHEMBL44363	DTXSID70147451	
03V	8663	naphthalen-2-ol	InChI=1S/C10H8O/c11-10-6-5-8-3-1-2-4-9(8)7-10/h1-7,11H	JWAZRIHNYRIHIV-UHFFFAOYSA-N	C1=CC=C2C=C(C=CC2=C1)O	C1=CC=C2C=C(C=CC2=C1)O	C10H8O	144.17	0	AAADccBwIAAAAAAAAAAAAAAAAAAAAAAAAAAwYAAAAAAAAADBUAAAGgAACAAADASAmAAwBsAAAgCAAiBCAAACAAAgIAAIiAAGCIgIJiKCERKAcAAkwBEImAeAwLAOoAABAAAQAABAAAIAACAAAAAAAAAAAA==	0	11	0	0	0	0	0	0	0	1	1	1	104-86-9,1321-67-1,104863-67-4,135-19-3	107274,95098	None	None	9986,10116,9606,10090,9913,6239	None	17250,1571,29859,11622,1543,1544,1576,1066,100037707,25830,7366,190959,24208,1555,282485,13078,7068,266685	None	 	ZINC967928	CTK0H4676	CHEMBL14126	CHEBI:10432	BDBM50159250	SCHEMBL28781	DTXSID5027061	
07H	53389283	[4-(2H-chromen-3-ylmethyl)piperazin-1-yl]-[3-(1H-pyrazol-5-yl)phenyl]methanone	InChI=1S/C24H24N4O2/c29-24(21-6-3-5-19(15-21)22-8-9-25-26-22)28-12-10-27(11-13-28)16-18-14-20-4-1-2-7-23(20)30-17-18/h1-9,14-15H,10-13,16-17H2,(H,25,26)	WZSVVCINTGQIRF-UHFFFAOYSA-N	C1CN(CCN1CC2=CC3=CC=CC=C3OC2)C(=O)C4=CC=CC(=C4)C5=CC=NN5	C1CN(CCN1CC2=CC3=CC=CC=C3OC2)C(=O)C4=CC=CC(=C4)C5=CC=NN5	C24H24N4O2	400.5	0	AAADceB7sAAAAAAAAAAAAAAAAAAAAWAAAAA8YIEAAAAAAACB0AAAHgAYAAAADAzhngY8hpNjBACqAzV3UACSDAAkogAYuSE+bNgMZrKE9duWvSjm3hGI6YeYyeCeAAACAAAIAAAAAAQAABAAAAAAAAAAAA==	4	30	0	0	0	0	0	0	0	1	1	4	None	94516	None	None	None	None	None	None	 	NONE	NONE	NONE	NONE	NONE	NONE	NONE	
07L	5281426	7-hydroxychromen-2-one	InChI=1S/C9H6O3/c10-7-3-1-6-2-4-9(11)12-8(6)5-7/h1-5,10H	ORHBXUUXSCNDEV-UHFFFAOYSA-N	C1=CC(=CC2=C1C=CC(=O)O2)O	C1=CC(=CC2=C1C=CC(=O)O2)O	C9H6O3	162.14	0	AAADcYBwMAAAAAAAAAAAAAAAAAAAAAAAAAAwQAAAAAAAAACBAAAAGgAACAAADASAmAAwDoAABgCIAiDSCAACCAAgIAAIiAAGCMgMJyKGMRqCeiClwBUIuYeA4CwOIAAACAAIAABAAAAQABAAAAAAAAAAAA==	0	12	0	0	0	0	0	0	0	1	1	3	32922-68-2,93-35-6,102-46-5,1076-38-6,142044-47-1,10472-88-5	94353,153613,153614	None	None	9986,10116,9606,10090,9823	None	4353,1548,20887,301595,6817,4780,13106,11450,266685,22977,8644,581,7366,12359,113992,54600,83783,25675,403149,595,596,100301543,8574	None	 	ZINC58111	CTK3J2924,CTK1B2071	CHEMBL51628	CHEBI:27510	BDBM50174558	SCHEMBL22018	DTXSID5052626	
09H	25095215	2-(2,3-dihydro-1-benzofuran-5-yl)-N-(2-piperazin-1-ylphenyl)-1,3-thiazole-4-carboxamide	InChI=1S/C22H22N4O2S/c27-21(24-17-3-1-2-4-19(17)26-10-8-23-9-11-26)18-14-29-22(25-18)16-5-6-20-15(13-16)7-12-28-20/h1-6,13-14,23H,7-12H2,(H,24,27)	WRGSHXQBWJUKQD-UHFFFAOYSA-N	C1COC2=C1C=C(C=C2)C3=NC(=CS3)C(=O)NC4=CC=CC=C4N5CCNCC5	C1COC2=C1C=C(C=C2)C3=NC(=CS3)C(=O)NC4=CC=CC=C4N5CCNCC5	C22H22N4O2S	406.5	0	AAADceB7sABAAAAAAAAAAAAAAAAAAWJAAAA8YIAAAAAAAEgB0AAAHgQQAAAADAzl3gawx5PIFAisAyVyVACC+KBnKjgIiLW+fNgMZqLksbuWOCjk1BHo6IeQ0PIOIAACAAAIACBAAAQAABAAQAAAAAAAAA==	4	29	0	0	0	0	0	0	0	1	2	6	None	96731	None	None	None	None	None	None	 	NONE	NONE	CHEMBL2037017	NONE	BDBM50384649	SCHEMBL14206798		NONE	
0C1	56587969	6-[(2,5-difluorophenyl)methyl]-N-methylsulfonyl-8-(2-oxo-1H-pyridin-3-yl)-2,3-dihydrofuro[2,3-e]indole-7-carboxamide	InChI=1S/C24H19F2N3O5S/c1-35(32,33)28-24(31)21-19(16-3-2-9-27-23(16)30)20-18(7-4-13-8-10-34-22(13)20)29(21)12-14-11-15(25)5-6-17(14)26/h2-7,9,11H,8,10,12H2,1H3,(H,27,30)(H,28,31)	GPKCKCQUVBOYCV-UHFFFAOYSA-N	CS(=O)(=O)NC(=O)C1=C(C2=C(N1CC3=C(C=CC(=C3)F)F)C=CC4=C2OCC4)C5=CC=CNC5=O	CS(=O)(=O)NC(=O)C1=C(C2=C(N1CC3=C(C=CC(=C3)F)F)C=CC4=C2OCC4)C5=CC=CNC5=O	C24H19F2N3O5S	499.5	0	AAADceB7OYBAAAAAAAAAAAAAAAAAAWJAAAAwYIAAAAAAAFgB9AAAHwQQQAAADAzhng6yxvPMFAKoAyV2VHCCiCAnIiAI2KG8bNgMZvLEtbuWOSjmwhnI6Ye83/PeiAACAgAKAAAQAAQEABQAAAAAAAAAAA==	5	35	0	0	0	0	0	0	0	1	2	7	None	96759	None	None	None	None	None	None	 	NONE	NONE	NONE	NONE	NONE	SCHEMBL12343962		NONE	
0C2	49774199	(3S)-6-[(2,5-difluorophenyl)methyl]-3-methyl-N-methylsulfonyl-8-(2-oxo-1H-pyridin-3-yl)-2,3-dihydrofuro[2,3-e]indole-7-carboxamide	InChI=1S/C25H21F2N3O5S/c1-13-12-35-23-16(13)6-8-19-21(23)20(17-4-3-9-28-24(17)31)22(25(32)29-36(2,33)34)30(19)11-14-10-15(26)5-7-18(14)27/h3-10,13H,11-12H2,1-2H3,(H,28,31)(H,29,32)/t13-/m1/s1	LVGCEDOTDJKOGS-CYBMUJFWSA-N	CC1COC2=C1C=CC3=C2C(=C(N3CC4=C(C=CC(=C4)F)F)C(=O)NS(=O)(=O)C)C5=CC=CNC5=O	C[C@@H]1COC2=C1C=CC3=C2C(=C(N3CC4=C(C=CC(=C4)F)F)C(=O)NS(=O)(=O)C)C5=CC=CNC5=O	C25H21F2N3O5S	513.5	0	AAADceB7OYBAAAAAAAAAAAAAAAAAAWJAAAAwYIAAAAAAAFgB9AAAHwQQQAAADQzhng6yxvPMFAKoAyV2VHCCiCAnIiAI2KG8bNgMZvLEtbuWOSjmwhnI6Ye83/PeiAACAgAKAAAQAAQEABQAAAAAAAAAAA==	5	36	0	1	1	0	0	0	0	1	2	7	None	96760	None	None	None	None	None	None	 	NONE	NONE	NONE	NONE	NONE	SCHEMBL13395228	NONE	
0EA	124930	(2S,3R)-3-(3,4-dihydroxyphenyl)-3-hydroxy-2-(methylamino)propanoic acid	InChI=1S/C10H13NO5/c1-11-8(10(15)16)9(14)5-2-3-6(12)7(13)4-5/h2-4,8-9,11-14H,1H3,(H,15,16)/t8-,9+/m0/s1	RPXZFIAFSLMEJW-DTWKUNHWSA-N	CNC(C(C1=CC(=C(C=C1)O)O)O)C(=O)O	CN[C@@H]([C@@H](C1=CC(=C(C=C1)O)O)O)C(=O)O	C10H13NO5	227.21	0	AAADccByOAAAAAAAAAAAAAAAAAAAAAAAAAAwAAAAAAAAAAABAAAAHgAQCAAADDzhmAYyDoLAAgCIAiDSCAACAAAgIAAIiIGOiIgLNjaCkTOEcAEl8BEZmAfY+LeOIAABAAAAQABAAAIAAACAAAAAAAAAAA==	4	16	0	2	2	0	0	0	0	1	5	6	98736-48-2,92843-37-3	None	None	None	None	None	None	None	 	NONE	NONE	NONE	NONE	NONE	SCHEMBL10039785	DTXSID60918930	
