Abrus precatorius
Aegilops tauschii
Brachypodium distachyon
Cicer arietinum
Capsicum annuum
Citrus clementina
Citrus sinensis
Carica papaya
Camellia sinensis
Dendrobium catenatum
Oryza sativa japonica
Durio zibethinus
Eucalyptus grandis
Elaeis guineensis
Gossypium arboreum
Gossypium hirsutum
Glycine max
Gossypium raimondii
Glycine soja
Hevea brasiliensis
Jatropha curcas
Juglans regia
Lupinus angustifolius
Lotus japonicus
Manihot esculenta
Mangifera indica
Macadamia integrifolia
Medicago truncatula
Musa acuminata
Nicotiana attenuata
Nymphaea colorata
Nelumbo nucifera
Nicotiana sylvestris
Nicotiana tabacum
Nicotiana tomentosiformis
Oryza brachyantha
Oryza sativa japonica
Populus alba
Phoenix dactylifera
Phalaenopsis equestris
Populus euphratica
Panicum hallii
Populus trichocarpa
Panicum virgatum
Phaseolus vulgaris
Pistacia vera
Quercus lobata
Quercus suber
Setaria italica
Solanum lycopersicum
Solanum tuberosum
Solanum pennellii
Salvia splendens
Triticum aestivum
Theobroma cacao
Triticum dicoccoides
Tripterygium wilfordii
Vigna angularis
Vigna radiata
Vitis riparia
Vigna unguiculata
Vitis vinifera
Ziziphus jujuba
Zea mays

