Cucurbita moschata, 111463284, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Cucurbita moschata, 111463285, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Cucurbita moschata, 111463286, phenylalanine ammonia-lyase-like isoform X1  [EC], ['EC:4.3.1.24'], KO:K10775
Cucurbita moschata, 111463287, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Cucurbita moschata, 111463288, phenylalanine ammonia-lyase  [EC], ['EC:4.3.1.24'], KO:K10775
Cucurbita moschata, 111463344, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Cucurbita moschata, 111449646, phenylalanine ammonia-lyase G4-like  [EC], ['EC:4.3.1.24'], KO:K10775
Cucurbita moschata, 111461649, phenylalanine ammonia-lyase-like isoform X1  [EC], ['EC:4.3.1.24'], KO:K10775
Cucurbita moschata, 111463389, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Cucurbita moschata, 111463390, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Cucurbita moschata, 111463391, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Cucurbita moschata, 111449086, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Cucurbita moschata, 111433131, phenylalanine ammonia-lyase  [EC], ['EC:4.3.1.24'], KO:K10775
Cucurbita moschata, 111433140, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Cucurbita moschata, 111433142, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Cucurbita moschata, 111463060, phenylalanine ammonia-lyase 1-like  [EC], ['EC:4.3.1.24'], KO:K10775
Cucurbita moschata, 111451474, trans-cinnamate 4-monooxygenase  [EC], ['EC:1.14.14.91'], KO:K00487
Cucurbita moschata, 111452469, trans-cinnamate 4-monooxygenase-like  [EC], ['EC:1.14.14.91'], KO:K00487
Cucurbita moschata, 111436256, cytochrome P450 CYP73A100-like  [EC], ['EC:1.14.14.91'], KO:K00487
Cucurbita moschata, 111448702, trans-cinnamate 4-monooxygenase-like  [EC], ['EC:1.14.14.91'], KO:K00487
Cucurbita moschata, 111455820, 4-coumarate--CoA ligase 2-like  [EC], ['EC:6.2.1.12'], KO:K01904
Cucurbita moschata, 111449548, 4-coumarate--CoA ligase-like 1  [EC], ['EC:6.2.1.12'], KO:K01904
Cucurbita moschata, 111451685, 4-coumarate--CoA ligase 3  [EC], ['EC:6.2.1.12'], KO:K01904
Cucurbita moschata, 111452734, 4-coumarate--CoA ligase-like 7  [EC], ['EC:6.2.1.12'], KO:K01904
Cucurbita moschata, 111436262, 4-coumarate--CoA ligase 2-like  [EC], ['EC:6.2.1.12'], KO:K01904
Cucurbita moschata, 111441212, 4-coumarate--CoA ligase 2-like isoform X1  [EC], ['EC:6.2.1.12'], KO:K01904
Cucurbita moschata, 111442288, 4-coumarate--CoA ligase 1-like  [EC], ['EC:6.2.1.12'], KO:K01904
Cucurbita moschata, 111429639, 4-coumarate--CoA ligase 1-like isoform X1  [EC], ['EC:6.2.1.12'], KO:K01904
Cucurbita moschata, 111441628, 4-coumarate--CoA ligase-like 7  [EC], ['EC:6.2.1.12'], KO:K01904
Cucurbita moschata, 111452267, 4-coumarate--CoA ligase 1-like isoform X1  [EC], ['EC:6.2.1.12'], KO:K01904
Cucurbita moschata, 111464107, 4-coumarate--CoA ligase-like 6 isoform X1  [EC], ['EC:6.2.1.12'], KO:K01904
Cucurbita moschata, 111460853, 4-coumarate--CoA ligase 2-like  [EC], ['EC:6.2.1.12'], KO:K01904
