Erigeron canadensis, 122602813, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Erigeron canadensis, 122602814, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Erigeron canadensis, 122602815, LOW QUALITY PROTEIN: phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Erigeron canadensis, 122604858, phenylalanine ammonia-lyase isoform X1  [EC], ['EC:4.3.1.24'], KO:K10775
Erigeron canadensis, 122586736, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Erigeron canadensis, 122592523, trans-cinnamate 4-monooxygenase  [EC], ['EC:1.14.14.91'], KO:K00487
Erigeron canadensis, 122609569, trans-cinnamate 4-monooxygenase  [EC], ['EC:1.14.14.91'], KO:K00487
Erigeron canadensis, 122589867, 4-coumarate--CoA ligase 2-like  [EC], ['EC:6.2.1.12'], KO:K01904
Erigeron canadensis, 122602204, 4-coumarate--CoA ligase-like 6  [EC], ['EC:6.2.1.12'], KO:K01904
Erigeron canadensis, 122581846, 4-coumarate--CoA ligase-like 7  [EC], ['EC:6.2.1.12'], KO:K01904
Erigeron canadensis, 122585119, probable CoA ligase CCL7  [EC], ['EC:6.2.1.12'], KO:K01904
Erigeron canadensis, 122585404, probable CoA ligase CCL7  [EC], ['EC:6.2.1.12'], KO:K01904
Erigeron canadensis, 122585702, 4-coumarate--CoA ligase-like 1  [EC], ['EC:6.2.1.12'], KO:K01904
Erigeron canadensis, 122611236, 4-coumarate--CoA ligase 2-like  [EC], ['EC:6.2.1.12'], KO:K01904
Erigeron canadensis, 122600437, 4-coumarate--CoA ligase-like 6  [EC], ['EC:6.2.1.12'], KO:K01904
Erigeron canadensis, 122589218, 4-coumarate--CoA ligase-like 9  [EC], ['EC:6.2.1.12'], KO:K01904
Erigeron canadensis, 122578664, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Erigeron canadensis, 122592145, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Erigeron canadensis, 122579265, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Erigeron canadensis, 122579436, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Erigeron canadensis, 122579454, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Erigeron canadensis, 122592641, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Erigeron canadensis, 122604626, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Erigeron canadensis, 122604643, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Erigeron canadensis, 122605114, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Erigeron canadensis, 122579604, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Erigeron canadensis, 122580130, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Erigeron canadensis, 122593382, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Erigeron canadensis, 122593392, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Erigeron canadensis, 122605263, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Erigeron canadensis, 122581493, acyltransferase Pun1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Erigeron canadensis, 122594301, pelargonidin 3-O-(6-caffeoylglucoside) 5-O-(6-O-malonylglucoside) 4'''-malonyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Erigeron canadensis, 122595310, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Erigeron canadensis, 122608671, pelargonidin 3-O-(6-caffeoylglucoside) 5-O-(6-O-malonylglucoside) 4'''-malonyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Erigeron canadensis, 122596531, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Erigeron canadensis, 122610684, stemmadenine O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Erigeron canadensis, 122598408, pelargonidin 3-O-(6-caffeoylglucoside) 5-O-(6-O-malonylglucoside) 4'''-malonyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Erigeron canadensis, 122598988, stemmadenine O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Erigeron canadensis, 122586711, shikimate O-hydroxycinnamoyltransferase isoform X1  [EC], ['EC:2.3.1.133'], KO:K13065
Erigeron canadensis, 122599334, shikimate O-hydroxycinnamoyltransferase-like isoform X1  [EC], ['EC:2.3.1.133'], KO:K13065
Erigeron canadensis, 122587598, rosmarinate synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
