Phoenix dactylifera, 103712379, chalcone synthase 1  [EC], ['EC:2.3.1.74'], KO:K00660
Phoenix dactylifera, 103723569, chalcone synthase-like  [EC], ['EC:2.3.1.74'], KO:K00660
Phoenix dactylifera, 103720326, chalcone synthase C2  [EC], ['EC:2.3.1.74'], KO:K00660
Phoenix dactylifera, 103720741, chalcone synthase 3  [EC], ['EC:2.3.1.74'], KO:K00660
Phoenix dactylifera, 103720740, LOW QUALITY PROTEIN: chalcone synthase 3  [EC], ['EC:2.3.1.74'], KO:K00660
Phoenix dactylifera, 103698502, chalcone synthase 3-like  [EC], ['EC:2.3.1.74'], KO:K00660
Phoenix dactylifera, 103700702, chalcone synthase-like  [EC], ['EC:2.3.1.74'], KO:K00660
Phoenix dactylifera, 120105391, chalcone synthase 3  [EC], ['EC:2.3.1.74'], KO:K00660
Phoenix dactylifera, 120111374, chalcone synthase 3-like  [EC], ['EC:2.3.1.74'], KO:K00660
Phoenix dactylifera, 120111375, chalcone synthase 3-like  [EC], ['EC:2.3.1.74'], KO:K00660
Phoenix dactylifera, 120111376, chalcone synthase 3-like  [EC], ['EC:2.3.1.74'], KO:K00660
Phoenix dactylifera, 120111590, chalcone synthase-like  [EC], ['EC:2.3.1.74'], KO:K00660
Phoenix dactylifera, 120111592, chalcone synthase-like  [EC], ['EC:2.3.1.74'], KO:K00660
Phoenix dactylifera, 120111595, chalcone synthase-like  [EC], ['EC:2.3.1.74'], KO:K00660
Phoenix dactylifera, 120111596, chalcone synthase-like  [EC], ['EC:2.3.1.74'], KO:K00660
Phoenix dactylifera, 103696411, chalcone--flavonone isomerase  [EC], ['EC:5.5.1.6'], KO:K01859
Phoenix dactylifera, 108511484, chalcone--flavonone isomerase-like  [EC], ['EC:5.5.1.6'], KO:K01859
Phoenix dactylifera, 103721160, probable chalcone--flavonone isomerase 3  [EC], ['EC:5.5.1.6'], KO:K01859
Phoenix dactylifera, 103708901, probable chalcone--flavonone isomerase 3  [EC], ['EC:5.5.1.6'], KO:K01859
Phoenix dactylifera, 103708217, flavanone 3-dioxygenase F3H1-like  [EC], ['EC:1.14.11.9'], KO:K00475
Phoenix dactylifera, 103697163, flavanone 3-dioxygenase F3H1-like  [EC], ['EC:1.14.11.9'], KO:K00475
Phoenix dactylifera, 120108474, flavanone 3-dioxygenase F3H1-like  [EC], ['EC:1.14.11.9'], KO:K00475
Phoenix dactylifera, 103712517, flavonol synthase 1  [EC], ['EC:1.14.20.6'], KO:K05278
Phoenix dactylifera, 103702142, trans-cinnamate 4-monooxygenase-like  [EC], ['EC:1.14.14.91'], KO:K00487
Phoenix dactylifera, 103702256, cytochrome P450 CYP73A100-like  [EC], ['EC:1.14.14.91'], KO:K00487
Phoenix dactylifera, 103722165, trans-cinnamate 4-monooxygenase-like  [EC], ['EC:1.14.14.91'], KO:K00487
Phoenix dactylifera, 103713131, cytochrome P450 CYP73A100-like  [EC], ['EC:1.14.14.91'], KO:K00487
Phoenix dactylifera, 103706246, trans-cinnamate 4-monooxygenase-like  [EC], ['EC:1.14.14.91'], KO:K00487
Phoenix dactylifera, 103708914, trans-cinnamate 4-monooxygenase  [EC], ['EC:1.14.14.91'], KO:K00487
Phoenix dactylifera, 120110174, trans-cinnamate 4-monooxygenase-like  [EC], ['EC:1.14.14.91'], KO:K00487
Phoenix dactylifera, 103710250, flavonoid 3'-monooxygenase CYP75B137-like  [EC], ['EC:1.14.14.82'], KO:K05280
Phoenix dactylifera, 103708250, flavonoid 3'-monooxygenase CYP75B137-like  [EC], ['EC:1.14.14.82'], KO:K05280
Phoenix dactylifera, 103712715, dihydroflavonol 4-reductase  [EC], ['EC:1.1.1.219', 'EC:1.1.1.234'], KO:K13082
Phoenix dactylifera, 103706786, flavonoid 3',5'-hydroxylase-like  [EC], ['EC:1.14.14.81'], KO:K13083
Phoenix dactylifera, 103706219, flavonoid 3',5'-hydroxylase 1-like  [EC], ['EC:1.14.14.81'], KO:K13083
Phoenix dactylifera, 103713287, flavonoid 3',5'-hydroxylase 1-like  [EC], ['EC:1.14.14.81'], KO:K13083
Phoenix dactylifera, 103719265, flavonoid 3',5'-hydroxylase 1-like  [EC], ['EC:1.14.14.81'], KO:K13083
