Spinacia oleracea, 110789886, flavonoid 3'-monooxygenase  [EC], ['EC:1.14.14.82'], KO:K05280
Spinacia oleracea, 110779706, UDP-glycosyltransferase 79B30-like  [EC], ['EC:2.4.1.239', 'EC:2.4.1.-'], KO:K22794
Spinacia oleracea, 110778064, anthocyanidin 3-O-glucoside 2''-O-glucosyltransferase-like  [EC], ['EC:2.4.1.239', 'EC:2.4.1.-'], KO:K22794
Spinacia oleracea, 110778543, anthocyanidin 3-O-glucoside 2''-O-glucosyltransferase-like  [EC], ['EC:2.4.1.239', 'EC:2.4.1.-'], KO:K22794
Spinacia oleracea, 110778564, UDP-glycosyltransferase 79B30-like  [EC], ['EC:2.4.1.239', 'EC:2.4.1.-'], KO:K22794
Spinacia oleracea, 110778581, UDP-glycosyltransferase 79B30-like  [EC], ['EC:2.4.1.239', 'EC:2.4.1.-'], KO:K22794
Spinacia oleracea, 110786383, UDP-glycosyltransferase 79B30-like  [EC], ['EC:2.4.1.239', 'EC:2.4.1.-'], KO:K22794
Spinacia oleracea, 110804497, UDP-glycosyltransferase 79B30-like  [EC], ['EC:2.4.1.239', 'EC:2.4.1.-'], KO:K22794
Spinacia oleracea, 110800421, anthocyanidin 3-O-glucoside 2''-O-glucosyltransferase-like  [EC], ['EC:2.4.1.239', 'EC:2.4.1.-'], KO:K22794
Spinacia oleracea, 110784981, UDP-glycosyltransferase 79B30-like  [EC], ['EC:2.4.1.239', 'EC:2.4.1.-'], KO:K22794
Spinacia oleracea, 110784983, UDP-glycosyltransferase 79B30-like  [EC], ['EC:2.4.1.239', 'EC:2.4.1.-'], KO:K22794
Spinacia oleracea, 110803278, anthocyanidin 3-O-glucosyltransferase-like  [EC], ['EC:2.4.1.159'], KO:K22772
Spinacia oleracea, 110803262, anthocyanidin 3-O-glucosyltransferase-like  [EC], ['EC:2.4.1.159'], KO:K22772
Spinacia oleracea, 110803271, anthocyanidin 3-O-glucosyltransferase-like  [EC], ['EC:2.4.1.159'], KO:K22772
