Triticum aestivum, 123145987, flavonoid 3',5'-hydroxylase 1-like  [EC], ['EC:1.14.14.81'], KO:K13083
Triticum aestivum, 123129897, flavonoid 3',5'-hydroxylase 1-like  [EC], ['EC:1.14.14.81'], KO:K13083
Triticum aestivum, 123131240, flavonoid 3',5'-hydroxylase 1-like  [EC], ['EC:1.14.14.81'], KO:K13083
Triticum aestivum, 123168051, flavonoid 3',5'-hydroxylase-like  [EC], ['EC:1.14.14.81'], KO:K13083
Triticum aestivum, 123047038, flavonoid 3',5'-hydroxylase 2-like  [EC], ['EC:1.14.14.81'], KO:K13083
Triticum aestivum, 123133080, flavonoid 3',5'-hydroxylase 1-like  [EC], ['EC:1.14.14.81'], KO:K13083
Triticum aestivum, 123133082, flavonoid 3',5'-hydroxylase 1-like  [EC], ['EC:1.14.14.81'], KO:K13083
Triticum aestivum, 123098061, flavonoid 3',5'-hydroxylase 1-like  [EC], ['EC:1.14.14.81'], KO:K13083
Triticum aestivum, 123170643, flavonoid 3',5'-hydroxylase-like  [EC], ['EC:1.14.14.81'], KO:K13083
Triticum aestivum, 123151823, flavonoid 3',5'-hydroxylase-like  [EC], ['EC:1.14.14.81'], KO:K13083
Triticum aestivum, 123139302, flavonoid 3',5'-hydroxylase 1-like  [EC], ['EC:1.14.14.81'], KO:K13083
Triticum aestivum, 123139307, flavonoid 3',5'-hydroxylase 1-like  [EC], ['EC:1.14.14.81'], KO:K13083
Triticum aestivum, 123088337, flavonoid 3',5'-hydroxylase-like  [EC], ['EC:1.14.14.81'], KO:K13083
Triticum aestivum, 123140667, flavonoid 3',5'-hydroxylase 1-like  [EC], ['EC:1.14.14.81'], KO:K13083
Triticum aestivum, 123054866, flavonoid 3',5'-hydroxylase 2-like  [EC], ['EC:1.14.14.81'], KO:K13083
Triticum aestivum, 123148568, flavonoid 3'-monooxygenase CYP75B4-like  [EC], ['EC:1.14.14.82'], KO:K05280
Triticum aestivum, 123167460, flavonoid 3'-monooxygenase CYP75B4-like  [EC], ['EC:1.14.14.82'], KO:K05280
Triticum aestivum, 123133137, flavonoid 3'-monooxygenase CYP75B4-like  [EC], ['EC:1.14.14.82'], KO:K05280
Triticum aestivum, 123101915, flavonoid 3'-monooxygenase CYP75B3-like  [EC], ['EC:1.14.14.82'], KO:K05280
Triticum aestivum, 123070997, flavonoid 3'-monooxygenase CYP75B3-like  [EC], ['EC:1.14.14.82'], KO:K05280
Triticum aestivum, 123162411, flavonoid 3'-monooxygenase CYP75B4-like  [EC], ['EC:1.14.14.82'], KO:K05280
Triticum aestivum, 123183410, flavonoid 3'-monooxygenase CYP75B3-like  [EC], ['EC:1.14.14.82'], KO:K05280
Triticum aestivum, 123042898, flavonoid 3'-monooxygenase CYP75B3-like  [EC], ['EC:1.14.14.82'], KO:K05280
Triticum aestivum, 123060505, UDP-glycosyltransferase 1-like isoform X1  [EC], ['EC:2.4.1.-'], KO:K22771
Triticum aestivum, 123077573, UDP-glycosyltransferase 73D1-like  [EC], ['EC:2.4.1.-'], KO:K22771
Triticum aestivum, 123077574, UDP-glycosyltransferase 73D1-like  [EC], ['EC:2.4.1.-'], KO:K22771
Triticum aestivum, 123077580, UDP-glycosyltransferase 1-like  [EC], ['EC:2.4.1.-'], KO:K22771
Triticum aestivum, 123077581, UDP-glycosyltransferase 73D1-like isoform X1  [EC], ['EC:2.4.1.-'], KO:K22771
Triticum aestivum, 123077582, UDP-glycosyltransferase 73C1-like  [EC], ['EC:2.4.1.-'], KO:K22771
Triticum aestivum, 123060506, UDP-glycosyltransferase 1-like  [EC], ['EC:2.4.1.-'], KO:K22771
Triticum aestivum, 123060507, UDP-glycosyltransferase 73C1-like  [EC], ['EC:2.4.1.-'], KO:K22771
Triticum aestivum, 123046079, UDP-glycosyltransferase 73D1-like  [EC], ['EC:2.4.1.-'], KO:K22771
Triticum aestivum, 123189856, UDP-glycosyltransferase 73C6-like  [EC], ['EC:2.4.1.-'], KO:K22771
Triticum aestivum, 123189858, UDP-glycosyltransferase 73D1-like  [EC], ['EC:2.4.1.-'], KO:K22771
Triticum aestivum, 123049647, UDP-glycosyltransferase 73C6-like  [EC], ['EC:2.4.1.-'], KO:K22771
Triticum aestivum, 123069053, UDP-glycosyltransferase 73D1-like  [EC], ['EC:2.4.1.-'], KO:K22771
Triticum aestivum, 123069058, UDP-glycosyltransferase 73C10-like  [EC], ['EC:2.4.1.-'], KO:K22771
Triticum aestivum, 123069064, UDP-glycosyltransferase 73D1-like  [EC], ['EC:2.4.1.-'], KO:K22771
Triticum aestivum, 100415862, UDP-glycosyltransferase 73C10  [EC], ['EC:2.4.1.-'], KO:K22771
Triticum aestivum, 123069070, UDP-glycosyltransferase 73C3-like  [EC], ['EC:2.4.1.-'], KO:K22771
Triticum aestivum, 123069071, UDP-glycosyltransferase 73C3-like  [EC], ['EC:2.4.1.-'], KO:K22771
Triticum aestivum, 123053959, UDP-glycosyltransferase 73D1-like  [EC], ['EC:2.4.1.-'], KO:K22771
Triticum aestivum, 123058026, UDP-glycosyltransferase 73D1-like  [EC], ['EC:2.4.1.-'], KO:K22771
Triticum aestivum, 123058027, UDP-glycosyltransferase 73D1-like  [EC], ['EC:2.4.1.-'], KO:K22771
Triticum aestivum, 123187305, anthocyanidin-3-O-glucoside rhamnosyltransferase-like  [EC], ['EC:2.4.1.159'], KO:K22772
Triticum aestivum, 123040456, anthocyanidin-3-O-glucoside rhamnosyltransferase-like  [EC], ['EC:2.4.1.159'], KO:K22772
Triticum aestivum, 123051358, anthocyanidin-3-O-glucoside rhamnosyltransferase-like  [EC], ['EC:2.4.1.159'], KO:K22772
Triticum aestivum, 123176859, anthocyanidin-3-O-glucoside rhamnosyltransferase-like  [EC], ['EC:2.4.1.159'], KO:K22772
