ACANTHACEAE#THOMANDERSIA LAURIFOLIA#CYANIDIN
ACERACEAE#ACER ACUMINATUM#CYANIDIN-3-GALLOYL-GLUCOSIDE#CYANIDIN-3-GALLOYL-RUTINOSIDE
ACERACEAE#ACER AMPLUM#CYANIDIN-3-5-DIGLUCOSIDE#CYANIDIN-3-GALLOYL-GLUCOSIDE#CYANIDIN-3-GALLOYL-RUTINOSIDE
ACERACEAE#ACER ARGUTUM#CYANIDIN-3-5-DIGLUCOSIDE#CYANIDIN-3-GALLOYL-GLUCOSIDE#CYANIDIN-3-GALLOYL-RUTINOSIDE
ACERACEAE#ACER BARBINERVE#CYANIDIN-3-GALLOYL-GLUCOSIDE#CYANIDIN-3-GALLOYL-RUTINOSIDE
ACERACEAE#ACER BUERGERIANUM#CYANIDIN-3-5-DIGLUCOSIDE#CYANIDIN-3-GALLOYL-GLUCOSIDE#CYANIDIN-3-GALLOYL-RUTINOSIDE
ACERACEAE#ACER BUERGERIANUM_VAR.FORMOSANUM#CYANIDIN-3-GALLOYL-GLUCOSIDE#CYANIDIN-3-GALLOYL-RUTINOSIDE
ACERACEAE#ACER BUERGERIANUM_VAR.NINGPOENSE#CYANIDIN-3-GALLOYL-GLUCOSIDE
ACERACEAE#ACER CAESIUM_SSP.GIRALDII#CYANIDIN-3-GALLOYL-RUTINOSIDE
ACERACEAE#ACER CAMPESTRE#CYANIDIN-3-GALLOYL-GLUCOSIDE#CYANIDIN-3-GALLOYL-RUTINOSIDE
ACERACEAE#ACER CAMPESTRE_VAR.HEBECARPUM#CYANIDIN-3-GALLOYL-GLUCOSIDE
ACERACEAE#ACER CAPILLIPES#CYANIDIN-3-5-DIGLUCOSIDE
ACERACEAE#ACER CAPPADOCICUM#CYANIDIN-3-GALLOYL-GLUCOSIDE#CYANIDIN-3-GALLOYL-RUTINOSIDE
ACERACEAE#ACER CAPPADOCICUM_VAR.SINICUM#CYANIDIN-3-5-DIGLUCOSIDE#CYANIDIN-3-GALLOYL-GLUCOSIDE#CYANIDIN-3-GALLOYL-RUTINOSIDE
ACERACEAE#ACER CAPPADOCICUM_VAR.TRICAUDATUM#CYANIDIN-3-GALLOYL-GLUCOSIDE#CYANIDIN-3-GALLOYL-RUTINOSIDE
ACERACEAE#ACER CAUDATIFOLIUM#CYANIDIN-3-GALLOYL-GLUCOSIDE
ACERACEAE#ACER CIRCINATUM#CYANIDIN-3-GALLOYL-GLUCOSIDE#CYANIDIN-3-GALLOYL-RUTINOSIDE
ACERACEAE#ACER CISSIFOLIUM#CYANIDIN-3-5-DIGLUCOSIDE#CYANIDIN-3-GALLOYL-GLUCOSIDE#CYANIDIN-3-GALLOYL-RUTINOSIDE
ACERACEAE#ACER CRATAEGIFOLIUM#CYANIDIN-3-5-DIGLUCOSIDE
ACERACEAE#ACER DAVIDII#CYANIDIN-3-GALLOYL-GLUCOSIDE#CYANIDIN-3-GALLOYL-RUTINOSIDE
ACERACEAE#ACER DIABOLICUM#CYANIDIN-3-5-DIGLUCOSIDE#CYANIDIN-3-GALLOYL-GLUCOSIDE#CYANIDIN-3-GALLOYL-RUTINOSIDE
ACERACEAE#ACER DISTYLUM#CYANIDIN-3-GALLOYL-GLUCOSIDE#CYANIDIN-3-GALLOYL-RUTINOSIDE
ACERACEAE#ACER DIVERGENS#CYANIDIN-3-5-DIGLUCOSIDE#CYANIDIN-3-GALLOYL-GLUCOSIDE#CYANIDIN-3-GALLOYL-RUTINOSIDE
ACERACEAE#ACER ELEGANTULUM#CYANIDIN-3-5-DIGLUCOSIDE#CYANIDIN-3-GALLOYL-GLUCOSIDE#CYANIDIN-3-GALLOYL-RUTINOSIDE
ACERACEAE#ACER FABRI#CYANIDIN-3-GALLOYL-GLUCOSIDE#CYANIDIN-3-GALLOYL-RUTINOSIDE
ACERACEAE#ACER FORRESTII#CYANIDIN-3-GALLOYL-GLUCOSIDE
ACERACEAE#ACER FULVESCENS#CYANIDIN-3-GALLOYL-GLUCOSIDE#CYANIDIN-3-GALLOYL-RUTINOSIDE
ACERACEAE#ACER GINNALA#CYANIDIN-3-5-DIGLUCOSIDE#CYANIDIN-3-GALLOYL-GLUCOSIDE#CYANIDIN-3-GALLOYL-RUTINOSIDE
ACERACEAE#ACER GLABRUM#CYANIDIN-3-GALLOYL-GLUCOSIDE#CYANIDIN-3-GALLOYL-RUTINOSIDE
ACERACEAE#ACER GRANDIDENTATUM#CYANIDIN-3-5-DIGLUCOSIDE#CYANIDIN-3-GALLOYL-GLUCOSIDE
ACERACEAE#ACER GRISEUM#CYANIDIN-3-5-DIGLUCOSIDE#CYANIDIN-3-GALLOYL-GLUCOSIDE#CYANIDIN-3-GALLOYL-RUTINOSIDE
ACERACEAE#ACER GROSSERI#CYANIDIN-3-GALLOYL-GLUCOSIDE#CYANIDIN-3-GALLOYL-RUTINOSIDE
ACERACEAE#ACER GROSSERI_VAR.HERSII#CYANIDIN-3-GALLOYL-GLUCOSIDE#CYANIDIN-3-GALLOYL-RUTINOSIDE
