Aegilops tauschii
Amborella trichopoda
Arachis duranensis
Asparagus officinalis
Beta vulgaris
Brachypodium distachyon
Carica papaya
Chenopodium quinoa
Cicer arietinum
Citrus clementina
Citrus sinensis
Durio zibethinus
Elaeis guineensis
Eucalyptus grandis
Glycine max
Gossypium arboreum
Gossypium hirsutum
Gossypium raimondii
Helianthus annuus
Hevea brasiliensis
Jatropha curcas
Juglans regia
Lotus japonicus
Lupinus angustifolius
Malus domestica
Manihot esculenta
Musa acuminata
Nelumbo nucifera
Nicotiana attenuata
Nicotiana sylvestris
Nicotiana tabacum
Nicotiana tomentosiformis
Olea europaea v. sylvestris
Oryza brachyantha
Oryza sativa japonica RAPDB
Papaver somniferum
Phaseolus vulgaris
Phoenix dactylifera
Populus trichocarpa
Populus euphratica
Prunus avium
Prunus mume
Prunus persica
Pyrus x bretschneideri
Quercus suber
Ricinus communis
Solanum pennellii
Solanum tuberosum
Spinacia oleracea
Theobroma cacao
Vigna angularis
Vigna radiata
Vitis vinifera
Ziziphus jujuba
Glycine soja
Medicago truncatula
Rosa chinensis
Vigna unguiculata

