Theobroma cacao
Cicer arietinum
Olea europaea v. sylvestris
Arachis ipaensis
Gossypium arboreum
Helianthus annuus
Oryza sativa japonica RAPDB
Hevea brasiliensis
Oryza brachyantha
Vigna unguiculata
Citrus clementina
Zea mays
Ricinus communis
Oryza sativa japonica RefSeq
Glycine soja
Cajanus cajan
Populus trichocarpa
Durio zibethinus
Eucalyptus grandis
Daucus carota
Gossypium raimondii
Brachypodium distachyon
Vigna angularis
Glycine max
Gossypium hirsutum
Manihot esculenta
Lupinus angustifolius
Lactuca sativa
Phaseolus vulgaris
Populus euphratica
Setaria italica
Sorghum bicolor
Medicago truncatula
Citrus sinensis
Aegilops tauschii
Arachis duranensis
Cynara cardunculus var. scolymus
Sesamum indicum
