Fragaria vesca, 101292546, phenylalanine ammonia-lyase 1  [EC], ['EC:4.3.1.24'], KO:K10775
Fragaria vesca, 101315259, phenylalanine ammonia-lyase 1  [EC], ['EC:4.3.1.24'], KO:K10775
Fragaria vesca, 101294342, trans-cinnamate 4-monooxygenase  [EC], ['EC:1.14.14.91'], KO:K00487
Fragaria vesca, 101306528, cytochrome P450 CYP73A100-like  [EC], ['EC:1.14.14.91'], KO:K00487
Fragaria vesca, 101296522, 4-coumarate--CoA ligase 2-like  [EC], ['EC:6.2.1.12'], KO:K01904
Fragaria vesca, 101299638, 4-coumarate--CoA ligase-like 7  [EC], ['EC:6.2.1.12'], KO:K01904
Fragaria vesca, 101304645, 4-coumarate--CoA ligase-like 1  [EC], ['EC:6.2.1.12'], KO:K01904
Fragaria vesca, 101313178, 4-coumarate--CoA ligase 2-like  [EC], ['EC:6.2.1.12'], KO:K01904
Fragaria vesca, 101291845, 4-coumarate--CoA ligase 1-like  [EC], ['EC:6.2.1.12'], KO:K01904
Fragaria vesca, 101312548, 4-coumarate--CoA ligase-like 6  [EC], ['EC:6.2.1.12'], KO:K01904
Fragaria vesca, 101297466, 4-coumarate--CoA ligase-like 7  [EC], ['EC:6.2.1.12'], KO:K01904
Fragaria vesca, 101304567, 4-coumarate--CoA ligase-like 9  [EC], ['EC:6.2.1.12'], KO:K01904
Fragaria vesca, 101305333, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Fragaria vesca, 101303591, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Fragaria vesca, 101303883, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Fragaria vesca, 101291126, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Fragaria vesca, 101306124, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Fragaria vesca, 101309938, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Fragaria vesca, 105352991, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Fragaria vesca, 101291593, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Fragaria vesca, 101291888, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
