Setaria italica, 101760249, chalcone synthase C2  [EC], ['EC:2.3.1.74'], KO:K00660
Setaria italica, 101773427, chalcone synthase 1  [EC], ['EC:2.3.1.74'], KO:K00660
Setaria italica, 101774247, chalcone synthase 1  [EC], ['EC:2.3.1.74'], KO:K00660
Setaria italica, 101774657, chalcone synthase 1  [EC], ['EC:2.3.1.74'], KO:K00660
Setaria italica, 101783722, phenylpropanoylacetyl-CoA synthase  [EC], ['EC:2.3.1.74'], KO:K00660
Setaria italica, 101769182, chalcone--flavonone isomerase  [EC], ['EC:5.5.1.6'], KO:K01859
Setaria italica, 101771169, vacuolar-sorting receptor 1  [EC], ['EC:5.5.1.6'], KO:K01859
Setaria italica, 111256611, chalcone--flavonone isomerase-like  [EC], ['EC:5.5.1.6'], KO:K01859
Setaria italica, 111257983, probable chalcone--flavonone isomerase 3  [EC], ['EC:5.5.1.6'], KO:K01859
Setaria italica, 101777126, flavanone 3-dioxygenase 1  [EC], ['EC:1.14.11.9'], KO:K00475
Setaria italica, 101780580, flavonol synthase/flavanone 3-hydroxylase  [EC], ['EC:1.14.20.6'], KO:K05278
Setaria italica, 101773281, LOW QUALITY PROTEIN: cytochrome P450 CYP73A100-like  [EC], ['EC:1.14.14.91'], KO:K00487
Setaria italica, 101768416, trans-cinnamate 4-monooxygenase  [EC], ['EC:1.14.14.91'], KO:K00487
Setaria italica, 101759053, flavonoid 3'-monooxygenase CYP75B3  [EC], ['EC:1.14.14.82'], KO:K05280
Setaria italica, 101763802, flavonoid 3'-monooxygenase CYP75B4  [EC], ['EC:1.14.14.82'], KO:K05280
Setaria italica, 101769770, dihydroflavonol 4-reductase  [EC], ['EC:1.1.1.219', 'EC:1.1.1.234'], KO:K13082
Setaria italica, 101761949, cytochrome P450 93G1-like  [EC], ['EC:1.14.19.76'], KO:K23180
Setaria italica, 101754995, flavonoid 3',5'-hydroxylase 1  [EC], ['EC:1.14.14.81'], KO:K13083
Setaria italica, 101754899, leucoanthocyanidin dioxygenase  [EC], ['EC:1.14.20.4'], KO:K05277
Setaria italica, 101757899, uncharacterized protein LOC101757899  [EC], ['EC:1.3.1.77'], KO:K08695
Setaria italica, 101758322, anthocyanidin reductase ((2S)-flavan-3-ol-forming) isoform X1  [EC], ['EC:1.3.1.77'], KO:K08695
Setaria italica, 101759132, uncharacterized protein LOC101759132  [EC], ['EC:1.3.1.77'], KO:K08695
Setaria italica, 101784129, anthocyanidin reductase ((2S)-flavan-3-ol-forming)  [EC], ['EC:1.3.1.77'], KO:K08695
Setaria italica, 101772973, putrescine hydroxycinnamoyltransferase 1  [EC], ['EC:2.3.1.133'], KO:K13065
Setaria italica, 101777158, hydroxycinnamoyltransferase 4  [EC], ['EC:2.3.1.133'], KO:K13065
Setaria italica, 101777570, hydroxycinnamoyltransferase 4  [EC], ['EC:2.3.1.133'], KO:K13065
Setaria italica, 101778785, putrescine hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Setaria italica, 101760763, hydroxycinnamoyltransferase 4  [EC], ['EC:2.3.1.133'], KO:K13065
Setaria italica, 101761166, putrescine hydroxycinnamoyltransferase 1  [EC], ['EC:2.3.1.133'], KO:K13065
Setaria italica, 101753438, putrescine hydroxycinnamoyltransferase 1  [EC], ['EC:2.3.1.133'], KO:K13065
Setaria italica, 101755357, hydroxycinnamoyltransferase 4  [EC], ['EC:2.3.1.133'], KO:K13065
Setaria italica, 101766579, putrescine hydroxycinnamoyltransferase 1  [EC], ['EC:2.3.1.133'], KO:K13065
Setaria italica, 101772566, putrescine hydroxycinnamoyltransferase 1  [EC], ['EC:2.3.1.133'], KO:K13065
Setaria italica, 101778570, LOW QUALITY PROTEIN: putrescine hydroxycinnamoyltransferase 1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Setaria italica, 101771055, cytochrome P450 98A1  [EC], ['EC:1.14.14.96'], KO:K09754
Setaria italica, 101753568, tricin synthase 1  [EC], ['EC:2.1.1.104'], KO:K00588
Setaria italica, 101780609, caffeoyl-CoA O-methyltransferase  [EC], ['EC:2.1.1.104'], KO:K00588
