Vitis vinifera, 100244875, flavanone 7-O-glucoside 2''-O-beta-L-rhamnosyltransferase  [EC], ['EC:2.4.1.236'], KO:K13080
Vitis vinifera, 100261319, F3'5'H; flavonoid 3'5' hydroxylase  [EC], ['EC:1.14.14.81'], KO:K13083
Vitis vinifera, 100248071, flavonoid 3',5'-hydroxylase 2  [EC], ['EC:1.14.14.81'], KO:K13083
Vitis vinifera, 100266025, flavonoid 3',5'-hydroxylase 2  [EC], ['EC:1.14.14.81'], KO:K13083
Vitis vinifera, 100251607, flavonoid 3',5'-hydroxylase 2  [EC], ['EC:1.14.14.81'], KO:K13083
Vitis vinifera, 100246462, flavonoid 3',5'-hydroxylase 2  [EC], ['EC:1.14.14.81'], KO:K13083
Vitis vinifera, 100852531, flavonoid 3',5'-hydroxylase 2-like  [EC], ['EC:1.14.14.81'], KO:K13083
Vitis vinifera, 100243414, flavonoid 3',5'-hydroxylase 2-like  [EC], ['EC:1.14.14.81'], KO:K13083
Vitis vinifera, 100256733, flavonoid 3',5'-hydroxylase 2  [EC], ['EC:1.14.14.81'], KO:K13083
Vitis vinifera, 104877273, VvF3'5'h; flavonoid 3',5'-hydroxylase 2-like  [EC], ['EC:1.14.14.81'], KO:K13083
Vitis vinifera, 100267840, flavonoid 3',5'-hydroxylase 2-like  [EC], ['EC:1.14.14.81'], KO:K13083
Vitis vinifera, 100242945, flavonoid 3',5'-hydroxylase 2-like  [EC], ['EC:1.14.14.81'], KO:K13083
Vitis vinifera, 100232896, F3'5'H; flavonoid-3,5'-hydroxylase  [EC], ['EC:1.14.14.81'], KO:K13083
Vitis vinifera, 100247021, flavonoid 3',5'-hydroxylase 2  [EC], ['EC:1.14.14.81'], KO:K13083
Vitis vinifera, 100232999, F3'H; flavonoid 3' hydroxylase  [EC], ['EC:1.14.14.82'], KO:K05280
Vitis vinifera, 100263810, F3'H; flavonoid 3'-monooxygenase-like  [EC], ['EC:1.14.14.82'], KO:K05280
Vitis vinifera, 100233134, FAOMT; anthocyanin O-methyltransferase  [EC], ['EC:2.1.1.267'], KO:K13272
Vitis vinifera, 100245452, flavonoid 3',5'-methyltransferase-like  [EC], ['EC:2.1.1.267'], KO:K13272
Vitis vinifera, 100250567, flavonoid 3',5'-methyltransferase-like  [EC], ['EC:2.1.1.267'], KO:K13272
Vitis vinifera, 100250579, flavonoid 3',5'-methyltransferase-like  [EC], ['EC:2.1.1.267'], KO:K13272
