Ziziphus jujuba, 107404213, phenylalanine ammonia-lyase  [EC], ['EC:4.3.1.24'], KO:K10775
Ziziphus jujuba, 107413687, phenylalanine ammonia-lyase  [EC], ['EC:4.3.1.24'], KO:K10775
Ziziphus jujuba, 107424108, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Ziziphus jujuba, 107418573, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Ziziphus jujuba, 107433056, phenylalanine ammonia-lyase  [EC], ['EC:4.3.1.24'], KO:K10775
Ziziphus jujuba, 107406287, trans-cinnamate 4-monooxygenase-like  [EC], ['EC:1.14.14.91'], KO:K00487
Ziziphus jujuba, 107417662, cytochrome P450 CYP73A100-like  [EC], ['EC:1.14.14.91'], KO:K00487
Ziziphus jujuba, 107411586, trans-cinnamate 4-monooxygenase  [EC], ['EC:1.14.14.91'], KO:K00487
Ziziphus jujuba, 107428172, LOW QUALITY PROTEIN: 4-coumarate--CoA ligase 1  [EC], ['EC:6.2.1.12'], KO:K01904
Ziziphus jujuba, 107413992, 4-coumarate--CoA ligase 2-like  [EC], ['EC:6.2.1.12'], KO:K01904
Ziziphus jujuba, 107433976, 4-coumarate--CoA ligase-like 1  [EC], ['EC:6.2.1.12'], KO:K01904
Ziziphus jujuba, 107428304, 4-coumarate--CoA ligase-like 1  [EC], ['EC:6.2.1.12'], KO:K01904
Ziziphus jujuba, 107434556, 4-coumarate--CoA ligase-like 6  [EC], ['EC:6.2.1.12'], KO:K01904
Ziziphus jujuba, 107411478, 4-coumarate--CoA ligase-like 7 isoform X1  [EC], ['EC:6.2.1.12'], KO:K01904
Ziziphus jujuba, 107418201, 4-coumarate--CoA ligase-like 9  [EC], ['EC:6.2.1.12'], KO:K01904
Ziziphus jujuba, 107410662, omega-hydroxypalmitate O-feruloyl transferase  [EC], ['EC:2.3.1.133'], KO:K13065
Ziziphus jujuba, 107421562, spermidine hydroxycinnamoyl transferase  [EC], ['EC:2.3.1.133'], KO:K13065
Ziziphus jujuba, 107420527, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Ziziphus jujuba, 107429143, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Ziziphus jujuba, 107429144, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Ziziphus jujuba, 107406305, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Ziziphus jujuba, 107428425, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Ziziphus jujuba, 107423534, shikimate O-hydroxycinnamoyltransferase-like isoform X1  [EC], ['EC:2.3.1.133'], KO:K13065
Ziziphus jujuba, 107420004, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Ziziphus jujuba, 107428424, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Ziziphus jujuba, 107428426, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Ziziphus jujuba, 107428484, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Ziziphus jujuba, 107421389, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Ziziphus jujuba, 107431535, cytochrome P450 98A2  [EC], ['EC:1.14.14.96'], KO:K09754
Ziziphus jujuba, 107409360, caffeoylshikimate esterase  [EC], ['EC:3.1.1.-'], KO:K18368
Ziziphus jujuba, 107426333, caffeoylshikimate esterase-like  [EC], ['EC:3.1.1.-'], KO:K18368
Ziziphus jujuba, 107429440, caffeoylshikimate esterase  [EC], ['EC:3.1.1.-'], KO:K18368
Ziziphus jujuba, 107417255, caffeoylshikimate esterase isoform X1  [EC], ['EC:3.1.1.-'], KO:K18368
Ziziphus jujuba, 107433980, flavonoid 3',5'-methyltransferase-like isoform X2  [EC], ['EC:2.1.1.104'], KO:K00588
Ziziphus jujuba, 107428326, flavonoid 3',5'-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
Ziziphus jujuba, 107406079, caffeoyl-CoA O-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
Ziziphus jujuba, 107406993, caffeoyl-CoA O-methyltransferase  [EC], ['EC:2.1.1.104'], KO:K00588
Ziziphus jujuba, 107409958, caffeoyl-CoA O-methyltransferase  [EC], ['EC:2.1.1.104'], KO:K00588
Ziziphus jujuba, 107423938, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Ziziphus jujuba, 107428351, flavonoid 3',5'-methyltransferase-like isoform X4  [EC], ['EC:2.1.1.104'], KO:K00588
Ziziphus jujuba, 107433988, flavonoid 3',5'-methyltransferase-like isoform X1  [EC], ['EC:2.1.1.104'], KO:K00588
Ziziphus jujuba, 107408760, cinnamoyl-CoA reductase 1-like  [EC], ['EC:1.2.1.44'], KO:K09753
Ziziphus jujuba, 107409091, cinnamoyl-CoA reductase 1-like  [EC], ['EC:1.2.1.44'], KO:K09753
Ziziphus jujuba, 107408651, cinnamoyl-CoA reductase 1-like  [EC], ['EC:1.2.1.44'], KO:K09753
Ziziphus jujuba, 107425908, cinnamoyl-CoA reductase 1-like  [EC], ['EC:1.2.1.44'], KO:K09753
Ziziphus jujuba, 107408516, cinnamoyl-CoA reductase 1-like isoform X1  [EC], ['EC:1.2.1.44'], KO:K09753
