ACANTHACEAE#ACANTHUS ILICIFOLIUS#APIGENIN-7-O-BETA-D-GLUCURONIDE#APIGENIN-7-O-BETA-GLUCURONATE,METHYL:
ACANTHACEAE#ADHATODA VASICA#APIGENIN
ACANTHACEAE#ANDROGRAPHIS PANICULATA#APIGENIN#APIGENIN,7-O-METHYL: BETA-D-GLUCURONIDE:#APIGENIN-4'-7-DI-O-METHYL ETHER#APIGENIN-4-7-DIMETHYL ETHER
ACANTHACEAE#ANDROGRAPHIS SERPYLLIFOLIA#APIGENIN-4'-7-DI-O-METHYL ETHER#APIGENIN-4'-7-DIMETHYL ETHER
ACANTHACEAE#ASYSTASIA GANGETICA#APIGENIN-7-O-BETA-D-GLUCOPYRANOSYL(1-6)-BETA-D-GLUCOPYRANOSIDE#APIGENIN-7-O-NEOHESPERIDOSIDE
ACANTHACEAE#BARLERIA CRISTATA_VAR.DICHOTOMA#APIGENIN-7-BETA-D-GLUCURONIDE
ACANTHACEAE#BARLERIA STRIGOSA#APIGENIN-7-O-ALPHA-L-RHAMNOSYL(1-6)-O-BETA-D-GLUCOSIDE
ACANTHACEAE#BLEPHARIS CILIARIS#APIGENIN-7-(3''-ACETYL-6''-TRANS-PARA-COUMAROYL-GLUCOSIDE)#APIGENIN-7-O-(3''-ACETYL-6''-TRANS-PARA-COUMAROYL)-GLUCOSIDE
ACANTHACEAE#BLEPHARIS SINDICA#APIGENIN
ACANTHACEAE#DICLIPTERA ROXBURGHIANA#APIGENIN
ACANTHACEAE#HYGROPHILA AURICULATA#APIGENIN-7-O-BETA-D-GLUCURONIDE#APIGENIN-7-O-GLUCURONIDE
ACANTHACEAE#RUELLIA BRITTONIANA#APIGENIN-7-O-BETA-D-GLUCURONIDE
ACANTHACEAE#RUELLIA CAROLINENSIS#APIGENIN-7-O-BETA-D-GLUCURONIDE
ACANTHACEAE#RUELLIA DIPTERACANTHUS#APIGENIN-7-O-BETA-D-GLUCURONIDE
ACANTHACEAE#RUELLIA DRUMMONDIANA#APIGENIN-7-O-BETA-D-GLUCURONIDE
ACANTHACEAE#RUELLIA GEMINIFLORA#APIGENIN-7-O-BETA-D-GLUCURONIDE
ACANTHACEAE#RUELLIA LORENTZIANA#APIGENIN-7-O-BETA-D-GLUCURONIDE
ACANTHACEAE#RUELLIA NUDIFLORA#APIGENIN-7-O-BETA-D-GLUCURONIDE
ACANTHACEAE#RUELLIA PROSTRATA#APIGENIN-7-BETA-D-GLUCURONIDE#APIGENIN-7-O-BETA-D-GLUCURONIDE
ACANTHACEAE#RUELLIA TUBEROSA#APIGENIN#APIGENIN-7-O-BETA-D-GLUCURONIDE
ACANTHACEAE#SIPHONOGLOSSA BUCHII#APIGENIN,6-8-DI-C-HEXOSYL:
ACANTHACEAE#STROBILANTHES SPECIES#APIGENIN-7-O-BETA-D-GLUCURONIDE#APIGENIN-7-O-BETA-D-GLUCURONIDE METHYL ESTER
ACANTHACEAE#THUNBERGIA FRAGRANS#APIGENIN-7-O-BETA-D-GLUCURONIDE
ACANTHACEAE#THUNBERGIA LAURIFOLIA#APIGENIN#APIGENIN-6-C-GLUCOSIDE
ACERACEAE#ACER ABLONGUM#APIGENIN
ACERACEAE#ACER GLABRUM#APIGENIN-7-O-DIGLYCOSIDE
AMARANTHACEAE#AMARANTHUS CRUENTUS#APIGENIN#APIGENIN RHAMNOSIDE
ANACARDIACEAE#ANACARDIUM OCCIDENTALE#APIGENIN
ANACARDIACEAE#RHUS RETINORRHAEA#APIGENIN,7-O-METHYL:
ANACARDIACEAE#SEMECARPUS KURZII#APIGENIN-6-C-GALACTOSIDE#APIGENIN-7-O-NEOHESPERIDOSIDE
ANNONACEAE#ARTABOTRYS HEXAPETALUS#APIGENIN-7-O-APIOSYL(1-2)-GLUCOSIDE
ANNONACEAE#HORNSCHUCHIA CITRIODORA#APIGENIN-7-O-GLUCOSYL-GLUCOSIDE
APIACEAE#ANETHUM GRAVEOLENS#APIGENIN#APIGENIN-7-O-BETA-D-GLUCURONIDE
APIACEAE#ANTHRISCUS SYLVESTRIS#APIGENIN
APIACEAE#APIUM GRAVEOLENS#APIGENIN#APIGENIN-7-APIOSYL-GLUCOSIDE#APIGENIN-7-O-BETA-D-GLUCOPYRANOSIDE:#APIGENIN-7-O-[2''-O-(5"-O-FERULOYL)-BETA-D-APIOFURANOSYL]-BETA-D-GLUCOPYRANOSIDE:
APIACEAE#CAUCALIS TENELLA#APIGENIN-7-O-BETA-D-GLUCURONIDE
APIACEAE#CHAEROPHYLLUM AROMATICUM#APIGENIN
APIACEAE#CHAEROPHYLLUM AUREUM#APIGENIN-4'-O-BETA-D-GLUCOSIDE#APIGENIN-7-DIGLUCOSIDE#APIGENIN-7-O-DIGLUCOSIDE
APIACEAE#CUMINUM CYMINUM#APIGENIN-5-O-GLUCOSIDE#APIGENIN-7-GLUCURONOSYLGLUCOSIDE
APIACEAE#DAUCUS AUSTRALIS#APIGENIN GLUCOSIDE
APIACEAE#DAUCUS CAROTA#APIGENIN#APIGENIN-4'-O-BETA-D-GLUCOSIDE#APIGENIN-5-O-BETA-D-GLUCOSIDE#APIGENIN-7-GALACTOMANNOSIDE
APIACEAE#DAUCUS CAROTA_SSP.SATIVA#APIGENIN-7-RUTINOSIDE
APIACEAE#DAUCUS CAROTA_VAR.BOISSIERI#APIGENIN#APIGENIN-7-O-RUTINOSIDE
APIACEAE#DAUCUS SYRTICUS#APIGENIN GLUCOSIDE
APIACEAE#DYSTAENIA TAKESHIMANA#APIGENIN
APIACEAE#FERULAGO AUCHERI#APIGENIN,6-HYDROXY: 6-METHYL ETHER
APIACEAE#LASERPITIUM KRAPFFII#APIGENIN
APIACEAE#OSTERICUM SIEBOLDII#APIGENIN-7-RUTINOSIDE
APIACEAE#OSTERICUM SIEBOLDII_VAR.PRAETERIUM#APIGENIN-7-DIGLUCOSIDE
APIACEAE#PETROSELINUM CRISPUM#APIGENIN#APIGENIN-7-APIOSYL-GLUCOSIDE
APIACEAE#PETROSELINUM HORTENSE#APIGENIN
APIACEAE#PIMPINELLA ETBAICA#APIGENIN-7-O-BETA-D-GLUCURONIDE
APIACEAE#PSEUDORLAYA PUMILA#APIGENIN-7-ARABINOSYL-RHAMNOSYL-GLUCOSIDE
APIACEAE#SPHALLEROCARPUS GRACILIS#APIGENIN-7-BETA-D-GLUCOPYRANOSIDE
APIACEAE#TORILIS ARVENSIS#APIGENIN-7-O-BETA-D-GLUCURONIDE
APIACEAE#TORILIS BRACTEOSA#APIGENIN-7-O-BETA-D-GLUCURONIDE
APIACEAE#TORILIS NODOSA#APIGENIN-7-O-BETA-D-GLUCURONIDE
