ACANTHACEAE#ANISACANTHUS VIRGULARIS#LUTEOLIN
ACANTHACEAE#ASYSTASIA GANGETICA#LUTEOLIN-7-NEOHESPERIDOSIDE
ACANTHACEAE#BARLERIA PRIONITIS#LUTEOLIN-7-O-(2''-O-PARA-COUMAROYL)-BETA-D-GLUCOPYRANOSIDE
ACANTHACEAE#DICLIPTERA ROXBURGHIANA#LUTEOLIN
ACANTHACEAE#LEPIDAGATHIS CRISTATA#LUTEOLIN,6-HYDROXY:
ACANTHACEAE#RUELLIA TUBEROSA#LUTEOLIN
ACANTHACEAE#RUNGIA REPENS#LUTEOLIN
AIZOACEAE#NELIA MEYERI#LUTEOLIN
AMARANTHACEAE#DIGERA MURICATA#LUTEOLIN
AMARYLLIDACEAE#GALANTHUS CAUCASICUS#LUTEOLIN-BIOSIDE
ANACARDIACEAE#PISTACIA INTEGERRIMA#LUTEOLIN
ANACARDIACEAE#RHUS RETINORRHAEA#LUTEOLIN,7-O-METHYL:
ANNONACEAE#ARTABOTRYS HEXAPETALUS#LUTEOLIN,GLUCO:
ANNONACEAE#CYMBOPETALUM BRASILIENSE#LUTEOLIN,6-HYDROXY: 7-RHAMNOSYL-GLUCOSIDE
APIACEAE#ANETHUM GRAVEOLENS#LUTEOLIN GLYCOSIDE
APIACEAE#ANGELICA GIGAS#LUTEOLIN
APIACEAE#ANGELICA KEISKEI#LUTEOLIN-7-O-BETA-D-RUTINOSIDE#LUTEOLIN-7-RUTINOSIDE
APIACEAE#ANISOTOME PILIFERA#LUTEOLIN-7-O-ALPHA-L-RHAMNOPYRANOSYL(1-6)-BETA-D-GLUCOPYRANOSIDE
APIACEAE#ANTHRISCUS SYLVESTRIS#LUTEOLIN#LUTEOLIN-7-O-BETA-D-DIGLUCOSIDE
APIACEAE#APIUM GRAVEOLENS#LUTEOLIN#LUTEOLIN GLUCOSIDE#LUTEOLIN-7-APIOSYL-GLUCOSIDE#LUTEOLIN-7-O-BETA-D-GLUCOPYRANOSIDE:#LUTEOLIN-7-O-[2''-O-(5"-O-FERULOYL)-BETA-D-APIOFURANOSYL]-BETA-D-GLUCOPYRANOSIDE:
APIACEAE#CAUCALIS TENELLA#GALUTEOLIN#LUTEOLIN-7-O-BETA-D-GLUCURONIDE
APIACEAE#CHAEROPHYLLUM AUREUM#LUTEOLIN-4'-O-BETA-D-GLUCOSIDE#LUTEOLIN-7-O-BETA-D-DIGLUCOSIDE#LUTEOLIN-7-O-BETA-D-GLUCURONIDE#LUTEOLIN-7-O-DIGLUCOSIDE
APIACEAE#CHAEROPHYLLUM BULBOSUM#LUTEOLIN-7-O-BETA-D-DIGLUCOSIDE
APIACEAE#CHAEROPHYLLUM HIRSUTUM#LUTEOLIN,6-METHYL:
APIACEAE#CHAETOSCIADIUM TRICHOSPERMUM#GALUTEOLIN#LUTEOLIN-7-O-BETA-D-DIGLUCOSIDE
APIACEAE#CONIUM MACULATUM#LUTEOLIN-7-RUTINOSIDE
APIACEAE#CUMINUM CYMINUM#LUTEOLIN#LUTEOLIN-7-GLUCURONSYLGLUCOSIDE
APIACEAE#DAUCUS AUREUS#GALUTEOLIN#LUTEOLIN
APIACEAE#DAUCUS AUSTRALIS#LUTEOLIN GLUCOSIDE
APIACEAE#DAUCUS BROTERI#LUTEOLIN
APIACEAE#DAUCUS CAROTA#LUTEOLIN#LUTEOLIN-7-O-(6''-O-MALONYL)-BETA-D-GLUCOSIDE#LUTEOLIN-7-O-BETA-D-GLUCURONIDE
APIACEAE#DAUCUS CAROTA_CV.CAROTA#LUTEOLIN-4'-O-BETA-D-GLUCOSIDE#LUTEOLIN-7-RUTINOSIDE
APIACEAE#DAUCUS CAROTA_CV.SATIVA#LUTEOLIN-4'-O-BETA-D-DIGLUCOSIDE#LUTEOLIN-4'-O-BETA-D-GLUCOSIDE#LUTEOLIN-7-O-BETA-D-DIGLUCOSIDE#LUTEOLIN-7-O-BETA-D-GLUCURONIDE#LUTEOLIN-7-O-BETA-D-RUTINOSIDE#LUTEOLIN-7-RUTINOSIDE
APIACEAE#DAUCUS CAROTA_VAR.BOISSIERI#LUTEOLIN
APIACEAE#DAUCUS CRINITUS#LUTEOLIN#LUTEOLIN-7-RUTINOSIDE
APIACEAE#DAUCUS DURIEUA#LUTEOLIN
APIACEAE#DAUCUS GLOCHIDIATUS#LUTEOLIN
APIACEAE#DAUCUS MURICATUS#LUTEOLIN#LUTEOLIN-4'-O-BETA-D-DIGLUCOSIDE#LUTEOLIN-4'-O-BETA-D-GLUCOSIDE
APIACEAE#DAUCUS PUSILLUS#LUTEOLIN-7-RUTINOSIDE
APIACEAE#DAUCUS SETIFOLIUS#LUTEOLIN#LUTEOLIN-7-O-BETA-D-GLUCURONOSYL-GLUCOSIDE#LUTEOLIN-7-RUTINOSIDE
APIACEAE#DAUCUS SYRTICUS#LUTEOLIN GLUCOSIDE
APIACEAE#DYSTAENIA TAKESHIMANA#LUTEOLIN
APIACEAE#FERULA ASSA-FOETIDA#LUTEOLIN
APIACEAE#FERULA VARIA#LUTEOLIN-3'-O-BETA-D-GLUCOSIDE#LUTEOLIN-4'-O-BETA-D-GLUCOSIDE
APIACEAE#LISAEA SYRIACA#LUTEOLIN-4'-O-BETA-D-GLUCOSIDE#LUTEOLIN-7-RUTINOSIDE
APIACEAE#MEUM ATHAMANTICUM#LUTEOLIN
APIACEAE#ORLAYA DAUCORLAYA#LUTEOLIN-7-O-GLUCURONOSYLGLUCOSIDE
APIACEAE#ORLAYA GRANDIFLORA#LUTEOLIN-7-GLUCURONOSYLGLUCOSIDE
APIACEAE#ORLAYA KOCHII#LUTEOLIN-7-O-BETA-D-DIGLUCOSIDE
APIACEAE#OSMORHIZA CLAYTONII#LUTEOLIN
APIACEAE#OSTERICUM SIEBOLDII#LUTEOLIN-7-O-BETA-D-DIGLUCOSIDE
APIACEAE#OSTERICUM SIEBOLDII_VAR.PRAETERIUM#LUTEOLIN-7-O-BETA-D-DIGLUCOSIDE
APIACEAE#OSTERICUM VIRIDIFLORUM#LUTEOLIN-7-RUTINOSIDE
APIACEAE#PETROSELINUM CRISPUM#LUTEOLIN-7-APIOSYL-GLUCOSIDE#LUTEOLIN-7-O-BETA-D-APIOGLUCOSIDE
APIACEAE#PETROSELINUM HORTENSE#LUTEOLIN
