ANACARDIACEAE#ANACARDIUM OCCIDENTALE#MYRICETIN
ANACARDIACEAE#BUCHANANIA LANZAN#MYRICETIN-3'-RHAMNOSIDE-3-GALACTOSIDE
ANACARDIACEAE#CHOEROSPONDIAS AXILLARIS#MYRICETIN
ANACARDIACEAE#COTINUS COGGYGRIA#MYRICETIN
ANACARDIACEAE#COTINUS OBOVATUS#MYRICETIN
ANACARDIACEAE#MANGIFERA INDICA#MYRICETIN METHYL ETHER
ANACARDIACEAE#PISTACIA LENTISCUS#MYRICETIN-3-O-RUTINOSIDE#MYRICETIN-GLUCURONIDE
ANACARDIACEAE#PISTACIA WEINMANNIFOLIA#MYRICETIN-3-O-(3''-O-GALLOYL)-ALPHA-L-RHAMNOPYRANOSIDE#MYRICETIN-3-O-(6''-O-GALLOYL)-BETA-D-GALACTOPYRANOSIDE#MYRICETIN-3-O-(6''-O-GALLOYL)-BETA-D-GLUCOPYRANOSIDE#MYRICETIN-3-O-BETA-D-GLUCURONIDE
ANACARDIACEAE#PLEIOGYNIUM SOLANDRI#MYRICETIN
ANACARDIACEAE#RHUS CORIARIA#MYRICETIN
ANACARDIACEAE#RHUS LANCEA#MYRICETIN
ANACARDIACEAE#RHUS MYSORENSIS#MYRICETIN
ANACARDIACEAE#RHUS PARVIFLORA#MYRICETIN
ANACARDIACEAE#RHUS SALICIFOLIA#MYRICETIN
ANACARDIACEAE#RHUS SEMIALATA#MYRICETIN
ANACARDIACEAE#RHUS TYPHINA#MYRICETIN
ANACARDIACEAE#RHUS WALLICHII#MYRICETIN
ANACARDIACEAE#SEARSIA POTANINI#MYRICETIN
ANACARDIACEAE#SEARSIA SALICIFOLIA#MYRICETIN
ANACARDIACEAE#SEARSIA UNDULATA#MYRICETIN
ANACARDIACEAE#SEMECARPUS VITIENSIS#MYRICETIN#MYRICETIN,DIHYDRO: 3'-O-BETA-D-GLUCOSIDE#MYRICETIN-7-O-BETA-D-DIGLUCOSIDE#MYRICETIN-7-O-BETA-D-GLUCOSIDE#MYRICETIN-7-O-DIGLUCOSIDE
ANACARDIACEAE#TOXICODENDRON RADICANS#MYRICETIN
ANNONACEAE#ARTABOTRYS ODORATISSIMUS#MYRICETIN
APIACEAE#DAUCUS CAROTA#MYRICETIN
APOCYNACEAE#CATHARANTHUS ROSEUS#MYRICETIN
ASCLEPIADACEAE#CYNANCHUM VINCETOXICUM#MYRICETIN
ASTERACEAE#ACHYROCLINE SATUREIOIDES#MYRICETIN
ASTERACEAE#ARTEMISIA SELENGENSIS#MYRICETIN
ASTERACEAE#CENTAUREA INCANA#MYRICETIN,3'-METHYL: 7-O-BETA-D-GLUCOSIDE#MYRICETIN,3-5'-DIMETHYL: 7-O-BETA-D-GLUCOSIDE
ASTERACEAE#HAPLOPAPPUS CANESCENS#MYRICETIN
ASTERACEAE#HAPLOPAPPUS INTEGERRIMUS_VAR.PUNCTATUS#MYRICETIN-3'-4'-DIMETHYL ETHER#MYRICETIN-3-3'-4'-TRIMETHYL ETHER
ASTERACEAE#RAOULIA AUSTRALIS#MYRICETIN-3-O-BETA-D-GLUCOSIDE
ASTERACEAE#RAOULIA GLABRA#MYRICETIN-3-O-BETA-D-GLUCOSIDE
ASTERACEAE#RAOULIA HOOKERI_VAR.ALBO-SERICEA#MYRICETIN-3-O-BETA-D-GLUCOSIDE
ASTERACEAE#RAOULIA HOOKERI_VAR.APICE-NIGRA#MYRICETIN-3-O-BETA-D-GLUCOSIDE
ASTERACEAE#RAOULIA HOOKERI_VAR.HOOKERI#MYRICETIN-3-O-BETA-D-GLUCOSIDE
ASTERACEAE#RAOULIA MONROI#MYRICETIN-3-O-BETA-D-GLUCOSIDE
ASTERACEAE#RAOULIA PETRIENSIS#MYRICETIN-3-O-BETA-D-GLUCOSIDE
ASTERACEAE#RAOULIA SUBSERICEA#MYRICETIN-3-O-BETA-D-GLUCOSIDE
ASTERACEAE#RAOULIA TENUICAULIS#MYRICETIN-3-O-BETA-D-GLUCOSIDE
ASTERACEAE#TAGETES CORONOPIFOLIA#MYRICETIN-7-O-BETA-D-GLUCOSIDE
ASTERACEAE#TAGETES DIANTHIOFLORA#MYRICETIN-3-GLUCOSIDE
ASTERACEAE#TAGETES ELLIPTICA#MYRICETIN-3-O-BETA-D-GLUCOSIDE
ASTERACEAE#TAGETES MANDONII#MYRICETIN-3-O-BETA-D-GLUCOSIDE
ASTERACEAE#XANTHOCEPHALUM GYMNOSPERMOIDES#MYRICETIN-3'-4'-5'-TRIMETHYL ETHER#MYRICETIN-3-3'-4'-7-TETRAMETHYL ETHER#MYRICETIN-3-4'-7-TRIMETHYL ETHER
BETULACEAE#BETULA ALBA#MYRICETIN
BETULACEAE#BETULA CARPATICA#MYRICETIN-3-DIGALACTOSIDE
BETULACEAE#BETULA LUTEA#MYRICETIN-3-DIGALACTOSIDE
BETULACEAE#BETULA NIGRA#MYRICETIN#MYRICETIN-3-3'-4'-5'-TETRAMETHYL ETHER#MYRICETIN-3-3'-4'-7-TETRAMETHYL ETHER
BETULACEAE#BETULA NOVA#MYRICETIN-3-DIGALACTOSIDE#MYRICETIN-3-GALACTOSIDE
BETULACEAE#BETULA OBSCURA#MYRICETIN-3-DIGALACTOSIDE
BETULACEAE#BETULA OYCOVIENSIS#MYRICETIN-3-O-DIGALACTOSIDE
BETULACEAE#BETULA PAPYRIFERA#MYRICETIN-3-DIGALACTOSIDE
BETULACEAE#BETULA PAPYRIFERA_VAR.COMMUTATA#MYRICETIN-3-DIGALACTOSIDE
BETULACEAE#BETULA PAPYRIFERA_VAR.NEOALASCANA#MYRICETIN-3-DIGALACTOSIDE
BETULACEAE#BETULA PENDULA#MYRICETIN-3-ARABINOFURANOSIDE#MYRICETIN-3-ARABINOPYRANOSIDE#MYRICETIN-3-DIGALACTOSIDE#MYRICETIN-3-GALACTOSIDE#MYRICETIN-3-GLUCOSIDE#MYRICETIN-3-GLUCURONIDE#MYRICETIN-3-O-ALPHA-L-(ACETYL)-RHAMNOPYRANOSIDE#MYRICETIN-3-O-BETA-D-GALACTOPYRANOSIDE#MYRICETIN-3-O-BETA-D-GLUCURONOPYRANOSIDE#MYRICETIN-3-O-DIGALACTOSIDE#MYRICETIN-3-O-GALACTOSIDE
BETULACEAE#BETULA PENDULA_SSP.OBSCURA#MYRICETIN-3-O-DIGALACTOSIDE
BETULACEAE#BETULA PUBESCENS#MYRICETIN-3-ARABINOPYRANOSIDE#MYRICETIN-3-GALACTOSIDE#MYRICETIN-3-GLUCOSIDE#MYRICETIN-3-GLUCURONIDE#MYRICETIN-3-O-ALPHA-L-(ACETYL)-RHAMNOPYRANOSIDE#MYRICETIN-3-O-BETA-D-GALACTOPYRANOSIDE#MYRICETIN-3-O-BETA-D-GALACTOSIDE#MYRICETIN-3-O-BETA-D-GLUCURONOPYRANOSIDE
BETULACEAE#BETULA PUBESCENS_SSP.PUBESCENS#MYRICETIN-3-DIGALACTOSIDE
BETULACEAE#BETULA PUBESCENS_SSP.TORTUOSA#MYRICETIN-3-O-ALPHA-L-(ACETYL)-RHAMNOPYRANOSIDE#MYRICETIN-3-O-BETA-D-GALACTOPYRANOSIDE#MYRICETIN-3-O-BETA-D-GLUCURONOPYRANOSIDE
BETULACEAE#BETULA PUBESCENS_SSP.TORTUOSA_VAR.CARPATICA#MYRICETIN-3-DIGALACTOSIDE
BETULACEAE#BETULA PUBESCENS_SSP.TORTUOSA_VAR.TORTUOSA#MYRICETIN-3-DIGALACTOSIDE#MYRICETIN-3-GALACTOSIDE
BETULACEAE#BETULA SCHMIDTII#MYRICETIN-3-O-ALPHA-L-ARABINOFURANOSIDE#MYRICETIN-3-O-BETA-D-GLUCOPYRANOSIDE
BETULACEAE#BETULA SPECIES#MYRICETIN-3-DIGALACTOSIDE#MYRICETIN-3-GALACTOSIDE
BETULACEAE#BETULA TORTUOSA#MYRICETIN-3-DIGALACTOSIDE
BETULACEAE#BETULA VERRUCOSA#MYRICETIN#MYRICETIN-3-DIGALACTOSIDE
BETULACEAE#CORYLUS AVELLANA#MYRICETIN
BROMELIACEAE#TILLANDSIA USNEOIDES#MYRICETIN-3-3'-4'-7-TETRAMETHYL ETHER
BURSERACEAE#TETRAGASTRIS DUBIUM#MYRICETIN
CACTACEAE#ECHINOCEREUS TRIGLOCHIDIATUS_VAR.GURNEYI#MYRICETIN,DIHYDRO: 7-O-BETA-D-GLUCOSIDE
CAMPANULACEAE#CAMPANULA BONONIENSIS#MYRICETIN-3-APIOGLUCOSIDE#MYRICETIN-3-O-BETA-GALACTOSIDE#MYRICETIN-3-O-BETA-GLUCOSIDE#MYRICETIN-3-O-RUTINOSIDE
CANELLACEAE#WARBURGIA STUHLMANNII#MYRICETIN,3-'-5'-O-DIMETHYL: 3-O-BETA-D-2''-3''-DIACETYL-GLUCOPYRANOSIDE
CANELLACEAE#WARBURGIA UGANDENSIS#MYRICETIN#MYRICETIN-3-O-GALACTOSIDE
CANNACEAE#CANNA DENUDATA#MYRICETIN
CELASTRACEAE#CATHA EDULIS#MYRICETIN#MYRICETIN,DIHYDRO: 3-O-ALPHA-L-RHAMNOSIDE#MYRICETIN-3-O-BETA-D-GALACTOSIDE
CELASTRACEAE#MAYTENUS EMARGINATA#MYRICETIN
CELASTRACEAE#MAYTENUS LAEVIS#MYRICETIN,2(R)-3(S)-DIHYDRO: 4'-O-METHYL:
CEPHALOTACEAE#CEPHALOTUS FOLLICULARIS#MYRICETIN-3-O-BETA-D-GLUCOSIDE#MYRICETIN-3-O-BETA-D-RUTINOSIDE
CERCIDIPHYLLACEAE#CERCIDIPHYLLUM JAPONICUM#MYRICETIN#MYRICETIN,DIHYDRO: (+):
CHRYSOBALANACEAE#LICANIA APETALA_VAR.APETALA#MYRICETIN-4'-O-ALPHA-RHAMNOSIDE
CHRYSOBALANACEAE#LICANIA CARII#MYRICETIN#MYRICETIN-3''-METHYL-3-RUTINOSIDE#MYRICETIN-3-(2''-XYLOSYL)-RHAMNOSIDE#MYRICETIN-3-GALACTOSIDE#MYRICETIN-3-GLUCOSIDE#MYRICETIN-3-O-RUTINOSIDE
CHRYSOBALANACEAE#LICANIA DENSIFLORA#MYRICETIN-3'-4'-DIMETHYL ETHER 3-O-BETA-D-GLUCOPYRANOSIDE#MYRICETIN-3'-5'-DIMETHYL ETHER 3-O-BETA-D-GLUCOSIDE#MYRICETIN-3'-5'-DIMETHYL ETHER 3-O-RHAMNOSIDE#MYRICETIN-3'-METHYL ETHER 3-O-BETA-D-GLUCOSIDE#MYRICETIN-3'-METHYL ETHER 3-O-GALACTOSIDE#MYRICETIN-3-O-ALPHA-L-(2''-O-ALPHA-L-RHAMNOPYRANOSYL)-RHAMNOPYRANOSIDE#MYRICETIN-4'-METHYL ETHER 3-O-RHAMNOSIDE
