ACANTHACEAE#ADHATODA VASICA#QUERCETIN
ACANTHACEAE#ANDROGRAPHIS PANICULATA#QUERCETIN
ACANTHACEAE#BARLERIA CRISTATA#QUERCETIN
ACERACEAE#ACER ABLONGUM#QUERCETIN
ACERACEAE#ACER CISSIFOLIUM#QUERCETIN
ACERACEAE#ACER GINNALA#QUERCETIN#QUERCETIN-3-O-ALPHA-L-RHAMNOPYRANOSYL-2''-GALLATE
ACERACEAE#ACER GLABRUM#QUERCETIN-3-O-XYLOSYL-GALACTOSIDE
ACERACEAE#ACER OKAMOTOANUM#QUERCETIN-3-O-(2''-6''-O-DIGALLOYL)-BETA-D-GALACTOPYRANOSIDE#QUERCETIN-3-O-(2''-GALLOYL)-ALPHA-L-ARABINOPYRANOSIDE#QUERCETIN-3-O-(2''-GALLOYL)-BETA-D-GALACTOPYRANOSIDE
ACERACEAE#ACER RUBRUM#QUERCETIN-3-O-RHAMNOGLUCOSIDE
ACTINIDIACEAE#ACTINIDIA ARGUTA#QUERCETIN#QUERCETIN-3-O-(ALPHA-RHAMNOPYRANOSYL(1-4)ALPHA-RHAMNOPYRANOSYL(1-6)BETA-GALACTOPYRANOSIDE)#QUERCETIN-3-O-ALPHA-L-RHAMNOSIDE-(1-6)-0-BETA-D-GLUCOPYRANOSIDE:
ACTINIDIACEAE#ACTINIDIA ARGUTA_var.GIRALDII#QUERCETIN-3-SAMBUBIOSIDE
ACTINIDIACEAE#ACTINIDIA POLYGAMA#QUERCETIN-3-O-(ALPHA-RHAMNOPYRANOSYL(1-4)ALPHA-RHAMNOPYRANOSYL(1-6)BETA-GALACTOPYRANOSIDE)
AGARICACEAE#AGARICUS CAMPESTRIS#QUERCETIN
AIZOACEAE#TRIANTHEMA PORTULACASTRUM#QUERCETIN
ALANGIACEAE#ALANGIUM CHINENSE#QUERCETIN-3-O-BETA-D-GLUCOPYRANOSYL(1-2)-BETA-D-GALACTOPYRANOSIDE#QUERCETIN-3-O-BETA-D-XYLOPYRANOSYL(1-2)-BETA-D-GALACTOPYRANOSIDE
ALANGIACEAE#ALANGIUM KURZII#QUERCETIN-3-O-[2-O-(BETA-D-XYLOPYRANOSYL)-BETA-D-GALACTOPYRANOSIDE
ALANGIACEAE#ALANGIUM PLATANIFOLIUM_var.TRILOBUM#QUERCETIN-3-O-DIRHAMNOSYL-(1-2(-(1-6)-GLUCOSIDE
AMARANTHACEAE#ACHYRANTHES BIDENTATA#QUERCETIN,ISO:
AMARANTHACEAE#AERVA JAVANICA#QUERCETIN
AMARANTHACEAE#ALTERNANTHERA PUNGENS#QUERCETIN-3-7-DIGLUCOSIDE
AMARANTHACEAE#AMARANTHUS BLITOIDES#QUERCETIN
AMARANTHACEAE#AMARANTHUS CHLOROSTACHYS#QUERCETIN
AMARANTHACEAE#AMARANTHUS GRAECIZANS#QUERCETIN
AMARANTHACEAE#AMARANTHUS HYBRIDUS#QUERCETIN
AMARANTHACEAE#AMARANTHUS MURICATUS#QUERCETIN
AMARANTHACEAE#AMARANTHUS PANICULATUS#
AMARANTHACEAE#AMARANTHUS VIRIDIS#QUERCETIN
ANACARDIACEAE#ANACARDIUM OCCIDENTALE#QUERCETIN#QUERCETIN-3-GALLOYL-GLUCOSIDE
ANACARDIACEAE#BUCHANANIA LANZAN#QUERCETIN-7-O-RHAMNOSIDE
ANACARDIACEAE#CHOEROSPONDIAS AXILLARIS#QUERCETIN
ANACARDIACEAE#COTINUS COGGYGRIA#QUERCETIN
ANACARDIACEAE#COTINUS OBOVATUS#QUERCETIN
ANACARDIACEAE#HOLIGARNA ARNOTTIANA#QUERCETIN
ANACARDIACEAE#LANNEA COROMANDELICA#QUERCETIN
ANACARDIACEAE#LANNEA GRANDIS#QUERCETIN
ANACARDIACEAE#MANGIFERA INDICA#QUERCETIN
ANACARDIACEAE#MANGIFERA INDICA_cv.TOMMY_ATKINS#QUERCETIN
ANACARDIACEAE#MANGIFERA PERSICIFORMIS#QUERCETIN
ANACARDIACEAE#PISTACIA ATLANTICA#QUERCETIN-3-RHAMNOSYL-GLUCOSIDE
ANACARDIACEAE#PISTACIA CHINENSIS#QUERCETIN
ANACARDIACEAE#PLEIOGYNIUM SOLANDRI#QUERCETIN
ANACARDIACEAE#POUPARTIA BIRREA#QUERCETIN-3-GALLOYL-GLUCOSIDE
ANACARDIACEAE#RHUS CORIARIA#QUERCETIN
ANACARDIACEAE#RHUS LANCEA#QUERCETIN
ANACARDIACEAE#RHUS MYSORENSIS#QUERCETIN
ANACARDIACEAE#RHUS PARVIFLORA#QUERCETIN
ANACARDIACEAE#RHUS SALICIFOLIA#QUERCETIN
ANACARDIACEAE#RHUS SEMIALATA#QUERCETIN
ANACARDIACEAE#RHUS SPECIES#QUERCETIN
ANACARDIACEAE#RHUS TYPHINA#QUERCETIN
ANACARDIACEAE#RHUS VERNICIFLUA#QUERCETIN
ANACARDIACEAE#RHUS WALLICHII#QUERCETIN#QUERCETIN-3-O-ARABINOPYRANOSIDE#QUERCETIN-3-O-XYLOSIDE
ANACARDIACEAE#SCHINUS LATIFOLIUS#QUERCETIN-3-O-DIGLUCOSIDE
ANACARDIACEAE#SCHINUS POLYGAMUS#QUERCETIN
ANACARDIACEAE#SEARSIA POTANINI#QUERCETIN
ANACARDIACEAE#SEARSIA SALICIFOLIA#QUERCETIN
ANACARDIACEAE#SEARSIA UNDULATA#QUERCETIN
ANACARDIACEAE#SEMECARPUS VITIENSIS#QUERCETIN
ANACARDIACEAE#SPONDIAS LUTEA#QUERCETIN
ANACARDIACEAE#TOXICODENDRON RADICANS#QUERCETIN
ANACARDIACEAE#TOXICODENDRON SEMIALATUM#QUERCETIN
ANACARDIACEAE#TOXICODENDRON VERNICIFLUUM#QUERCETIN
ANCISTROCLADACEAE#ANCISTROCLADUS GUINEENSIS#QUERCETIN
ANCISTROCLADACEAE#ANCISTROCLADUS HEYNEANUS#QUERCETIN
ANNONACEAE#ANAXAGOREA LUZONENSIS#QUERCETIN
ANNONACEAE#ANNONA AMBOTAY#QUERCETIN
ANNONACEAE#ANNONA CHERIMOLA#QUERCETIN
ANNONACEAE#ANNONA CRASSIFLORA#QUERCETIN-3-O-RHAMNOSYL-GLUCOSIDE
ANNONACEAE#ANNONA MONTICOLA#QUERCETIN-3-O-RHAMNOSYL-GALACTOSIDE
ANNONACEAE#ANNONA SENEGALENSIS#QUERCETIN
ANNONACEAE#ANNONA SQUAMOSA#QUERCETIN
ANNONACEAE#ANNONA WARMINGIANA#QUERCETIN-3-7-DIGLUCOSIDE
ANNONACEAE#ARTABOTRYS ODORATISSIMUS#QUERCETIN
ANNONACEAE#BOCAGEA LONGIPEDUNCULATA#QUERCETIN-3-O-RHAMNOSYL-GLUCOSIDE
ANNONACEAE#CANANGA LATIFOLIA#QUERCETIN-3-O-ALPHA-L-RHAMNOSYL-GLUCOSIDE
ANNONACEAE#CARDIOPETALUM CALOPHYLLUM#QUERCETIN-3-O-RHAMNOSYL-GLUCOSIDE
ANNONACEAE#CLEISTOPHOLIS GLAUCA#QUERCETIN
ANNONACEAE#DASYMASCHALON SOOTEPENSE#
ANNONACEAE#DESMOS CHINENSIS#QUERCETIN
ANNONACEAE#GONIOTHALAMUS TENUIFOLIUS#
ANNONACEAE#GUATTERIA AUSTRALIS#QUERCETIN-3-7-DIGLUCOSIDE
ANNONACEAE#GUATTERIA SELLOWIANA#QUERCETIN-3-O-RHAMNOSYL-GLUCOSIDE
ANNONACEAE#POLYALTHIA LONGIFOLIA#QUERCETIN
ANNONACEAE#PORCELIA MACROCARPA#QUERCETIN-3-O-RHAMNOSYL-GLUCOSIDE
ANNONACEAE#ROLLINIA DOLABRIPETALA#QUERCETIN-3-O-RHAMNOSYL-GLUCOSIDE
ANNONACEAE#ROLLINIA SYLVATICA#QUERCETIN-3-O-GLUCOSYL-GLUCOSIDE
ANNONACEAE#SACCOPETALUM PROLIFICUM#QUERCETIN
ANNONACEAE#XYLOPIA EMARGINATA#QUERCETIN-3-O-ARABINOFURANOSIDE#QUERCETIN-3-O-ARABINOSYL-GLUCOSIDE#QUERCETIN-3-O-RHAMNOPYRANOSIDE
APIACEAE#AEGOPODIUM PODAGRARIA#
APIACEAE#AMMI MAJUS#QUERCETIN#QUERCETIN,ISO:
APIACEAE#AMMI VISNAGA#QUERCETIN
APIACEAE#ANETHUM GRAVEOLENS#QUERCETIN,3'-4'-DIMETHOXY:#QUERCETIN-3-GLUCURONIDE#QUERCETIN-3-RHAMNOGLUCOSIDE#QUERCETIN-3-SULFATE
APIACEAE#ANGELICA ARCHANGELICA#
APIACEAE#ANGELICA GENUFLEXA#
APIACEAE#ANGELICA GIGAS#QUERCETIN
APIACEAE#ANGELICA HENDERSONII#
APIACEAE#ANGELICA RCHANGELICA#
APIACEAE#ANGELICA SYLVESTRIS#QUERCETIN
APIACEAE#ANTHRISCUS SYLVESTRIS#QUERCETIN
APIACEAE#APIUM GRAVEOLENS#QUERCETIN
APIACEAE#ASTRANTIA MAJOR#QUERCETIN-3-O-(6-O-D-GLUCOPYRANOSYL)-D-GALACTOPYRANOSIDE
APIACEAE#BUPLEURUM AUREUM#QUERCETIN
APIACEAE#BUPLEURUM BICAULE#QUERCETIN
APIACEAE#BUPLEURUM CHINENSE#QUERCETIN
APIACEAE#BUPLEURUM HAMILTONII#QUERCETIN
APIACEAE#BUPLEURUM MARTJANOVII#QUERCETIN
APIACEAE#BUPLEURUM MULTINERVE#QUERCETIN
APIACEAE#BUPLEURUM PUSILLUM#QUERCETIN
APIACEAE#BUPLEURUM ROTUNDIFOLIUM#QUERCETIN#QUERCETIN,ISO:
APIACEAE#BUPLEURUM SIBIRICUM#QUERCETIN
APIACEAE#BUPLEURUM TRIRADIATUM#QUERCETIN
APIACEAE#CARUM CARVI#QUERCETIN#QUERCETIN-3-O-CAFFEYL-GLUCOSIDE
APIACEAE#CENTELLA ASIATICA#QUERCETIN
APIACEAE#CENTELLA ERIANTHA#QUERCETIN
APIACEAE#CENTELLA SESSILIS#QUERCETIN
APIACEAE#CICUTA MACULATA#QUERCETIN
APIACEAE#CICUTA VIROSA#QUERCETIN#QUERCETIN-3-O-ALPHA-L-RHAMNO-GLUCOSIDE
APIACEAE#CNIDIUM DAHURICUM#QUERCETIN
APIACEAE#CORIANDRUM SATIVUM#QUERCETIN
APIACEAE#CRITHMUM MARITIMUM#QUERCETIN
APIACEAE#DAUCUS CAROTA#QUERCETIN
APIACEAE#DAUCUS DURIEUA#QUERCETIN
APIACEAE#DAUCUS GLOCHIDIATUS#QUERCETIN-3-MONOGLYCOSIDE
APIACEAE#DAUCUS LITTORALIS#QUERCETIN-3-DIGLUCOSIDE
APIACEAE#ERYNGIUM CAMPESTRE#QUERCETIN#QUERCETIN-3-O-DI-PARA-COUMAROYL-GLUCOSIDE
APIACEAE#ERYNGIUM PLANUM#QUERCETIN
APIACEAE#FERULAGO GRANATENSIS#QUERCETIN
APIACEAE#FERULAGO SYLVATICA#QUERCETIN
APIACEAE#FOENICULUM VULGARE#QUERCETIN#QUERCETIN-3-GLUCURONIDE
APIACEAE#GLEHNIA LITTORALIS#QUERCETIN#QUERCETIN,ISO:
APIACEAE#HEPTAPTERA TRIQUETRA#QUERCETIN
APIACEAE#HERACLEUM LEHMANNIANUM#QUERCETIN
APIACEAE#HERACLEUM MANTEGAZZIANUM#QUERCETIN
APIACEAE#HETEROMORPHA ARBORESCENS#QUERCETIN
