1. Aegilops tauschii,12. Gossypium hirsutum,23. Nicotiana attenuata,34. Setaria italica
2. Carica papaya,13. Gossypium raimondii,24. Nicotiana sylvestris,35. Solanum lycopersicum
3. Cicer arietinum,14. Hevea brasiliensis,25. Nicotiana tabacum,36. Solanum pennellii
4. Citrus clementina,15. Jatropha curcas,26. Nicotiana tomentosiformis,37. Solanum tuberosum
5. Citrus sinensis,16. Juglans regia,27. Oryza brachyantha,38. Theobroma cacao
6. Durio zibethinus,17. Lotus japonicus,Oryza sativa japonica,39. Vigna angularis
7. Elaeis guineensis,18. Lupinus angustifolius,29. Phaseolus vulgaris,40. Vigna radiata
8. Eucalyptus grandis,19. Manihot esculenta,30. Phoenix dactylifera,41. Vigna unguiculata
9. Glycine max,20. Medicago truncatula,31. Populus euphratica,42. Zea mays
10. Glycine soja,21. Musa acuminata,32. Populus trichocarpa,43. Ziziphus jujuba
11. Gossypium arboreum,22. Nelumbo nucifera,33. Quercus suber, 
