1. Aegilops tauschii,18. Elaeis guineensis,34. Musa acuminata,Pyrus x bretschneideri
2. Amborella trichopoda,19. Eucalyptus grandis,35. Nelumbo nucifera,51. Quercus suber
3. Arabidopsis lyrata,20. Eutrema salsugineum,36. Nicotiana attenuata,52. Raphanus sativus
4. Arabidopsis thaliana,21. Glycine max,37. Nicotiana sylvestris,53. Ricinus communis
5. Arachis duranensis,22. Glycine soja,38. Nicotiana tabacum,54. Rosa chinensis
6. Asparagus officinalis,23. Gossypium arboreum,39. Nicotiana tomentosiformis,55. Setaria italica
7. Beta vulgaris,24. Gossypium hirsutum,40. Oryza brachyantha,56. Solanum lycopersicum
8. Brassica napus,25. Gossypium raimondii,Oryza sativa japonica,57. Solanum pennellii
9. Brassica oleracea,26. Hevea brasiliensis,42. Papaver somniferum,58. Solanum tuberosum
10. Brassica rapa,27. Jatropha curcas,43. Phaseolus vulgaris,59. Tarenaya hassleriana
11. Camelina sativa,28. Juglans regia,44. Phoenix dactylifera,60. Theobroma cacao
12. Carica papaya,29. Lotus japonicus,45. Populus euphratica,61. Vigna angularis
13. Chenopodium quinoa,30. Lupinus angustifolius,46. Populus trichocarpa,62. Vigna radiata
14. Cicer arietinum,31. Malus domestica,47. Prunus avium,63. Vigna unguiculata
15. Citrus clementina,32. Manihot esculenta,48. Prunus mume,64. Zea mays
16. Citrus sinensis,33. Medicago truncatula,49. Prunus persica,65. Ziziphus jujuba
17. Durio zibethinus, , , 
