1. Aegilops tauschii,24. Cucurbita moschata,47. Malus domestica,69. Prunus persica
2. Amborella trichopoda,Cucurbita pepo subsp. Pepo,48. Manihot esculenta,Pyrus x bretschneideri
3. Arabidopsis lyrata,Cynara cardunculus var. scolymus,49. Medicago truncatula,71. Quercus suber
4. Arabidopsis thaliana,27. Daucus carota,50. Momordica charantia,72. Raphanus sativus
5. Arachis duranensis,28. Dendrobium catenatum,51. Musa acuminata,73. Ricinus communis
6. Arachis ipaensis,29. Durio zibethinus,52. Nelumbo nucifera,74. Rosa chinensis
7. Asparagus officinalis,30. Elaeis guineensis,53. Nicotiana attenuata,75. Selaginella moellendorffii
8. Beta vulgaris,31. Eucalyptus grandis,54. Nicotiana sylvestris,76. Sesamum indicum
9. Brachypodium distachyon,32. Eutrema salsugineum,55. Nicotiana tabacum,77. Setaria italica
10. Brassica napus,33. Fragaria vesca,56. Nicotiana tomentosiformis,78. Solanum lycopersicum
11. Brassica oleracea,34. Glycine max,Olea europaea var. sylvestris,79. Solanum pennellii
12. Brassica rapa,35. Glycine soja,58. Oryza brachyantha,80. Solanum tuberosum
13. Cajanus cajan,36. Gossypium arboreum,Oryza sativa japonica,81. Sorghum bicolor
14. Camelina sativa,37. Gossypium hirsutum,60. Papaver somniferum,82. Spinacia oleracea
15. Capsicum annuum,38. Gossypium raimondii,61. Phalaenopsis equestris,83. Tarenaya hassleriana
16. Carica papaya,39. Helianthus annuus,62. Phaseolus vulgaris,84. Theobroma cacao
17. Chenopodium quinoa,40. Hevea brasiliensis,63. Phoenix dactylifera,85. Vigna angularis
18. Cicer arietinum,41. Ipomoea nil,64. Physcomitrium patens,86. Vigna radiata
19. Citrus clementina,42. Jatropha curcas,65. Populus euphratica,87. Vigna unguiculata
20. Citrus sinensis,43. Juglans regia,66. Populus trichocarpa,88. Vitis vinifera
21. Cucumis melo,44. Lactuca sativa,67. Prunus avium,89. Zea mays
22. Cucumis sativus,45. Lotus japonicus,68. Prunus mume,90. Ziziphus jujuba
23. Cucurbita maxima,46. Lupinus angustifolius, , 
