1. Aegilops tauschii,22. Cucurbita maxima,43. Lotus japonicus,64. Prunus persica
2. Amborella trichopoda,23. Cucurbita moschata,44. Lupinus angustifolius,Pyrus x bretschneideri
3. Arabidopsis lyrata,Cucurbita pepo subsp. Pepo,45. Malus domestica,66. Quercus suber
4. Arabidopsis thaliana,Cynara cardunculus var. scolymus,46. Manihot esculenta,67. Raphanus sativus
5. Arachis duranensis,26. Daucus carota,47. Medicago truncatula,68. Ricinus communis
6. Arachis ipaensis,27. Durio zibethinus,48. Musa acuminata,69. Rosa chinensis
7. Asparagus officinalis,28. Elaeis guineensis,49. Nelumbo nucifera,70. Sesamum indicum
8. Beta vulgaris,29. Eucalyptus grandis,50. Nicotiana attenuata,71. Setaria italica
9. Brachypodium distachyon,30. Eutrema salsugineum,51. Nicotiana sylvestris,72. Solanum lycopersicum
10. Brassica napus,31. Fragaria vesca,52. Nicotiana tabacum,73. Solanum pennellii
11. Brassica oleracea,32. Glycine max,53. Nicotiana tomentosiformis,74. Solanum tuberosum
12. Brassica rapa,33. Glycine soja,Olea europaea var. sylvestris,75. Spinacia oleracea
13. Camelina sativa,34. Gossypium arboreum,Oryza sativa japonica,76. Tarenaya hassleriana
14. Capsicum annuum,35. Gossypium hirsutum,56. Papaver somniferum,77. Theobroma cacao
15. Carica papaya,36. Gossypium raimondii,57. Phalaenopsis equestris,78. Vigna angularis
16. Chenopodium quinoa,37. Helianthus annuus,58. Phaseolus vulgaris,79. Vigna radiata
17. Cicer arietinum,38. Hevea brasiliensis,59. Phoenix dactylifera,80. Vigna unguiculata
18. Citrus clementina,39. Ipomoea nil,60. Populus euphratica,81. Vitis vinifera
19. Citrus sinensis,40. Jatropha curcas,61. Populus trichocarpa,82. Zea mays
20. Cucumis melo,41. Juglans regia,62. Prunus avium,83. Ziziphus jujuba
21. Cucumis sativus,42. Lactuca sativa,63. Prunus mume, 
