1. Aegilops tauschii,13. Cucumis melo,25. Manihot esculenta,37. Prunus mume
2. Amborella trichopoda,14. Cucumis sativus,26. Medicago truncatula,38. Prunus persica
3. Arabidopsis thaliana,Cucurbita pepo subsp. Pepo,27. Momordica charantia,Pyrus x bretschneideri
4. Asparagus officinalis,16. Durio zibethinus,28. Musa acuminata,40. Sesamum indicum
5. Beta vulgaris,17. Elaeis guineensis,29. Nelumbo nucifera,41. Solanum tuberosum
6. Brassica rapa,18. Eucalyptus grandis,30. Nicotiana tabacum,42. Sorghum bicolor
7. Camelina sativa,19. Fragaria vesca,Olea europaea var. sylvestris,43. Spinacia oleracea
8. Capsicum annuum,20. Glycine max,Oryza sativa japonica,44. Theobroma cacao
9. Carica papaya,21. Gossypium hirsutum,33. Phaseolus vulgaris,45. Vigna angularis
10. Chenopodium quinoa,22. Jatropha curcas,34. Phoenix dactylifera,46. Vigna radiata
11. Cicer arietinum,23. Juglans regia,35. Populus trichocarpa,47. Vitis vinifera
12. Citrus sinensis,24. Malus domestica,36. Prunus avium,48. Ziziphus jujuba
