1. Aegilops tauschii,24. Cucurbita moschata,46. Malus domestica,68. Prunus persica
2. Amborella trichopoda,Cucurbita pepo subsp. Pepo,47. Manihot esculenta,Pyrus x bretschneideri
3. Arabidopsis lyrata,Cynara cardunculus var. scolymus,48. Medicago truncatula,70. Quercus suber
4. Arabidopsis thaliana,27. Daucus carota,49. Momordica charantia,71. Raphanus sativus
5. Arachis duranensis,28. Dendrobium catenatum,50. Musa acuminata,72. Ricinus communis
6. Arachis ipaensis,29. Durio zibethinus,51. Nelumbo nucifera,73. Rosa chinensis
7. Asparagus officinalis,30. Elaeis guineensis,52. Nicotiana attenuata,74. Selaginella moellendorffii
8. Beta vulgaris,31. Eucalyptus grandis,53. Nicotiana sylvestris,75. Sesamum indicum
9. Brachypodium distachyon,32. Eutrema salsugineum,54. Nicotiana tabacum,76. Setaria italica
10. Brassica napus,33. Fragaria vesca,55. Nicotiana tomentosiformis,77. Solanum lycopersicum
11. Brassica oleracea,34. Glycine max,Olea europaea var. sylvestris,78. Solanum pennellii
12. Brassica rapa,35. Gossypium arboreum,57. Oryza brachyantha,79. Solanum tuberosum
13. Cajanus cajan,36. Gossypium hirsutum,Oryza sativa japonica,80. Sorghum bicolor
14. Camelina sativa,37. Gossypium raimondii,59. Papaver somniferum,81. Spinacia oleracea
15. Capsicum annuum,38. Helianthus annuus,60. Phalaenopsis equestris,82. Tarenaya hassleriana
16. Carica papaya,39. Hevea brasiliensis,61. Phaseolus vulgaris,83. Theobroma cacao
17. Chenopodium quinoa,40. Ipomoea nil,62. Phoenix dactylifera,84. Vigna angularis
18. Cicer arietinum,41. Jatropha curcas,63. Physcomitrium patens,85. Vigna radiata
19. Citrus clementina,42. Juglans regia,64. Populus euphratica,86. Vigna unguiculata
20. Citrus sinensis,43. Lactuca sativa,65. Populus trichocarpa,87. Vitis vinifera
21. Cucumis melo,44. Lotus japonicus,66. Prunus avium,88. Zea mays
22. Cucumis sativus,45. Lupinus angustifolius,67. Prunus mume,89. Ziziphus jujuba
23. Cucurbita maxima, , , 
