1. Aegilops tauschii,12. Durio zibethinus,23. Lupinus angustifolius,34. Populus euphratica
2. Arabidopsis lyrata,13. Elaeis guineensis,24. Malus domestica,35. Populus trichocarpa
3. Arachis duranensis,14. Eutrema salsugineum,25. Manihot esculenta,Pyrus x bretschneideri
4. Arachis ipaensis,15. Glycine soja,26. Nicotiana attenuata,37. Quercus suber
5. Beta vulgaris,16. Gossypium arboreum,27. Nicotiana sylvestris,38. Rosa chinensis
6. Camelina sativa,17. Gossypium raimondii,28. Nicotiana tabacum,39. Sesamum indicum
7. Citrus clementina,18. Helianthus annuus,29. Nicotiana tomentosiformis,40. Setaria italica
8. Cucumis sativus,19. Hevea brasiliensis,30. Oryza brachyantha,41. Solanum pennellii
9. Cucurbita maxima,20. Jatropha curcas,31. Papaver somniferum,42. Tarenaya hassleriana
10. Cucurbita moschata,21. Lactuca sativa,32. Phalaenopsis equestris,43. Vigna unguiculata
Cucurbita pepo subsp. Pepo,22. Lotus japonicus,33. Physcomitrium patens, 
