1. Amborella trichopoda,16. Cucurbita maxima,30. Lupinus angustifolius,44. Quercus suber
2. Arabidopsis thaliana,Cucurbita pepo subsp. Pepo,31. Malus domestica,45. Raphanus sativus
3. Asparagus officinalis,Cynara cardunculus var. scolymus,32. Manihot esculenta,46. Ricinus communis
4. Beta vulgaris,19. Daucus carota,33. Medicago truncatula,47. Rosa chinensis
5. Brassica napus,20. Fragaria vesca,34. Musa acuminata,48. Solanum lycopersicum
6. Brassica oleracea,21. Glycine max,35. Nelumbo nucifera,49. Solanum tuberosum
7. Brassica rapa,22. Gossypium arboreum,36. Nicotiana tabacum,50. Spinacia oleracea
8. Camelina sativa,23. Gossypium hirsutum,Olea europaea var. sylvestris,51. Theobroma cacao
9. Capsicum annuum,24. Helianthus annuus,38. Papaver somniferum,52. Vigna angularis
10. Carica papaya,25. Hevea brasiliensis,39. Phaseolus vulgaris,53. Vigna radiata
11. Chenopodium quinoa,26. Jatropha curcas,40. Phoenix dactylifera,54. Vigna unguiculata
12. Cicer arietinum,27. Juglans regia,41. Prunus avium,55. Vitis vinifera
13. Citrus sinensis,28. Lactuca sativa,42. Prunus mume,56. Zea mays
14. Cucumis melo,29. Lotus japonicus,43. Prunus persica,57. Ziziphus jujuba
15. Cucumis sativus, , , 
