1. Aegilops tauschii,17. Elaeis guineensis,33. Phaseolus vulgaris
2. Amborella trichopoda,18. Eucalyptus grandis,34. Phoenix dactylifera
3. Arabidopsis thaliana,19. Fragaria vesca,35. Populus trichocarpa
4. Asparagus officinalis,20. Glycine max,36. Prunus avium
5. Beta vulgaris,21. Gossypium hirsutum,37. Prunus mume
6. Brassica rapa,22. Jatropha curcas,38. Prunus persica
7. Camelina sativa,23. Juglans regia,39. Pyrus x
8. Capsicum annuum,24. Malus domestica,40. Sesamum indicum
9. Carica papaya,25. Manihot esculenta,41. Solanum tuberosum
10. Chenopodium quinoa,26. Medicago truncatula,42. Sorghum bicolor
11. Cicer arietinum,27. Momordica charantia,43. Spinacia oleracea
12. Citrus sinensis,28. Musa acuminata,44. Theobroma cacao
13. Cucumis melo,29. Nelumbo nucifera,45. Vigna angularis
14. Cucumis sativus,30. Nicotiana tabacum,46. Vigna radiata
15. Cucurbita pepo,31. Olea europaea,47. Vitis vinifera
16. Durio zibethinus,32. Oryza sativa,48. Ziziphus jujuba
