1. Aegilops tauschii,14. Jatropha curcas,26. Populus trichocarpa
2. Amborella trichopoda,15. Juglans regia,27. Prunus avium
3. Asparagus officinalis,16. Malus domestica,28. Prunus mume
4. Beta vulgaris,17. Manihot esculenta,29. Prunus persica
5. Carica papaya,18. Medicago truncatula,30. Pyrus x
6. Chenopodium quinoa,19. Musa acuminata,31. Solanum tuberosum
7. Cicer arietinum,20. Nelumbo nucifera,32. Spinacia oleracea
8. Citrus sinensis,21. Nicotiana tabacum,33. Theobroma cacao
9. Durio zibethinus,22. Olea europaea,34. Vigna angularis
10. Elaeis guineensis,23. Oryza sativa,35. Vigna radiata
11. Eucalyptus grandis,24. Phaseolus vulgaris,36. Vitis vinifera
12. Glycine max,25. Phoenix dactylifera,37. Ziziphus jujuba
13. Gossypium hirsutum, , 
