1. Aegilops tauschii,20. Dendrobium catenatum,39. Medicago truncatula,58. Pyrus x
2. Amborella trichopoda,21. Durio zibethinus,40. Musa acuminata,59. Quercus suber
3. Arabidopsis lyrata,22. Elaeis guineensis,41. Nelumbo nucifera,60. Raphanus sativus
4. Arabidopsis thaliana,23. Eucalyptus grandis,42. Nicotiana attenuata,61. Ricinus communis
5. Arachis duranensis,24. Eutrema salsugineum,43. Nicotiana sylvestris,62. Rosa chinensis
6. Asparagus officinalis,25. Glycine max,44. Nicotiana tabacum,63. Sesamum indicum
7. Beta vulgaris,26. Glycine soja,45. Nicotiana tomentosiformis,64. Setaria italica
8. Brassica napus,27. Gossypium arboreum,46. Olea europaea,65. Solanum lycopersicum
9. Brassica oleracea,28. Gossypium hirsutum,47. Oryza brachyantha,66. Solanum pennellii
10. Brassica rapa,29. Gossypium raimondii,48. Oryza sativa,67. Solanum tuberosum
11. Camelina sativa,30. Helianthus annuus,49. Papaver somniferum,68. Spinacia oleracea
12. Capsicum annuum,31. Hevea brasiliensis,50. Phalaenopsis equestris,69. Tarenaya hassleriana
13. Carica papaya,32. Ipomoea nil,51. Phaseolus vulgaris,70. Theobroma cacao
14. Chenopodium quinoa,33. Jatropha curcas,52. Phoenix dactylifera,71. Vigna angularis
15. Cicer arietinum,34. Juglans regia,53. Populus euphratica,72. Vigna radiata
16. Citrus clementina,35. Lotus japonicus,54. Populus trichocarpa,73. Vigna unguiculata
17. Citrus sinensis,36. Lupinus angustifolius,55. Prunus avium,74. Vitis vinifera
18. Cynara cardunculus,37. Malus domestica,56. Prunus mume,75. Zea mays
19. Daucus carota,38. Manihot esculenta,57. Prunus persica,76. Ziziphus jujuba
