1. Amborella trichopoda,14. Juglans regia,27. Prunus persica
2. Arabidopsis thaliana,15. Malus domestica,28. Pyrus x
3. Beta vulgaris,16. Medicago truncatula,29. Ricinus communis
4. Brassica napus,17. Momordica charantia,30. Sesamum indicum
5. Capsicum annuum,18. Musa acuminata,31. Solanum tuberosum
6. Carica papaya,19. Nelumbo nucifera,32. Sorghum bicolor
7. Cucumis melo,20. Nicotiana sylvestris,33. Spinacia oleracea
8. Durio zibethinus,21. Nicotiana tabacum,34. Theobroma cacao
9. Elaeis guineensis,22. Phaseolus vulgaris,35. Vigna angularis
10. Eucalyptus grandis,23. Phoenix dactylifera,36. Vigna radiata
11. Fragaria vesca,24. Populus trichocarpa,37. Vitis vinifera
12. Glycine max,25. Prunus avium,38. Ziziphus jujuba
13. Gossypium hirsutum,26. Prunus mume, 
