1. Aegilops tauschii,13. Glycine soja,25. Papaver somniferum
2. Arabidopsis lyrata,14. Gossypium arboreum,26. Populus euphratica
3. Arachis duranensis,15. Gossypium raimondii,27. Quercus suber
4. Asparagus officinalis,16. Hevea brasiliensis,28. Raphanus sativus
5. Brassica oleracea,17. Jatropha curcas,29. Rosa chinensis
6. Brassica rapa,18. Lotus japonicus,30. Setaria italica
7. Camelina sativa,19. Lupinus angustifolius,31. Solanum lycopersicum
8. Chenopodium quinoa,20. Manihot esculenta,32. Solanum pennellii
9. Cicer arietinum,21. Nicotiana attenuata,33. Tarenaya hassleriana
10. Citrus clementina,22. Nicotiana tomentosiformis,34. Vigna unguiculata
11. Citrus sinensis,23. Oryza brachyantha,35. Zea mays
12. Eutrema salsugineum,24. Oryza sativa, 
