1. Aegilops tauschii,14. Juglans regia,27. Phoenix dactylifera
2. Carica papaya,15. Lotus japonicus,28. Populus euphratica
3. Cicer arietinum,16. Lupinus angustifolius,29. Populus trichocarpa
4. Citrus clementina,17. Manihot esculenta,30. Quercus suber
5. Durio zibethinus,18. Medicago truncatula,31. Setaria italica
6. Elaeis guineensis,19. Musa acuminata,32. Solanum lycopersicum
7. Eucalyptus grandis,20. Nelumbo nucifera,33. Solanum pennellii
8. Glycine max,21. Nicotiana attenuata,34. Solanum tuberosum
9. Glycine soja,22. Nicotiana sylvestris,35. Vigna angularis
10. Gossypium arboreum,23. Nicotiana tabacum,36. Vigna radiata
11. Gossypium raimondii,24. Nicotiana tomentosiformis,37. Vigna unguiculata
12. Hevea brasiliensis,25. Oryza brachyantha,38. Zea mays
13. Jatropha curcas,26. Oryza sativa, 
