1. Aegilops tauschii,12. Gossypium arboreum,23. Nelumbo nucifera,33. Populus trichocarpa
2. Brachypodium distachyon,13. Gossypium hirsutum,24. Nicotiana attenuata,34. Quercus suber
3. Carica papaya,14. Gossypium raimondii,25. Nicotiana sylvestris,35. Solanum pennellii
4. Cicer arietinum,15. Hevea brasiliensis,26. Nicotiana tabacum,36. Solanum tuberosum
5. Citrus clementina,16. Jatropha curcas,27. Nicotiana tomentosiformis,37. Theobroma cacao
6. Citrus sinensis,17. Juglans regia,28. Oryza brachyantha,38. Vigna angularis
7. Durio zibethinus,18. Lotus japonicus,29. Oryza sativa,39. Vigna radiata
8. Elaeis guineensis,19. Lupinus angustifolius,30. Phaseolus vulgaris,40. Vigna unguiculata
9. Eucalyptus grandis,20. Manihot esculenta,31. Phoenix dactylifera,41. Vitis vinifera
10. Glycine max,21. Medicago truncatula,32. Populus euphratica,42. Ziziphus jujuba
11. Glycine soja,22. Musa acuminata, , 
