1. Aegilops tauschii,30. Eutrema salsugineum,58. Phoenix dactylifera
2. Amborella trichopoda,31. Fragaria vesca,59. Physcomitrium patens
3. Arabidopsis lyrata,32. Glycine soja,60. Populus euphratica
4. Arachis duranensis,33. Gossypium arboreum,61. Populus trichocarpa
5. Arachis ipaensis,34. Gossypium hirsutum,62. Prunus avium
6. Asparagus officinalis,35. Gossypium raimondii,63. Prunus mume
7. Beta vulgaris,36. Hevea brasiliensis,64. Prunus persica
8. Brachypodium distachyon,37. Ipomoea nil,65. Pyrus x
9. Brassica napus,38. Jatropha curcas,66. Quercus suber
10. Brassica oleracea,39. Juglans regia,67. Raphanus sativus
11. Brassica rapa,40. Lactuca sativa,68. Ricinus communis
12. Cajanus cajan,41. Lotus japonicus,69. Rosa chinensis
13. Camelina sativa,42. Lupinus angustifolius,70. Selaginella moellendorffii
14. Capsicum annuum,43. Malus domestica,71. Sesamum indicum
15. Carica papaya,44. Manihot esculenta,72. Setaria italica
16. Chenopodium quinoa,45. Momordica charantia,73. Solanum lycopersicum
17. Citrus clementina,46. Musa acuminata,74. Solanum pennellii
18. Citrus sinensis,47. Nelumbo nucifera,75. Solanum tuberosum
19. Cucumis melo,48. Nicotiana attenuata,76. Sorghum bicolor
20. Cucumis sativus,49. Nicotiana sylvestris,77. Spinacia oleracea
21. Cucurbita maxima,50. Nicotiana tabacum,78. Tarenaya hassleriana
22. Cucurbita moschata,51. Nicotiana tomentosiformis,79. Theobroma cacao
23. Cucurbita pepo,52. Olea europaea,80. Vigna angularis
24. Cynara cardunculus,53. Oryza brachyantha,81. Vigna radiata
25. Daucus carota,54. Oryza sativa,82. Vigna unguiculata
26. Dendrobium catenatum,55. Papaver somniferum,83. Vitis vinifera
27. Durio zibethinus,56. Phalaenopsis equestris,84. Zea mays
28. Elaeis guineensis,57. Phaseolus vulgaris,85. Ziziphus jujuba
29. Eucalyptus grandis, , 
