1. Aegilops tauschii,22. Cucurbita maxima,43. Lotus japonicus,64. Prunus mume
2. Amborella trichopoda,23. Cucurbita moschata,44. Lupinus angustifolius,65. Prunus persica
3. Arabidopsis lyrata,24. Cucurbita pepo,45. Malus domestica,66. Pyrus x
4. Arabidopsis thaliana,25. Cynara cardunculus,46. Manihot esculenta,67. Quercus suber
5. Arachis duranensis,26. Daucus carota,47. Medicago truncatula,68. Raphanus sativus
6. Arachis ipaensis,27. Durio zibethinus,48. Momordica charantia,69. Ricinus communis
7. Asparagus officinalis,28. Elaeis guineensis,49. Musa acuminata,70. Rosa chinensis
8. Beta vulgaris,29. Eucalyptus grandis,50. Nelumbo nucifera,71. Sesamum indicum
9. Brachypodium distachyon,30. Eutrema salsugineum,51. Nicotiana attenuata,72. Setaria italica
10. Brassica napus,31. Fragaria vesca,52. Nicotiana sylvestris,73. Solanum lycopersicum
11. Brassica oleracea,32. Glycine max,53. Nicotiana tabacum,74. Solanum pennellii
12. Brassica rapa,33. Glycine soja,54. Nicotiana tomentosiformis,75. Solanum tuberosum
13. Camelina sativa,34. Gossypium arboreum,55. Olea europaea,76. Spinacia oleracea
14. Capsicum annuum,35. Gossypium hirsutum,56. Oryza sativa,77. Tarenaya hassleriana
15. Carica papaya,36. Gossypium raimondii,57. Papaver somniferum,78. Theobroma cacao
16. Chenopodium quinoa,37. Helianthus annuus,58. Phalaenopsis equestris,79. Vigna angularis
17. Cicer arietinum,38. Hevea brasiliensis,59. Phaseolus vulgaris,80. Vigna radiata
18. Citrus clementina,39. Ipomoea nil,60. Phoenix dactylifera,81. Vigna unguiculata
19. Citrus sinensis,40. Jatropha curcas,61. Populus euphratica,82. Vitis vinifera
20. Cucumis melo,41. Juglans regia,62. Populus trichocarpa,83. Zea mays
21. Cucumis sativus,42. Lactuca sativa,63. Prunus avium,84. Ziziphus jujuba
