1. Aegilops tauschii,13. Gossypium arboreum,25. Nicotiana attenuata,36. Setaria italica
2. Brachypodium distachyon,14. Gossypium hirsutum,26. Nicotiana sylvestris,37. Solanum lycopersicum
3. Capsicum annuum,15. Gossypium raimondii,27. Nicotiana tabacum,38. Solanum pennellii
4. Carica papaya,16. Hevea brasiliensis,28. Nicotiana tomentosiformis,39. Solanum tuberosum
5. Cicer arietinum,17. Jatropha curcas,29. Oryza sativa,40. Theobroma cacao
6. Citrus clementina,18. Juglans regia,30. Phalaenopsis equestris,41. Vigna angularis
7. Citrus sinensis,19. Lotus japonicus,31. Phaseolus vulgaris,42. Vigna radiata
8. Durio zibethinus,20. Lupinus angustifolius,32. Phoenix dactylifera,43. Vigna unguiculata
9. Elaeis guineensis,21. Manihot esculenta,33. Populus euphratica,44. Vitis vinifera
10. Eucalyptus grandis,22. Medicago truncatula,34. Populus trichocarpa,45. Zea mays
11. Glycine max,23. Musa acuminata,35. Quercus suber,46. Ziziphus jujuba
12. Glycine soja,24. Nelumbo nucifera, , 
