1. Aegilops tauschii,13. Jatropha curcas,24. Phoenix dactylifera
2. Brachypodium distachyon,14. Lupinus angustifolius,25. Populus euphratica
3. Cicer arietinum,15. Manihot esculenta,26. Populus trichocarpa
4. Citrus clementina,16. Musa acuminata,27. Quercus suber
5. Durio zibethinus,17. Nicotiana attenuata,28. Setaria italica
6. Elaeis guineensis,18. Nicotiana sylvestris,29. Solanum lycopersicum
7. Eucalyptus grandis,19. Nicotiana tabacum,30. Solanum pennellii
8. Glycine max,20. Nicotiana tomentosiformis,31. Theobroma cacao
9. Glycine soja,21. Oryza brachyantha,32. Vigna angularis
10. Gossypium arboreum,22. Oryza sativa,33. Zea mays
11. Gossypium raimondii,23. Phalaenopsis equestris,34. Ziziphus jujuba
12. Hevea brasiliensis, , 
