1. Amborella trichopoda,12. Cicer arietinum,23. Medicago truncatula,34. Raphanus sativus
2. Arabidopsis thaliana,13. Citrus sinensis,24. Momordica charantia,35. Selaginella moellendorffii
3. Asparagus officinalis,14. Cucumis melo,25. Musa acuminata,36. Solanum lycopersicum
4. Brachypodium distachyon,15. Cynara cardunculus,26. Nelumbo nucifera,37. Solanum tuberosum
5. Brassica napus,16. Daucus carota,27. Olea europaea,38. Sorghum bicolor
6. Brassica oleracea,17. Dendrobium catenatum,28. Oryza sativa,39. Spinacia oleracea
7. Brassica rapa,18. Eucalyptus grandis,29. Phaseolus vulgaris,40. Theobroma cacao
8. Cajanus cajan,19. Fragaria vesca,30. Phoenix dactylifera,41. Vigna angularis
9. Capsicum annuum,20. Glycine max,31. Prunus avium,42. Vigna radiata
10. Carica papaya,21. Gossypium hirsutum,32. Prunus mume,43. Vitis vinifera
11. Chenopodium quinoa,22. Juglans regia,33. Prunus persica,44. Zea mays
