1. Amborella trichopoda,16. Daucus carota,31. Prunus avium
2. Arabidopsis thaliana,17. Dendrobium catenatum,32. Prunus mume
3. Asparagus officinalis,18. Eucalyptus grandis,33. Prunus persica
4. Brachypodium distachyon,19. Fragaria vesca,34. Raphanus sativus
5. Brassica napus,20. Glycine max,35. Selaginella moellendorffii
6. Brassica oleracea,21. Gossypium hirsutum,36. Solanum lycopersicum
7. Brassica rapa,22. Juglans regia,37. Solanum tuberosum
8. Cajanus cajan,23. Medicago truncatula,38. Sorghum bicolor
9. Capsicum annuum,24. Momordica charantia,39. Spinacia oleracea
10. Carica papaya,25. Musa acuminata,40. Theobroma cacao
11. Chenopodium quinoa,26. Nelumbo nucifera,41. Vigna angularis
12. Cicer arietinum,27. Olea europaea,42. Vigna radiata
13. Citrus sinensis,28. Oryza sativa,43. Vitis vinifera
14. Cucumis melo,29. Phaseolus vulgaris,44. Zea mays
15. Cynara cardunculus,30. Phoenix dactylifera, 
