1. Aegilops tauschii,17. Gossypium raimondii,32. Papaver somniferum
2. Arabidopsis lyrata,18. Helianthus annuus,33. Phalaenopsis equestris
3. Arachis duranensis,19. Hevea brasiliensis,34. Physcomitrium patens
4. Arachis ipaensis,20. Ipomoea nil,35. Populus euphratica
5. Beta vulgaris,21. Jatropha curcas,36. Populus trichocarpa
6. Camelina sativa,22. Lactuca sativa,37. Pyrus x
7. Citrus clementina,23. Lotus japonicus,38. Quercus suber
8. Cucumis sativus,24. Lupinus angustifolius,39. Ricinus communis
9. Cucurbita maxima,25. Malus domestica,40. Rosa chinensis
10. Cucurbita moschata,26. Manihot esculenta,41. Sesamum indicum
11. Cucurbita pepo,27. Nicotiana attenuata,42. Setaria italica
12. Durio zibethinus,28. Nicotiana sylvestris,43. Solanum pennellii
13. Elaeis guineensis,29. Nicotiana tabacum,44. Tarenaya hassleriana
14. Eutrema salsugineum,30. Nicotiana tomentosiformis,45. Vigna unguiculata
15. Glycine soja,31. Oryza brachyantha,46. Ziziphus jujuba
16. Gossypium arboreum, , 
