1. Amborella trichopoda,21. Fragaria vesca,41. Phaseolus vulgaris
2. Arabidopsis thaliana,22. Glycine max,42. Phoenix dactylifera
3. Asparagus officinalis,23. Gossypium arboreum,43. Prunus avium
4. Beta vulgaris,24. Gossypium hirsutum,44. Prunus mume
5. Brassica napus,25. Helianthus annuus,45. Prunus persica
6. Brassica oleracea,26. Hevea brasiliensis,46. Quercus suber
7. Brassica rapa,27. Jatropha curcas,47. Raphanus sativus
8. Cajanus cajan,28. Juglans regia,48. Ricinus communis
9. Camelina sativa,29. Lactuca sativa,49. Rosa chinensis
10. Capsicum annuum,30. Lotus japonicus,50. Solanum lycopersicum
11. Carica papaya,31. Lupinus angustifolius,51. Solanum tuberosum
12. Chenopodium quinoa,32. Malus domestica,52. Spinacia oleracea
13. Cicer arietinum,33. Manihot esculenta,53. Theobroma cacao
14. Citrus sinensis,34. Medicago truncatula,54. Vigna angularis
15. Cucumis melo,35. Momordica charantia,55. Vigna radiata
16. Cucumis sativus,36. Musa acuminata,56. Vigna unguiculata
17. Cucurbita maxima,37. Nelumbo nucifera,57. Vitis vinifera
18. Cucurbita pepo,38. Nicotiana tabacum,58. Zea mays
19. Cynara cardunculus,39. Olea europaea,59. Ziziphus jujuba
20. Daucus carota,40. Papaver somniferum, 
