1. Amborella trichopoda,20. Fragaria vesca,39. Phaseolus vulgaris
2. Arabidopsis thaliana,21. Glycine max,40. Phoenix dactylifera
3. Asparagus officinalis,22. Gossypium arboreum,41. Prunus avium
4. Beta vulgaris,23. Gossypium hirsutum,42. Prunus mume
5. Brassica napus,24. Helianthus annuus,43. Prunus persica
6. Brassica oleracea,25. Hevea brasiliensis,44. Quercus suber
7. Brassica rapa,26. Jatropha curcas,45. Raphanus sativus
8. Camelina sativa,27. Juglans regia,46. Ricinus communis
9. Capsicum annuum,28. Lactuca sativa,47. Rosa chinensis
10. Carica papaya,29. Lotus japonicus,48. Solanum lycopersicum
11. Chenopodium quinoa,30. Lupinus angustifolius,49. Solanum tuberosum
12. Cicer arietinum,31. Malus domestica,50. Spinacia oleracea
13. Citrus sinensis,32. Manihot esculenta,51. Theobroma cacao
14. Cucumis melo,33. Medicago truncatula,52. Vigna angularis
15. Cucumis sativus,34. Musa acuminata,53. Vigna radiata
16. Cucurbita maxima,35. Nelumbo nucifera,54. Vigna unguiculata
17. Cucurbita pepo,36. Nicotiana tabacum,55. Vitis vinifera
18. Cynara cardunculus,37. Olea europaea,56. Zea mays
19. Daucus carota,38. Papaver somniferum,57. Ziziphus jujuba
