Name,USDA,KNApSAcK,NPASS,Microbiome,IMPPAT,Dr. Duke,NAPRALERT
Aegilops tauschii,0,0,0,0,0,0,0
Amborella trichopoda,0,0,0,0,0,0,1
Arabidopsis lyrata,0,0,1,0,0,0,0
Arabidopsis thaliana,0,1,1,0,1,0,1
Arachis duranensis,0,0,0,0,0,0,0
Arachis ipaensis,0,0,0,0,0,0,0
Asparagus officinalis,1,1,1,1,1,1,1
Auxenochlorella protothecoides,0,0,1,0,0,0,0
Bathycoccus prasinos,0,1,0,0,0,0,1
Beta vulgaris,1,1,1,1,1,1,1
Brachypodium distachyon,0,0,1,0,0,0,0
Brassica napus,1,1,1,1,0,1,1
Brassica oleracea,1,1,1,1,1,1,1
Brassica rapa,1,1,1,0,0,1,1
Cajanus cajan,0,1,1,0,1,1,1
Camelina sativa,0,1,1,0,0,0,1
Capsella rubella,0,0,0,0,0,0,0
Capsicum annuum,1,1,1,1,1,1,1
Carica papaya,1,1,1,1,1,1,1
Chenopodium quinoa,0,1,1,0,0,1,1
Chlamydomonas reinhardtii,0,1,1,0,0,1,1
Chlorella variabilis,0,0,0,0,0,1,0
Chondrus crispus,0,1,0,0,1,1,0
Cicer arietinum,1,1,1,1,1,1,1
Citrus clementina,0,1,0,0,0,0,1
Citrus sinensis,1,1,1,1,1,1,1
Coccomyxa subellipsoidea,0,0,0,0,0,1,0
Cucumis melo,1,1,1,1,1,1,1
Cucumis sativus,1,1,1,1,1,1,1
Cucurbita maxima,1,1,1,0,1,1,1
Cucurbita moschata,1,1,1,0,1,0,1
Cucurbita pepo subsp. Pepo,1,1,0,0,0,1,1
Cyanidioschyzon merolae,0,0,0,0,0,1,0
Cynara cardunculus var. scolymus,1,1,1,0,0,1,1
Daucus carota,1,1,1,1,1,1,1
Dendrobium catenatum,0,0,1,0,0,0,0
Durio zibethinus,0,1,1,0,1,1,1
Elaeis guineensis,0,1,1,0,0,1,1
Eucalyptus grandis,0,1,0,0,0,1,1
Eutrema salsugineum,0,0,1,0,0,0,0
Fragaria vesca,0,1,1,0,0,1,1
Galdieria sulphuraria,0,0,1,0,0,0,0
Glycine max,1,1,1,1,1,1,1
Glycine soja,0,1,1,0,0,0,0
Gossypium arboreum,0,1,1,0,1,0,1
Gossypium hirsutum,0,1,1,0,0,0,1
Gossypium raimondii,0,0,0,0,0,0,1
Helianthus annuus,0,1,1,0,1,1,1
Hevea brasiliensis,0,1,1,0,0,0,1
Ipomoea nil,0,1,1,0,1,0,1
Jatropha curcas,0,1,1,0,1,1,1
Juglans regia,1,1,1,1,1,1,1
Lactuca sativa,1,1,1,0,1,1,1
Lotus japonicus,0,1,1,0,0,0,0
Lupinus angustifolius,0,1,0,0,1,1,1
Malus domestica,1,1,1,1,0,1,1
Manihot esculenta,0,1,1,0,1,1,1
Medicago truncatula,0,1,1,0,0,0,1
Micromonas commoda,0,0,0,0,0,0,0
Micromonas pusilla,0,1,1,0,0,0,1
Momordica charantia,0,1,1,0,1,1,1
Monoraphidium neglectum,0,0,0,0,0,0,0
Musa acuminata,0,1,1,1,0,0,1
Nelumbo nucifera,1,1,1,1,1,1,1
Nicotiana attenuata,0,1,1,0,0,1,1
Nicotiana sylvestris,0,1,1,0,0,0,0
Nicotiana tabacum,0,1,1,0,1,1,1
Nicotiana tomentosiformis,0,1,0,0,0,0,1
Olea europaea var. sylvestris,1,0,0,1,1,1,1
Oryza brachyantha,0,0,0,0,0,0,1
Oryza sativa japonica,1,1,0,0,0,1,1
Ostreococcus lucimarinus,0,0,0,0,0,0,0
Ostreococcus tauri,0,0,0,0,0,0,0
Papaver somniferum,0,1,1,0,1,1,1
Phalaenopsis equestris,0,1,1,0,0,0,1
Phaseolus vulgaris,1,1,1,1,1,1,1
Phoenix dactylifera,0,1,1,1,1,1,1
Physcomitrium patens,0,0,0,0,0,0,0
Populus euphratica,0,0,1,0,0,0,1
Populus trichocarpa,0,1,1,0,0,0,1
Prunus avium,1,1,1,1,1,1,1
Prunus mume,0,1,1,0,0,0,1
Prunus persica,1,1,1,1,1,1,1
Pyrus x bretschneideri,0,1,1,0,0,0,1
Quercus suber,0,1,1,0,0,1,1
Raphanus sativus,1,1,1,1,1,1,1
Ricinus communis,0,1,1,0,1,1,1
Rosa chinensis,0,1,1,0,1,0,1
Selaginella moellendorffii,0,1,1,0,0,0,0
Sesamum indicum,0,1,1,0,0,1,1
Setaria italica,0,1,1,0,1,0,1
Solanum lycopersicum,1,1,1,0,0,1,0
Solanum pennellii,0,1,1,0,0,0,0
Solanum tuberosum,1,1,1,1,1,1,1
Sorghum bicolor,0,1,1,0,0,0,1
Spinacia oleracea,1,1,1,1,1,1,1
Tarenaya hassleriana,0,0,0,0,0,0,0
Theobroma cacao,1,1,1,0,1,1,1
Vigna angularis,0,1,1,0,0,1,1
Vigna radiata,1,1,1,1,1,1,1
Vigna unguiculata,1,1,1,1,1,1,1
Vitis vinifera,1,1,1,1,1,1,1
Volvox carteri f. nagariensis,0,0,0,0,0,0,0
Zea mays,0,1,1,0,1,1,1
Ziziphus jujuba,1,1,1,1,0,1,1
