Aegilops tauschii
Arachis duranensis
Arachis ipaensis
Brachypodium distachyon
Cajanus cajan
Cicer arietinum
Citrus clementina
Citrus sinensis
Cynara cardunculus var. scolymus
Durio zibethinus
Eucalyptus grandis
Glycine max
Glycine soja
Gossypium arboreum
Gossypium hirsutum
Gossypium raimondii
Helianthus annuus
Hevea brasiliensis
Lactuca sativa
Lupinus angustifolius
Manihot esculenta
Medicago truncatula
Olea europaea v. sylvestris
Oryza brachyantha
Oryza sativa japonica RAPDB
Oryza sativa japonica RefSeq
Phaseolus vulgaris
Populus euphratica
Populus trichocarpa
Ricinus communis
Sesamum indicum
Setaria italica
Sorghum bicolor
Theobroma cacao
Vigna angularis
Vigna unguiculata
Zea mays
