Aegilops tauschii
Ziziphus jujuba
Nelumbo nucifera
Citrus sinensis
Cicer arietinum
Eucalyptus grandis
Nicotiana sylvestris
Oryza brachyantha
Gossypium raimondii
Vigna angularis
Juglans regia
Solanum tuberosum
Oryza sativa japonica RAPDB
Lotus japonicus
Glycine max
Vigna radiata
Durio zibethinus
Glycine soja
Musa acuminata
Phaseolus vulgaris
Quercus suber
Carica papaya
Elaeis guineensis
Gossypium hirsutum
Hevea brasiliensis
Populus trichocarpa
Populus euphratica
Phoenix dactylifera
Nicotiana tabacum
Theobroma cacao
Manihot esculenta
Solanum pennellii
Medicago truncatula
Vigna unguiculata
Jatropha curcas
Gossypium arboreum
Citrus clementina
Nicotiana tomentosiformis
Nicotiana attenuata
Lupinus angustifolius
