Nicotiana tomentosiformis, 104100767, phenylalanine ammonia-lyase G4-like  [EC], ['EC:4.3.1.24'], KO:K10775
Nicotiana tomentosiformis, 104092690, phenylalanine ammonia-lyase G4-like  [EC], ['EC:4.3.1.24'], KO:K10775
Nicotiana tomentosiformis, 104116279, phenylalanine ammonia-lyase  [EC], ['EC:4.3.1.24'], KO:K10775
Nicotiana tomentosiformis, 104119303, phenylalanine ammonia-lyase  [EC], ['EC:4.3.1.24'], KO:K10775
Nicotiana tomentosiformis, 104101351, trans-cinnamate 4-monooxygenase  [EC], ['EC:1.14.14.91'], KO:K00487
Nicotiana tomentosiformis, 104110622, cytochrome P450 CYP73A100-like  [EC], ['EC:1.14.14.91'], KO:K00487
Nicotiana tomentosiformis, 104097044, trans-cinnamate 4-monooxygenase-like  [EC], ['EC:1.14.14.91'], KO:K00487
Nicotiana tomentosiformis, 104107247, 4-coumarate--CoA ligase 2-like  [EC], ['EC:6.2.1.12'], KO:K01904
Nicotiana tomentosiformis, 104098635, 4-coumarate--CoA ligase 2  [EC], ['EC:6.2.1.12'], KO:K01904
Nicotiana tomentosiformis, 104117423, 4-coumarate--CoA ligase 2-like  [EC], ['EC:6.2.1.12'], KO:K01904
Nicotiana tomentosiformis, 104101623, 4-coumarate--CoA ligase 1  [EC], ['EC:6.2.1.12'], KO:K01904
Nicotiana tomentosiformis, 104120297, 4-coumarate--CoA ligase 2  [EC], ['EC:6.2.1.12'], KO:K01904
Nicotiana tomentosiformis, 104110418, 4-coumarate--CoA ligase-like 6 isoform X1  [EC], ['EC:6.2.1.12'], KO:K01904
Nicotiana tomentosiformis, 104103518, 4-coumarate--CoA ligase-like 1  [EC], ['EC:6.2.1.12'], KO:K01904
Nicotiana tomentosiformis, 104098370, 4-coumarate--CoA ligase-like 7  [EC], ['EC:6.2.1.12'], KO:K01904
Nicotiana tomentosiformis, 104091892, 4-coumarate--CoA ligase-like 9  [EC], ['EC:6.2.1.12'], KO:K01904
Nicotiana tomentosiformis, 104104751, agmatine coumaroyltransferase-2-like  [EC], ['EC:2.3.1.133'], KO:K13065
Nicotiana tomentosiformis, 104108383, shikimate O-hydroxycinnamoyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Nicotiana tomentosiformis, 104118713, acetyl-CoA-benzylalcohol acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Nicotiana tomentosiformis, 104101077, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Nicotiana tomentosiformis, 104107206, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Nicotiana tomentosiformis, 104118516, spermidine hydroxycinnamoyl transferase  [EC], ['EC:2.3.1.133'], KO:K13065
Nicotiana tomentosiformis, 104101120, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Nicotiana tomentosiformis, 104117432, shikimate O-hydroxycinnamoyltransferase-like isoform X1  [EC], ['EC:2.3.1.133'], KO:K13065
Nicotiana tomentosiformis, 104118720, pelargonidin 3-O-(6-caffeoylglucoside) 5-O-(6-O-malonylglucoside) 4'''-malonyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Nicotiana tomentosiformis, 104097590, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Nicotiana tomentosiformis, 104108722, agmatine coumaroyltransferase-2-like  [EC], ['EC:2.3.1.133'], KO:K13065
Nicotiana tomentosiformis, 104108723, acylsugar acyltransferase 3-like  [EC], ['EC:2.3.1.133'], KO:K13065
Nicotiana tomentosiformis, 104112495, omega-hydroxypalmitate O-feruloyl transferase  [EC], ['EC:2.3.1.133'], KO:K13065
Nicotiana tomentosiformis, 104098930, acetyl-CoA-benzylalcohol acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Nicotiana tomentosiformis, 104106456, agmatine coumaroyltransferase-2-like  [EC], ['EC:2.3.1.133'], KO:K13065
Nicotiana tomentosiformis, 104120177, acylsugar acyltransferase 3-like  [EC], ['EC:2.3.1.133'], KO:K13065
Nicotiana tomentosiformis, 104110116, acetyl-CoA-benzylalcohol acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Nicotiana tomentosiformis, 104106633, agmatine coumaroyltransferase-2-like  [EC], ['EC:2.3.1.133'], KO:K13065
Nicotiana tomentosiformis, 104104372, pelargonidin 3-O-(6-caffeoylglucoside) 5-O-(6-O-malonylglucoside) 4'''-malonyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Nicotiana tomentosiformis, 104115385, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Nicotiana tomentosiformis, 104116773, agmatine coumaroyltransferase-2-like  [EC], ['EC:2.3.1.133'], KO:K13065
Nicotiana tomentosiformis, 104121327, acylsugar acyltransferase 3-like  [EC], ['EC:2.3.1.133'], KO:K13065
Nicotiana tomentosiformis, 104088297, cytochrome P450 98A2-like  [EC], ['EC:1.14.14.96'], KO:K09754
Nicotiana tomentosiformis, 104092594, cytochrome P450 98A2-like  [EC], ['EC:1.14.14.96'], KO:K09754
Nicotiana tomentosiformis, 104119156, cytochrome P450 98A2-like isoform X1  [EC], ['EC:1.14.14.96'], KO:K09754
Nicotiana tomentosiformis, 104112912, cytochrome P450 98A3-like  [EC], ['EC:1.14.14.96'], KO:K09754
Nicotiana tomentosiformis, 104106881, caffeoylshikimate esterase isoform X1  [EC], ['EC:3.1.1.-'], KO:K18368
Nicotiana tomentosiformis, 104113974, caffeoylshikimate esterase-like  [EC], ['EC:3.1.1.-'], KO:K18368
Nicotiana tomentosiformis, 104090174, caffeoylshikimate esterase  [EC], ['EC:3.1.1.-'], KO:K18368
Nicotiana tomentosiformis, 104119860, caffeoylshikimate esterase-like isoform X1  [EC], ['EC:3.1.1.-'], KO:K18368
Nicotiana tomentosiformis, 104116745, caffeoylshikimate esterase  [EC], ['EC:3.1.1.-'], KO:K18368
Nicotiana tomentosiformis, 104113520, caffeoyl-CoA O-methyltransferase 5  [EC], ['EC:2.1.1.104'], KO:K00588
Nicotiana tomentosiformis, 104098960, caffeoyl-CoA O-methyltransferase 2  [EC], ['EC:2.1.1.104'], KO:K00588
Nicotiana tomentosiformis, 104098961, caffeoyl-CoA O-methyltransferase 3  [EC], ['EC:2.1.1.104'], KO:K00588
Nicotiana tomentosiformis, 104094412, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Nicotiana tomentosiformis, 104095631, caffeoyl-CoA O-methyltransferase 6  [EC], ['EC:2.1.1.104'], KO:K00588
Nicotiana tomentosiformis, 104099503, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Nicotiana tomentosiformis, 104090926, cinnamoyl-CoA reductase 2-like  [EC], ['EC:1.2.1.44'], KO:K09753
Nicotiana tomentosiformis, 104121164, cinnamoyl-CoA reductase 1-like  [EC], ['EC:1.2.1.44'], KO:K09753
