Solanum pennellii, 107002228, phenylalanine ammonia-lyase  [EC], ['EC:4.3.1.24'], KO:K10775
Solanum pennellii, 107032649, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Solanum pennellii, 107031255, phenylalanine ammonia-lyase  [EC], ['EC:4.3.1.24'], KO:K10775
Solanum pennellii, 107031390, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Solanum pennellii, 107030967, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Solanum pennellii, 107020424, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Solanum pennellii, 107013137, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Solanum pennellii, 107014419, phenylalanine ammonia-lyase  [EC], ['EC:4.3.1.24'], KO:K10775
Solanum pennellii, 107020510, cytochrome P450 CYP73A100-like  [EC], ['EC:1.14.14.91'], KO:K00487
Solanum pennellii, 114073827, trans-cinnamate 4-monooxygenase  [EC], ['EC:1.14.14.91'], KO:K00487
Solanum pennellii, 107022866, trans-cinnamate 4-monooxygenase  [EC], ['EC:1.14.14.91'], KO:K00487
Solanum pennellii, 107023844, 4-coumarate--CoA ligase 2  [EC], ['EC:6.2.1.12'], KO:K01904
Solanum pennellii, 107005580, 4-coumarate--CoA ligase 2-like  [EC], ['EC:6.2.1.12'], KO:K01904
Solanum pennellii, 107027934, 4-coumarate--CoA ligase-like 6  [EC], ['EC:6.2.1.12'], KO:K01904
Solanum pennellii, 107009683, 4-coumarate--CoA ligase-like 1  [EC], ['EC:6.2.1.12'], KO:K01904
Solanum pennellii, 107014702, 4-coumarate--CoA ligase 1  [EC], ['EC:6.2.1.12'], KO:K01904
Solanum pennellii, 107026301, 4-coumarate--CoA ligase 2-like  [EC], ['EC:6.2.1.12'], KO:K01904
Solanum pennellii, 107015322, 4-coumarate--CoA ligase 2-like  [EC], ['EC:6.2.1.12'], KO:K01904
Solanum pennellii, 107004955, 4-coumarate--CoA ligase-like 7  [EC], ['EC:6.2.1.12'], KO:K01904
Solanum pennellii, 107014831, 4-coumarate--CoA ligase-like 9  [EC], ['EC:6.2.1.12'], KO:K01904
Solanum pennellii, 107016413, acylsugar acyltransferase 3-like  [EC], ['EC:2.3.1.133'], KO:K13065
Solanum pennellii, 107024739, acetyl-CoA-benzylalcohol acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Solanum pennellii, 107024740, acetyl-CoA-benzylalcohol acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Solanum pennellii, 107025914, acetyl-CoA-benzylalcohol acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Solanum pennellii, 107006388, agmatine coumaroyltransferase-2-like  [EC], ['EC:2.3.1.133'], KO:K13065
Solanum pennellii, 107019786, LOW QUALITY PROTEIN: BAHD acyltransferase BIA1-like  [EC], ['EC:2.3.1.133'], KO:K13065
Solanum pennellii, 107026059, shikimate O-hydroxycinnamoyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Solanum pennellii, 107006773, acetyl-CoA-benzylalcohol acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Solanum pennellii, 107006805, pelargonidin 3-O-(6-caffeoylglucoside) 5-O-(6-O-malonylglucoside) 4'''-malonyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Solanum pennellii, 107028136, acylsugar acyltransferase 3-like  [EC], ['EC:2.3.1.133'], KO:K13065
Solanum pennellii, 107006883, acetyl-CoA-benzylalcohol acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Solanum pennellii, 107025455, acylsugar acyltransferase 3-like  [EC], ['EC:2.3.1.133'], KO:K13065
Solanum pennellii, 107006919, acetyl-CoA-benzylalcohol acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Solanum pennellii, 107006924, acetyl-CoA-benzylalcohol acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Solanum pennellii, 107006971, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Solanum pennellii, 107019270, vinorine synthase  [EC], ['EC:2.3.1.133'], KO:K13065
Solanum pennellii, 107014577, shikimate O-hydroxycinnamoyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Solanum pennellii, 107029716, acetyl-CoA-benzylalcohol acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Solanum pennellii, 107005264, acetyl-CoA-benzylalcohol acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
