107623580,flavonoid 3'-monooxygenase,KO:K05280,EC:1.14.14.82,
107624185,UDP-glycosyltransferase 73C6,KO:K22771,EC:2.4.1.-,
107629806,UDP-glycosyltransferase 79B30-like,KO:K22794,EC:2.4.1.239 2.4.1.-,
107610569,anthocyanidin 3-O-glucoside 2''-O-glucosyltransferase-like,KO:K22794,EC:2.4.1.239 2.4.1.-,
107614535,UDP-glycosyltransferase 79B30-like,KO:K22794,EC:2.4.1.239 2.4.1.-,
107610559,anthocyanidin 3-O-glucoside 2''-O-glucosyltransferase-like,KO:K22794,EC:2.4.1.239 2.4.1.-,
107634224,UDP-glycosyltransferase 79B30-like,KO:K22794,EC:2.4.1.239 2.4.1.-,
107619965,anthocyanidin 3-O-glucoside 2''-O-glucosyltransferase-like,KO:K22794,EC:2.4.1.239 2.4.1.-,
110262351,anthocyanidin 3-O-glucoside 2''-O-glucosyltransferase-like,KO:K22794,EC:2.4.1.239 2.4.1.-,
107643187,UDP-glycosyltransferase 79B30-like,KO:K22794,EC:2.4.1.239 2.4.1.-,
107614329,anthocyanidin 3-O-glucoside 2''-O-glucosyltransferase-like,KO:K22794,EC:2.4.1.239 2.4.1.-,
107613915,UDP-glycosyltransferase 79B30,KO:K22794,EC:2.4.1.239 2.4.1.-,
107619647,UDP-glycosyltransferase 79A6-like,KO:K22772,EC:2.4.1.159,

