Cicer arietinum (Chickpea), 101489106, chalcone synthase 1, KO:K00660, EC:2.3.1.74, Cicer arietinum (Chickpea), 101513808, chalcone synthase 1B, 
KO:K00660, EC:2.3.1.74, Cicer arietinum (Chickpea), 101503025, chalcone synthase 1-like, KO:K00660, EC:2.3.1.74, 
Cicer arietinum (Chickpea), 101503349, chalcone synthase 1, KO:K00660, EC:2.3.1.74, Cicer arietinum (Chickpea), 101514543, 
chalcone synthase, KO:K00660, EC:2.3.1.74, Cicer arietinum (Chickpea), 105852659, CHS1, chalcone synthase 6-4-like, 
KO:K00660, EC:2.3.1.74, Cicer arietinum (Chickpea), 101500746, chalcone--flavonone isomerase 2, KO:K01859, EC:5.5.1.6, 
Cicer arietinum (Chickpea), 101501059, chalcone--flavonone isomerase 1B-2-like, KO:K01859, EC:5.5.1.6, Cicer arietinum (Chickpea), 101501370, 
chalcone--flavonone isomerase 2, KO:K01859, EC:5.5.1.6, Cicer arietinum (Chickpea), 101508569, probable chalcone--flavonone isomerase 3, KO:K01859, 
EC:5.5.1.6, Cicer arietinum (Chickpea), 101492596, naringenin,2-oxoglutarate 3-dioxygenase-like, KO:K00475, EC:1.14.11.9, Cicer arietinum (Chickpea), 
101501974, naringenin,2-oxoglutarate 3-dioxygenase-like, KO:K00475, EC:1.14.11.9, Cicer arietinum (Chickpea), 101492925, naringenin,2-oxoglutarate 3-dioxygenase-like, 
KO:K00475, EC:1.14.11.9, Cicer arietinum (Chickpea), 101504604, flavonol synthase/flavanone 3-hydroxylase-like, KO:K05278, EC:1.14.20.6, 
Cicer arietinum (Chickpea), 101509377, flavonol synthase/flavanone 3-hydroxylase-like, KO:K05278, EC:1.14.20.6, Cicer arietinum (Chickpea), 101503511, 
cytochrome P450 CYP73A100-like, KO:K00487, EC:1.14.14.91, Cicer arietinum (Chickpea), 101507607, trans-cinnamate 4-monooxygenase, KO:K00487, 
EC:1.14.14.91, Cicer arietinum (Chickpea), 101492721, CYP73, trans-cinnamate 4-monooxygenase-like, KO:K00487, EC:1.14.14.91, 
Cicer arietinum (Chickpea), 101513663, NAD(P)H-dependent 6'-deoxychalcone synthase, KO:K08243, Cicer arietinum (Chickpea), 101498748, NAD(P)H-dependent 6'-deoxychalcone synthase-like, 
KO:K08243, Cicer arietinum (Chickpea), 101513992, NAD(P)H-dependent 6'-deoxychalcone synthase-like, KO:K08243, Cicer arietinum (Chickpea), 101513338, 
NAD(P)H-dependent 6'-deoxychalcone synthase-like, KO:K08243, Cicer arietinum (Chickpea), 101511254, licodione synthase-like, KO:K23179, EC:1.14.19.76, 
Cicer arietinum (Chickpea), 101507543, flavonoid 3'-monooxygenase, KO:K05280, EC:1.14.14.82, Cicer arietinum (Chickpea), 101510693, 
flavonoid 3'-monooxygenase-like, KO:K05280, EC:1.14.14.82, Cicer arietinum (Chickpea), 101492767, dihydroflavonol-4-reductase, KO:K13082, 
EC:1.1.1.219 1.1.1.234, Cicer arietinum (Chickpea), 101491984, dihydroflavonol-4-reductase-like, KO:K13082, EC:1.1.1.219 1.1.1.234, Cicer arietinum (Chickpea), 
101503703, flavonoid 3',5'-hydroxylase 2-like, KO:K13083, EC:1.14.14.81, Cicer arietinum (Chickpea), 101511289, leucoanthocyanidin dioxygenase, 
KO:K05277, EC:1.14.20.4, Cicer arietinum (Chickpea), 101494604, anthocyanidin reductase, KO:K08695, EC:1.3.1.77, 
Cicer arietinum (Chickpea), 101493305, leucoanthocyanidin reductase-like, KO:K13081, EC:1.17.1.3, Cicer arietinum (Chickpea), 101490930, 
UGT88F9, anthocyanidin 5,3-O-glucosyltransferase, KO:K22845, EC:2.4.1.357, Cicer arietinum (Chickpea), 101511986, anthocyanidin 5,3-O-glucosyltransferase-like, 
KO:K22845, EC:2.4.1.357, Cicer arietinum (Chickpea), 101510481, spermidine hydroxycinnamoyl transferase-like, KO:K13065, EC:2.3.1.133, 
Cicer arietinum (Chickpea), 101491248, spermidine hydroxycinnamoyl transferase-like, KO:K13065, EC:2.3.1.133, Cicer arietinum (Chickpea), 105852211, 
vinorine synthase, KO:K13065, EC:2.3.1.133, Cicer arietinum (Chickpea), 101502383, shikimate O-hydroxycinnamoyltransferase-like, KO:K13065, 
EC:2.3.1.133, Cicer arietinum (Chickpea), 101501844, shikimate O-hydroxycinnamoyltransferase-like, KO:K13065, EC:2.3.1.133, Cicer arietinum (Chickpea), 
101504101, spermidine hydroxycinnamoyl transferase, KO:K13065, EC:2.3.1.133, Cicer arietinum (Chickpea), 101502444, vinorine synthase-like, 
KO:K13065, EC:2.3.1.133, Cicer arietinum (Chickpea), 101496291, omega-hydroxypalmitate O-feruloyl transferase, KO:K13065, EC:2.3.1.133, 
Cicer arietinum (Chickpea), 101513669, spermidine hydroxycinnamoyl transferase-like, KO:K13065, EC:2.3.1.133, Cicer arietinum (Chickpea), 101513347, 
spermidine hydroxycinnamoyl transferase-like, KO:K13065, EC:2.3.1.133, Cicer arietinum (Chickpea), 101502624, cytochrome P450 98A2, KO:K09754, 
EC:1.14.14.96, Cicer arietinum (Chickpea), 101497099, probable caffeoyl-CoA O-methyltransferase At4g26220, KO:K00588, EC:2.1.1.104, Cicer arietinum (Chickpea), 
101508155, caffeoyl-CoA O-methyltransferase, KO:K00588, EC:2.1.1.104, Cicer arietinum (Chickpea), 101511458, flavonoid 3',5'-methyltransferase-like, 
KO:K00588, EC:2.1.1.104, Cicer arietinum (Chickpea), 101500474, caffeoyl-CoA O-methyltransferase 5-like, KO:K00588, EC:2.1.1.104, 

