Juglans regia, 108988497, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Juglans regia, 109009407, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Juglans regia, 109017562, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Juglans regia, 108995854, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Juglans regia, 108997102, phenylalanine ammonia-lyase  [EC], ['EC:4.3.1.24'], KO:K10775
Juglans regia, 109008959, phenylalanine ammonia-lyase G4  [EC], ['EC:4.3.1.24'], KO:K10775
Juglans regia, 109021248, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Juglans regia, 118349603, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Juglans regia, 118349731, phenylalanine ammonia-lyase-like  [EC], ['EC:4.3.1.24'], KO:K10775
Juglans regia, 108996947, trans-cinnamate 4-monooxygenase-like  [EC], ['EC:1.14.14.91'], KO:K00487
Juglans regia, 108996955, trans-cinnamate 4-monooxygenase-like  [EC], ['EC:1.14.14.91'], KO:K00487
Juglans regia, 108993196, cytochrome P450 CYP73A100-like  [EC], ['EC:1.14.14.91'], KO:K00487
Juglans regia, 109002391, trans-cinnamate 4-monooxygenase  [EC], ['EC:1.14.14.91'], KO:K00487
Juglans regia, 108980442, 4-coumarate--CoA ligase-like 7  [EC], ['EC:6.2.1.12'], KO:K01904
Juglans regia, 108986343, 4-coumarate--CoA ligase 1-like  [EC], ['EC:6.2.1.12'], KO:K01904
Juglans regia, 108982339, 4-coumarate--CoA ligase-like 7  [EC], ['EC:6.2.1.12'], KO:K01904
Juglans regia, 108988342, 4-coumarate--CoA ligase 2-like  [EC], ['EC:6.2.1.12'], KO:K01904
Juglans regia, 109008312, 4-coumarate--CoA ligase-like 6 isoform X2  [EC], ['EC:6.2.1.12'], KO:K01904
Juglans regia, 109003193, 4-coumarate--CoA ligase-like 1  [EC], ['EC:6.2.1.12'], KO:K01904
Juglans regia, 109020728, 4-coumarate--CoA ligase-like 7  [EC], ['EC:6.2.1.12'], KO:K01904
Juglans regia, 108998878, 4-coumarate--CoA ligase 2-like  [EC], ['EC:6.2.1.12'], KO:K01904
Juglans regia, 108998879, 4-coumarate--CoA ligase 2-like  [EC], ['EC:6.2.1.12'], KO:K01904
Juglans regia, 108998911, 4-coumarate--CoA ligase 2-like  [EC], ['EC:6.2.1.12'], KO:K01904
Juglans regia, 108998277, 4-coumarate--CoA ligase 1-like  [EC], ['EC:6.2.1.12'], KO:K01904
Juglans regia, 108992542, 4-coumarate--CoA ligase-like 9  [EC], ['EC:6.2.1.12'], KO:K01904
Juglans regia, 108981731, stemmadenine O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Juglans regia, 108981736, stemmadenine O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Juglans regia, 108979504, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Juglans regia, 108979112, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Juglans regia, 108979956, stemmadenine O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Juglans regia, 108979963, stemmadenine O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Juglans regia, 108988418, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Juglans regia, 108988419, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Juglans regia, 108988428, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Juglans regia, 108988430, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Juglans regia, 108988434, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Juglans regia, 108985317, stemmadenine O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Juglans regia, 108985506, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Juglans regia, 108985508, vinorine synthase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Juglans regia, 109008231, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Juglans regia, 108999688, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Juglans regia, 109009540, acetyl-CoA-benzylalcohol acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Juglans regia, 109005487, omega-hydroxypalmitate O-feruloyl transferase  [EC], ['EC:2.3.1.133'], KO:K13065
Juglans regia, 109020915, stemmadenine O-acetyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Juglans regia, 109010986, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Juglans regia, 109019007, cytochrome P450 98A2  [EC], ['EC:1.14.14.96'], KO:K09754
Juglans regia, 109008126, cytochrome P450 98A2  [EC], ['EC:1.14.14.96'], KO:K09754
Juglans regia, 109008127, cytochrome P450 98A2-like  [EC], ['EC:1.14.14.96'], KO:K09754
Juglans regia, 108986861, caffeoylshikimate esterase-like  [EC], ['EC:3.1.1.-'], KO:K18368
Juglans regia, 108987086, caffeoylshikimate esterase-like isoform X1  [EC], ['EC:3.1.1.-'], KO:K18368
Juglans regia, 109003020, caffeoylshikimate esterase-like  [EC], ['EC:3.1.1.-'], KO:K18368
Juglans regia, 108996382, caffeoylshikimate esterase  [EC], ['EC:3.1.1.-'], KO:K18368
Juglans regia, 108986192, caffeoylshikimate esterase-like isoform X1  [EC], ['EC:3.1.1.-'], KO:K18368
Juglans regia, 108988223, caffeoylshikimate esterase  [EC], ['EC:3.1.1.-'], KO:K18368
Juglans regia, 109003166, flavonoid 3',5'-methyltransferase-like  [EC], ['EC:2.1.1.104'], KO:K00588
Juglans regia, 108988942, caffeoyl-CoA O-methyltransferase  [EC], ['EC:2.1.1.104'], KO:K00588
Juglans regia, 108989769, probable caffeoyl-CoA O-methyltransferase At4g26220 isoform X1  [EC], ['EC:2.1.1.104'], KO:K00588
Juglans regia, 108989770, probable caffeoyl-CoA O-methyltransferase At4g26220  [EC], ['EC:2.1.1.104'], KO:K00588
Juglans regia, 108999180, caffeoyl-CoA O-methyltransferase 5  [EC], ['EC:2.1.1.104'], KO:K00588
Juglans regia, 109010995, cinnamoyl-CoA reductase 1-like  [EC], ['EC:1.2.1.44'], KO:K09753
Juglans regia, 109010062, cinnamoyl-CoA reductase 1-like  [EC], ['EC:1.2.1.44'], KO:K09753
Juglans regia, 108992687, aldehyde dehydrogenase family 2 member C4-like  [EC], ['EC:1.2.1.68'], KO:K12355
Juglans regia, 108992688, aldehyde dehydrogenase family 2 member C4-like  [EC], ['EC:1.2.1.68'], KO:K12355
Juglans regia, 108997880, aldehyde dehydrogenase family 2 member C4-like  [EC], ['EC:1.2.1.68'], KO:K12355
Juglans regia, 108997881, aldehyde dehydrogenase family 2 member C4-like  [EC], ['EC:1.2.1.68'], KO:K12355
