Brassica oleracea, 106300639, phenylalanine ammonia-lyase 2-like  [EC], ['EC:4.3.1.24'], KO:K10775
Brassica oleracea, 106338875, phenylalanine ammonia-lyase G4-like  [EC], ['EC:4.3.1.24'], KO:K10775
Brassica oleracea, 106311920, phenylalanine ammonia-lyase 2  [EC], ['EC:4.3.1.24'], KO:K10775
Brassica oleracea, 106319945, phenylalanine ammonia-lyase 2-like  [EC], ['EC:4.3.1.24'], KO:K10775
Brassica oleracea, 106342153, phenylalanine ammonia-lyase 1  [EC], ['EC:4.3.1.24'], KO:K10775
Brassica oleracea, 106342166, phenylalanine ammonia-lyase 1  [EC], ['EC:4.3.1.24'], KO:K10775
Brassica oleracea, 106294585, phenylalanine ammonia-lyase 4 isoform X1  [EC], ['EC:4.3.1.24'], KO:K10775
Brassica oleracea, 106342634, trans-cinnamate 4-monooxygenase-like  [EC], ['EC:1.14.14.91'], KO:K00487
Brassica oleracea, 106295375, trans-cinnamate 4-monooxygenase  [EC], ['EC:1.14.14.91'], KO:K00487
Brassica oleracea, 106336023, trans-cinnamate 4-monooxygenase-like  [EC], ['EC:1.14.14.91'], KO:K00487
Brassica oleracea, 106337156, trans-cinnamate 4-monooxygenase-like  [EC], ['EC:1.14.14.91'], KO:K00487
Brassica oleracea, 106329505, trans-cinnamate 4-monooxygenase-like  [EC], ['EC:1.14.14.91'], KO:K00487
Brassica oleracea, 106343486, 4-coumarate--CoA ligase 4-like  [EC], ['EC:6.2.1.12'], KO:K01904
Brassica oleracea, 106330324, 4-coumarate--CoA ligase 4-like  [EC], ['EC:6.2.1.12'], KO:K01904
Brassica oleracea, 106296384, 4-coumarate--CoA ligase 3  [EC], ['EC:6.2.1.12'], KO:K01904
Brassica oleracea, 106316360, 4-coumarate--CoA ligase-like 1  [EC], ['EC:6.2.1.12'], KO:K01904
Brassica oleracea, 106316391, 4-coumarate--CoA ligase-like 7  [EC], ['EC:6.2.1.12'], KO:K01904
Brassica oleracea, 106344136, 4-coumarate--CoA ligase 2-like  [EC], ['EC:6.2.1.12'], KO:K01904
Brassica oleracea, 106300440, 4-coumarate--CoA ligase 1  [EC], ['EC:6.2.1.12'], KO:K01904
Brassica oleracea, 106318984, 4-coumarate--CoA ligase-like 7  [EC], ['EC:6.2.1.12'], KO:K01904
Brassica oleracea, 106335342, 4-coumarate--CoA ligase 4  [EC], ['EC:6.2.1.12'], KO:K01904
Brassica oleracea, 106305397, 4-coumarate--CoA ligase-like 6 isoform X1  [EC], ['EC:6.2.1.12'], KO:K01904
Brassica oleracea, 106293547, 4-coumarate--CoA ligase 4-like  [EC], ['EC:6.2.1.12'], KO:K01904
Brassica oleracea, 106318731, 4-coumarate--CoA ligase-like 9  [EC], ['EC:6.2.1.12'], KO:K01904
Brassica oleracea, 106298662, omega-hydroxypalmitate O-feruloyl transferase  [EC], ['EC:2.3.1.133'], KO:K13065
Brassica oleracea, 106342917, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Brassica oleracea, 106332680, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Brassica oleracea, 106335132, shikimate O-hydroxycinnamoyltransferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Brassica oleracea, 106335133, shikimate O-hydroxycinnamoyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Brassica oleracea, 106306290, shikimate O-hydroxycinnamoyltransferase  [EC], ['EC:2.3.1.133'], KO:K13065
Brassica oleracea, 106316626, spermidine hydroxycinnamoyl transferase-like  [EC], ['EC:2.3.1.133'], KO:K13065
Brassica oleracea, 106342398, cytochrome P450 98A3-like  [EC], ['EC:1.14.14.96'], KO:K09754
