Juglans regia, phenylalanine ammonia-lyase-like, KO:K10775, EC:4.3.1.24, Juglans regia, phenylalanine ammonia-lyase-like, KO:K10775, EC:4.3.1.24, 
Juglans regia, phenylalanine ammonia-lyase-like, KO:K10775, EC:4.3.1.24, Juglans regia, phenylalanine ammonia-lyase-like, KO:K10775, 
EC:4.3.1.24, Juglans regia, phenylalanine ammonia-lyase, KO:K10775, EC:4.3.1.24, Juglans regia, phenylalanine ammonia-lyase G4, 
KO:K10775, EC:4.3.1.24, Juglans regia, phenylalanine ammonia-lyase-like, KO:K10775, EC:4.3.1.24, Juglans regia, 
phenylalanine ammonia-lyase-like, KO:K10775, EC:4.3.1.24, Juglans regia, phenylalanine ammonia-lyase-like, KO:K10775, EC:4.3.1.24, 
Juglans regia, trans-cinnamate 4-monooxygenase-like, KO:K00487, EC:1.14.14.91, Juglans regia, trans-cinnamate 4-monooxygenase-like, KO:K00487, 
EC:1.14.14.91, Juglans regia, cytochrome P450 CYP73A100-like, KO:K00487, EC:1.14.14.91, Juglans regia, trans-cinnamate 4-monooxygenase, 
KO:K00487, EC:1.14.14.91, Juglans regia, 4-coumarate--CoA ligase-like 7, KO:K01904, EC:6.2.1.12, Juglans regia, 
4-coumarate--CoA ligase 1-like, KO:K01904, EC:6.2.1.12, Juglans regia, 4-coumarate--CoA ligase-like 7, KO:K01904, EC:6.2.1.12, 
Juglans regia, 4-coumarate--CoA ligase 2-like, KO:K01904, EC:6.2.1.12, Juglans regia, 4-coumarate--CoA ligase-like 6 isoform X2, KO:K01904, 
EC:6.2.1.12, Juglans regia, 4-coumarate--CoA ligase-like 1, KO:K01904, EC:6.2.1.12, Juglans regia, 4-coumarate--CoA ligase-like 7, 
KO:K01904, EC:6.2.1.12, Juglans regia, 4-coumarate--CoA ligase 2-like, KO:K01904, EC:6.2.1.12, Juglans regia, 
4-coumarate--CoA ligase 2-like, KO:K01904, EC:6.2.1.12, Juglans regia, 4-coumarate--CoA ligase 2-like, KO:K01904, EC:6.2.1.12, 
Juglans regia, 4-coumarate--CoA ligase 1-like, KO:K01904, EC:6.2.1.12, Juglans regia, 4-coumarate--CoA ligase-like 9, KO:K01904, 
EC:6.2.1.12, Juglans regia, stemmadenine O-acetyltransferase-like, KO:K13065, EC:2.3.1.133, Juglans regia, stemmadenine O-acetyltransferase-like, 
KO:K13065, EC:2.3.1.133, Juglans regia, spermidine hydroxycinnamoyl transferase-like, KO:K13065, EC:2.3.1.133, Juglans regia, 
spermidine hydroxycinnamoyl transferase-like, KO:K13065, EC:2.3.1.133, Juglans regia, stemmadenine O-acetyltransferase-like, KO:K13065, EC:2.3.1.133, 
Juglans regia, stemmadenine O-acetyltransferase-like, KO:K13065, EC:2.3.1.133, Juglans regia, spermidine hydroxycinnamoyl transferase-like, KO:K13065, 
EC:2.3.1.133, Juglans regia, spermidine hydroxycinnamoyl transferase-like, KO:K13065, EC:2.3.1.133, Juglans regia, spermidine hydroxycinnamoyl transferase-like, 
KO:K13065, EC:2.3.1.133, Juglans regia, spermidine hydroxycinnamoyl transferase-like, KO:K13065, EC:2.3.1.133, Juglans regia, 
spermidine hydroxycinnamoyl transferase-like, KO:K13065, EC:2.3.1.133, Juglans regia, stemmadenine O-acetyltransferase-like, KO:K13065, EC:2.3.1.133, 
Juglans regia, vinorine synthase-like, KO:K13065, EC:2.3.1.133, Juglans regia, vinorine synthase-like, KO:K13065, 
EC:2.3.1.133, Juglans regia, shikimate O-hydroxycinnamoyltransferase-like, KO:K13065, EC:2.3.1.133, Juglans regia, spermidine hydroxycinnamoyl transferase-like, 
KO:K13065, EC:2.3.1.133, Juglans regia, acetyl-CoA-benzylalcohol acetyltransferase-like, KO:K13065, EC:2.3.1.133, Juglans regia, 
omega-hydroxypalmitate O-feruloyl transferase, KO:K13065, EC:2.3.1.133, Juglans regia, stemmadenine O-acetyltransferase-like, KO:K13065, EC:2.3.1.133, 
Juglans regia, shikimate O-hydroxycinnamoyltransferase-like, KO:K13065, EC:2.3.1.133, Juglans regia, cytochrome P450 98A2, KO:K09754, 
EC:1.14.14.96, Juglans regia, cytochrome P450 98A2, KO:K09754, EC:1.14.14.96, Juglans regia, cytochrome P450 98A2-like, 
KO:K09754, EC:1.14.14.96, Juglans regia, caffeoylshikimate esterase-like, KO:K18368, EC:3.1.1.-, Juglans regia, 
caffeoylshikimate esterase-like isoform X1, KO:K18368, EC:3.1.1.-, Juglans regia, caffeoylshikimate esterase-like, KO:K18368, EC:3.1.1.-, 
Juglans regia, caffeoylshikimate esterase, KO:K18368, EC:3.1.1.-, Juglans regia, caffeoylshikimate esterase-like isoform X1, KO:K18368, 
EC:3.1.1.-, Juglans regia, caffeoylshikimate esterase, KO:K18368, EC:3.1.1.-, Juglans regia, flavonoid 3',5'-methyltransferase-like, 
KO:K00588, EC:2.1.1.104, Juglans regia, caffeoyl-CoA O-methyltransferase, KO:K00588, EC:2.1.1.104, Juglans regia, 
probable caffeoyl-CoA O-methyltransferase At4g26220 isoform X1, KO:K00588, EC:2.1.1.104, Juglans regia, probable caffeoyl-CoA O-methyltransferase At4g26220, KO:K00588, EC:2.1.1.104, 
Juglans regia, caffeoyl-CoA O-methyltransferase 5, KO:K00588, EC:2.1.1.104, Juglans regia, cinnamoyl-CoA reductase 1-like, KO:K09753, 
EC:1.2.1.44, Juglans regia, cinnamoyl-CoA reductase 1-like, KO:K09753, EC:1.2.1.44, Juglans regia, aldehyde dehydrogenase family 2 member C4-like, 
KO:K12355, EC:1.2.1.68, Juglans regia, aldehyde dehydrogenase family 2 member C4-like, KO:K12355, EC:1.2.1.68, Juglans regia, 
aldehyde dehydrogenase family 2 member C4-like, KO:K12355, EC:1.2.1.68, Juglans regia, aldehyde dehydrogenase family 2 member C4-like, KO:K12355, EC:1.2.1.68, 
Juglans regia, aldehyde dehydrogenase family 2 member C4-like isoform X1, KO:K12355, EC:1.2.1.68, Juglans regia, aldehyde dehydrogenase family 2 member C4-like, KO:K12355, 
EC:1.2.1.68, Juglans regia, aldehyde dehydrogenase family 2 member C4-like isoform X1, KO:K12355, EC:1.2.1.68, Juglans regia, cytochrome P450 84A1-like isoform X1, 
KO:K09755, EC:1.14.-.-, Juglans regia, cytochrome P450 84A1-like, KO:K09755, EC:1.14.-.-, Juglans regia, 
caffeic acid 3-O-methyltransferase, KO:K13066, EC:2.1.1.68, Juglans regia, caffeic acid 3-O-methyltransferase 1-like, KO:K13066, EC:2.1.1.68, 
Juglans regia, caffeic acid 3-O-methyltransferase-like, KO:K13066, EC:2.1.1.68, Juglans regia, caffeic acid 3-O-methyltransferase-like, KO:K13066, 
EC:2.1.1.68, Juglans regia, caffeic acid 3-O-methyltransferase-like, KO:K13066, EC:2.1.1.68, Juglans regia, caffeic acid 3-O-methyltransferase 1-like, 
KO:K13066, EC:2.1.1.68, Juglans regia, caffeic acid 3-O-methyltransferase-like, KO:K13066, EC:2.1.1.68, Juglans regia, 
caffeic acid 3-O-methyltransferase-like, KO:K13066, EC:2.1.1.68, Juglans regia, caffeic acid 3-O-methyltransferase-like, KO:K13066, EC:2.1.1.68, 
Juglans regia, caffeic acid 3-O-methyltransferase, KO:K13066, EC:2.1.1.68, Juglans regia, cinnamyl alcohol dehydrogenase 1, KO:K00083, 
EC:1.1.1.195, Juglans regia, probable cinnamyl alcohol dehydrogenase 1, KO:K00083, EC:1.1.1.195, Juglans regia, probable cinnamyl alcohol dehydrogenase 1, 
KO:K00083, EC:1.1.1.195, Juglans regia, probable cinnamyl alcohol dehydrogenase 1, KO:K00083, EC:1.1.1.195, Juglans regia, 
probable cinnamyl alcohol dehydrogenase 1, KO:K00083, EC:1.1.1.195, Juglans regia, probable cinnamyl alcohol dehydrogenase 9, KO:K00083, EC:1.1.1.195, 
Juglans regia, probable cinnamyl alcohol dehydrogenase 6, KO:K00083, EC:1.1.1.195, Juglans regia, cinnamyl alcohol dehydrogenase 1-like, KO:K00083, 
EC:1.1.1.195, Juglans regia, berberine bridge enzyme-like 15, KO:K22395, EC:1.1.1.195, Juglans regia, reticuline oxidase-like, 
KO:K22395, EC:1.1.1.195, Juglans regia, 1-Cys peroxiredoxin, KO:K11188, EC:1.11.1.7 1.11.1.27 3.1.1.-, Juglans regia, 
peroxidase 31-like, KO:K00430, EC:1.11.1.7, Juglans regia, peroxidase 19-like isoform X1, KO:K00430, EC:1.11.1.7, 
Juglans regia, peroxidase 10-like, KO:K00430, EC:1.11.1.7, Juglans regia, cationic peroxidase 1-like, KO:K00430, 
EC:1.11.1.7, Juglans regia, peroxidase P7, KO:K00430, EC:1.11.1.7, Juglans regia, peroxidase 72-like, 
KO:K00430, EC:1.11.1.7, Juglans regia, peroxidase 20-like, KO:K00430, EC:1.11.1.7, Juglans regia, 
peroxidase 46-like, KO:K00430, EC:1.11.1.7, Juglans regia, peroxidase 5-like, KO:K00430, EC:1.11.1.7, 
Juglans regia, peroxidase 5-like, KO:K00430, EC:1.11.1.7, Juglans regia, peroxidase 5-like, KO:K00430, 
EC:1.11.1.7, Juglans regia, peroxidase 27-like, KO:K00430, EC:1.11.1.7, Juglans regia, peroxidase 64-like, 
KO:K00430, EC:1.11.1.7, Juglans regia, putative Peroxidase 48, KO:K00430, EC:1.11.1.7, Juglans regia, 
peroxidase 35-like isoform X1, KO:K00430, EC:1.11.1.7, Juglans regia, peroxidase 73-like, KO:K00430, EC:1.11.1.7, 
Juglans regia, cationic peroxidase 1-like, KO:K00430, EC:1.11.1.7, Juglans regia, probable peroxidase 61, KO:K00430, 
EC:1.11.1.7, Juglans regia, peroxidase 9, KO:K00430, EC:1.11.1.7, Juglans regia, peroxidase A2-like isoform X1, 
KO:K00430, EC:1.11.1.7, Juglans regia, peroxidase 47, KO:K00430, EC:1.11.1.7, Juglans regia, 
peroxidase 65-like, KO:K00430, EC:1.11.1.7, Juglans regia, peroxidase 11, KO:K00430, EC:1.11.1.7, 
